"time","Itr","Iqs","loadInertiaM.phi","loadInertiaM.w","loadInertiaMQS.phi","loadInertiaMQS.w","smpm.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpm.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpm.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpm.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im"
0.1087,174.8198564599,9.59341222660952e-14,16.1878835128404,179.032871954648,16.289157908863,157.07963267949,-0.398958672788446,-0.219898496011144,-0.187558342873956,-0.489217056598777
0.10875,175.18228162647,9.59341222660952e-14,16.1968345412136,179.008243941718,16.297011890497,157.07963267949,-0.399504155169467,-0.219271450364966,-0.179902490781366,-0.492172957151223
0.1088,175.545578992982,9.59341222660952e-14,16.2057843353443,178.983502280681,16.304865872131,157.07963267949,-0.400048267709751,-0.218643340588456,-0.172200064111079,-0.495008834580943
0.10885,175.909723433639,9.59341222660952e-14,16.214732889554,178.958647126741,16.312719853765,157.07963267949,-0.400591006242254,-0.218014172570901,-0.164452946621114,-0.497723953990505
0.1089,176.274690584599,9.59341222660952e-14,16.223680198172,178.933678637155,16.3205738353989,157.07963267949,-0.401132366624114,-0.217383952230017,-0.15666303397558,-0.500317610461204
0.10895,176.640456992629,9.59341222660952e-14,16.2326262555354,178.908596971242,16.3284278170329,157.07963267949,-0.401672344736897,-0.216752685511953,-0.14883223332635,-0.502789129324518
0.109,177.00700027843,9.59341222660952e-14,16.2415710559893,178.883402290386,16.3362817986669,157.07963267949,-0.402210936486857,-0.216120378391297,-0.140962462894702,-0.50513786643358
0.10905,177.374276760756,9.59341222660952e-14,16.2505145938874,178.858094757547,16.3441357803009,157.07963267949,-0.402748137807731,-0.215487036861896,-0.133055642769226,-0.507363193778168
0.1091,177.742264948834,9.59341222660952e-14,16.2594568635911,178.832674538223,16.3519897619348,157.07963267949,-0.403283944656053,-0.214852666954716,-0.125113711569286,-0.509464528258631
0.10915,178.110945077387,9.59341222660952e-14,16.2683978594702,178.807141799994,16.3598437435688,157.07963267949,-0.403818353013802,-0.214217274729214,-0.117138617763242,-0.51144131816911
