"time","heater.mediums[1].h","heater.mediums[1].p","pipe.mediums[1].h","pipe.mediums[1].p","pipe.mediums[2].h","pipe.mediums[2].p","radiator.mediums[1].h","radiator.mediums[1].p","tank.level","tank.medium.h"
162,299941.65743728,129994.46211488,319691.411508211,129992.220323974,331040.909098736,129971.156027878,101321.008652336,111133.344333595,0.9994454506745,84679.8016015283
163.2,299941.682363406,129994.462222202,319607.2916379,129992.220440854,330992.447880993,129971.150760518,101288.460720366,111133.34063065,0.999444670908721,84682.4269888448
164.4,299941.707294835,129994.462329356,319523.531554115,129992.220557578,330943.835662045,129971.145514181,101256.822066557,111133.336838299,0.999443896387116,84685.046519513
165.6,299941.732185834,129994.462436353,319440.129707715,129992.220674156,330895.074617085,129971.140288803,101226.062763647,111133.332959905,0.99944312700656,84687.6603554963
166.8,299941.757038237,129994.462543197,319357.084556807,129992.220790591,330846.166903787,129971.135084318,101196.155620928,111133.32899853,0.999442362652291,84690.2686368451
168,299941.781854332,129994.462649893,319274.394566204,129992.220906889,330797.114664143,129971.129900656,101167.074261876,111133.32495716,0.999441603213901,84692.8714996318
169.2,299941.806636907,129994.462756443,319192.058207396,129992.221023052,330747.920024562,129971.124737749,101138.793083379,111133.320838698,0.999440848585145,84695.4690761612
170.4,299941.831389296,129994.462862852,319110.073958515,129992.221139085,330698.585095969,129971.119595527,101111.287214966,111133.316645977,0.999440098663738,84698.0614951794
171.6,299941.856115422,129994.462969123,319028.440304307,129992.221254989,330649.111973906,129971.114473923,101084.532478022,111133.312381759,0.999439353351166,84700.6488820842
172.8,299941.880813442,129994.46307526,318947.155736408,129992.22137077,330599.502737724,129971.109372868,101058.505932634,111133.30804847,0.999438612530559,84703.231349044
174,299941.905475614,129994.463181266,318866.218753324,129992.22148643,330549.759450657,129971.104292294,101033.185852773,111133.303648199,0.999437876065908,84705.8089949333
175.2,299941.930115096,129994.463287143,318785.627859086,129992.221601972,330499.884163726,129971.099232131,101008.54923177,111133.299183818,0.999437143893389,84708.3819476778
176.4,299941.954735756,129994.463392896,318705.3815647,129992.221717398,330449.878911541,129971.09419231,100984.574515004,111133.294657727,0.999436415917715,84710.9503168385
177.6,299941.979341923,129994.463498525,318625.478387639,129992.221832712,330399.745713781,129971.089172763,100961.240668916,111133.290072253,0.999435692045144,84713.5142091083
178.8,299942.003938411,129994.463604034,318545.916851811,129992.221947915,330349.486575291,129971.084173422,100938.52714199,111133.285429662,0.999434972183216,84716.0737284912
180,299942.028530549,129994.463709425,318466.695487527,129992.22206301,330299.103486182,129971.079194216,100916.413825749,111133.280732159,0.999434256240487,84718.6289764815
181.2,299942.053124207,129994.4638147,318387.812831473,129992.222177998,330248.598421928,129971.074235078,100894.881015737,111133.275981888,0.999433544126274,84721.1800522432
182.4,299942.077717847,129994.463919862,318309.26742685,129992.222292882,330197.973342927,129971.06929594,100873.91087216,111133.271180867,0.999432835763744,84723.7270468034
183.6,299942.102254252,129994.464024919,318231.057824408,129992.222407672,330147.230191372,129971.064376738,100853.496463462,111133.266330544,0.9994321311706,84726.2700069726
184.8,299942.126773688,129994.464129871,318153.182579043,129992.222522365,330096.370901592,129971.059477402,100833.612930085,111133.261433204,0.999431430202189,84728.8090504843
186,299942.151274905,129994.464234719,318075.640252825,129992.222636963,330045.397390849,129971.054597862,100814.243588875,111133.256490699,0.999430732784211,84731.3442618088
187.2,299942.175756118,129994.464339467,317998.429414067,129992.222751469,329994.311562177,129971.049738052,100795.372193541,111133.251504826,0.999430038843839,84733.875723073
188.4,299942.200214963,129994.464444117,317921.548637295,129992.222865886,329943.115304472,129971.044897903,100776.982907932,111133.246477327,0.999429348309564,84736.4035141916
189.6,299942.224648463,129994.464548671,317844.996503215,129992.222980216,329891.810492586,129971.040077349,100759.060279316,111133.241409894,0.999428661111036,84738.9277129963
190.8,299942.249052985,129994.464653132,317768.771598686,129992.223094461,329840.398987425,129971.035276323,100741.58921166,111133.23630417,0.999427977178918,84741.448395367
192,299942.273424206,129994.464757504,317692.87251669,129992.223208624,329788.882636036,129971.030494756,100724.554938901,111133.231161751,0.999427296444726,84743.9656353614
193.2,299942.297757069,129994.464861788,317617.2978563,129992.223322708,329737.263271705,129971.025732584,100707.942998232,111133.225984189,0.999426618840679,84746.4795053461
194.4,299942.322045749,129994.464965987,317542.046222651,129992.223436715,329685.542714049,129971.020989738,100691.73920337,111133.220772994,0.999425944299545,84748.9900761263
195.6,299942.346288783,129994.465070104,317467.116227015,129992.223550648,329633.722768727,129971.016266152,100675.930301017,111133.215529641,0.999425272761625,84751.4974145634
196.8,299942.370577272,129994.465174126,317392.506488548,129992.223664492,329581.805221034,129971.011561744,100660.515603616,111133.210255647,0.999424604296437,84754.001540819
198,299942.394843977,129994.465278064,317318.215629206,129992.223778261,329529.791854478,129971.006876457,100645.473815314,111133.204952358,0.999423938756184,84756.502550409
199.2,299942.419088908,129994.46538192,317244.242278259,129992.223891955,329477.684434248,129971.002210224,100630.79281757,111133.199621145,0.999423276087133,84759.0005046769
200.4,299942.443312148,129994.465485697,317170.585070913,129992.224005577,329425.484712254,129970.997562979,100616.460771875,111133.194263349,0.999422616236759,84761.4954635523
201.6,299942.467513867,129994.465589396,317097.242648275,129992.224119127,329373.194427218,129970.992934655,100602.466099633,111133.188880283,0.999421959153667,84763.9874856566
202.8,299942.491694332,129994.465693017,317024.21365733,129992.224232607,329320.815304763,129970.988325184,100588.797462037,111133.183473235,0.999421304787508,84766.4766284097
204,299942.515853918,129994.465796562,316951.496750907,129992.224346017,329268.349057503,129970.9837345,100575.44373996,111133.178043469,0.999420653088887,84768.9629481352
205.2,299942.539993122,129994.465900034,316879.090587652,129992.22445936,329215.797385131,129970.979162536,100562.394013824,111133.17259223,0.999420004009286,84771.4465001671
206.4,299942.56411257,129994.466003432,316806.993832,129992.224572636,329163.161974512,129970.974609227,100549.63754349,111133.16712074,0.999419357500976,84773.9273389553
207.6,299942.588213031,129994.466106758,316735.205154146,129992.224685846,329110.444499771,129970.970074505,100537.163748134,111133.161630209,0.999418713516931,84776.4055181722
208.8,299942.61229543,129994.466210013,316663.723230013,129992.224798991,329057.64662238,129970.965558305,100524.96218613,111133.15612183,0.999418072010746,84778.8810908181
210,299942.636367513,129994.466313194,316592.546746113,129992.224912068,329004.769975041,129970.961060555,100513.045717576,111133.150594228,0.99941743306885,84781.353995132
211.2,299942.660426593,129994.466416306,316521.674386843,129992.225025081,328951.816203823,129970.956581192,100501.390354764,111133.145050094,0.999416796567274,84783.8243508896
212.4,299942.684474557,129994.466519348,316451.104845462,129992.22513803,328898.786931726,129970.95212015,100489.987468522,111133.139490424,0.999416162469615,84786.2922022466
213.6,299942.708513619,129994.46662232,316380.836820937,129992.225250915,328845.683769156,129970.947677364,100478.828923534,111133.133916164,0.999415530742232,84788.7575909672
214.8,299942.732546256,129994.466725225,316310.869017858,129992.225363737,328792.508314185,129970.943252767,100467.906813992,111133.128328234,0.999414901352772,84791.220557734
216,299942.756575226,129994.466828062,316241.200146416,129992.225476496,328739.262152631,129970.938846294,100457.21345163,111133.122727531,0.999414274270129,84793.681142213
217.2,299942.780603579,129994.466930831,316171.828922371,129992.225589192,328685.946858147,129970.934457878,100446.741353765,111133.117114932,0.999413649464406,84796.1393831202
