"time","advancedSolenoid.armature.stopper_xMax.v_rel","advancedSolenoid.c_par1.v","advancedSolenoid.c_par2.v","advancedSolenoid.coil1.Phi","advancedSolenoid.coil2.Phi","advancedSolenoid.x","simpleSolenoid.armature.stopper_xMax.v_rel","simpleSolenoid.coil.Phi","simpleSolenoid.x"
0.04205,1.60605718108778e-05,6.00304822032427,5.99695177967573,-0.000147096025534534,-0.00013863193391542,0.00022038976939969,1.37556448196778e-05,-0.000140074705133752,0.000221816396781465
0.04206,1.60144809900043e-05,6.00303953667491,5.99696046332509,-0.000147096799212905,-0.000138632583993455,0.000220389609018905,1.37172242647178e-05,-0.000140075368160999,0.000221816259412636
0.04207,1.59685203486498e-05,6.00303087720556,5.99696912279444,-0.000147097570667814,-0.000138633232200794,0.000220389449098938,1.36789094314156e-05,-0.000140076029333814,0.000221816122427939
0.04208,1.59226898868144e-05,6.00302224191622,5.99697775808378,-0.000147098339899533,-0.000138633878537689,0.000220389289639788,1.36407003197714e-05,-0.000140076688652424,0.000221815985827374
0.04209,1.58769888156214e-05,6.00301363061624,5.99698636938376,-0.000147099106926332,-0.000138634523019509,0.000220389130637561,1.36025963026505e-05,-0.000140077346131666,0.000221815849607777
0.0421,1.58314176003898e-05,6.00300504341809,5.99699495658191,-0.000147099871737863,-0.000138635165637583,0.000220388972094553,1.35645977499682e-05,-0.000140078001763141,0.000221815713771014
0.0421,1.58314176003898e-05,6.00300504341809,5.99699495658191,-0.000147099871737863,-0.000138635165637583,0.000220388972094553,1.35645977499682e-05,-0.000140078001763141,0.000221815713771014
0.04211,1.57859755931848e-05,6.00299648016955,5.99700351983045,-0.000147100634348762,-0.000138635806404229,0.000220388814007655,1.35267041468429e-05,-0.000140078655558738,0.00022181557831456
0.04212,1.57406621287429e-05,6.00298794074339,5.99701205925661,-0.000147101394771285,-0.000138636445329764,0.00022038865637427,1.3488914965454e-05,-0.000140079307528413,0.000221815443236305
0.04213,1.5695476542453e-05,6.002979425041,5.997020574959,-0.000147102153014941,-0.000138637082422196,0.000220388499192396,1.34512296794928e-05,-0.000140079957679893,0.000221815308534622
0.04214,1.56504187867851e-05,6.00297093305536,5.99702906694464,-0.000147102909080648,-0.000138637717682318,0.00022038834246189,1.34136482513219e-05,-0.000140080606013926,0.000221815174209397
0.04215,1.56054872304264e-05,6.00296246454949,5.99703753545051,-0.000147103662990798,-0.000138638351128962,0.000220388186177973,1.33761693883236e-05,-0.000140081252548709,0.000221815040256744
0.04216,1.55606821731492e-05,6.00295401956692,5.99704598043308,-0.00014710441474158,-0.000138638982758949,0.000220388030341522,1.33387933280299e-05,-0.00014008189728115,0.000221814906677376
0.04217,1.55160037291756e-05,6.00294559812426,5.99705440187574,-0.000147105164331702,-0.000138639612571212,0.000220387874952873,1.33015201609473e-05,-0.000140082540210202,0.000221814773471567
0.04218,1.54714518985056e-05,6.00293720022151,5.99706279977849,-0.000147105911761419,-0.000138640240565989,0.000220387720012025,1.32643498870761e-05,-0.000140083181336078,0.000221814640639316
0.04219,1.54270261836604e-05,6.00292882572843,5.99707117427157,-0.000147106657043265,-0.000138640866753829,0.000220387565516326,1.32272821105597e-05,-0.000140083820668964,0.000221814508178466
0.0422,1.53827267378764e-05,6.00292047468512,5.99707952531488,-0.00014710740017371,-0.000138641491131788,0.000220387411466591,1.31903169533321e-05,-0.000140084458205997,0.000221814376089683
0.0422,1.53827267378764e-05,6.00292047468512,5.99707952531488,-0.00014710740017371,-0.000138641491131788,0.000220387411466591,1.31903169533321e-05,-0.000140084458205997,0.000221814376089683
0.04221,1.53385530244588e-05,6.00291214696567,5.99708785303433,-0.000147108141164866,-0.000138642113710061,0.000220387257860258,1.31534539888113e-05,-0.00014008509395702,0.000221814244370882
0.04222,1.5294504376355e-05,6.00290384244471,5.99709615755529,-0.00014710888002876,-0.000138642734498771,0.00022038710469478,1.31166926876489e-05,-0.000140085727931812,0.000221814113019993
0.04223,1.52505801480161e-05,6.00289556102598,5.99710443897402,-0.000147109616774648,-0.000138643353505713,0.000220386951968208,1.30800325382706e-05,-0.000140086360137896,0.000221813982035433
0.04224,1.52067802932871e-05,6.00288730270263,5.99711269729737,-0.000147110351403417,-0.000138643970731653,0.000220386799680405,1.30434735040979e-05,-0.000140086990575999,0.000221813851417089
0.04225,1.51631032295171e-05,6.0028790672432,5.9971209327568,-0.000147111083936872,-0.000138644586194927,0.000220386647826719,1.30070143301388e-05,-0.00014008761926385,0.000221813721161179
0.04226,1.51195492475384e-05,6.00287085469023,5.99712914530977,-0.000147111814371295,-0.000138645199892431,0.000220386496408004,1.2970655247013e-05,-0.00014008824619843,0.000221813591268397
0.04227,1.50761184581671e-05,6.00286266505994,5.99713733494006,-0.000147112542705416,-0.000138645811823122,0.000220386345424587,1.29343963425936e-05,-0.000140088871378712,0.00022181346173901
0.04228,1.5032810861403e-05,6.00285449835232,5.99714550164768,-0.000147113268939479,-0.000138646421987221,0.000220386194876467,1.28982376168805e-05,-0.000140089494804898,0.000221813332573015
0.04229,1.49896259644551e-05,6.00284635444015,5.99715364555985,-0.000147113993085685,-0.000138647030394999,0.000220386044761063,1.28621786778077e-05,-0.00014009011648691,0.000221813203768315
0.0423,1.49465639191156e-05,6.00283823336261,5.99716176663739,-0.000147114715140589,-0.000138647637043581,0.00022038589507917,1.28262196461415e-05,-0.000140090736421952,0.000221813075325556
0.0423,1.49465639191156e-05,6.00283823336261,5.99716176663739,-0.000147114715140589,-0.000138647637043581,0.00022038589507917,1.28262196461415e-05,-0.000140090736421952,0.000221813075325556
0.04231,1.49036241962227e-05,6.00283013499674,5.99716986500326,-0.00014711543511598,-0.00013864824194289,0.000220385745828294,1.27903601013141e-05,-0.000140091354619613,0.00022181294724271
0.04232,1.48608061439876e-05,6.00282205922006,5.99717794077994,-0.000147116153023569,-0.000138648845102782,0.000220385597005956,1.27545995257925e-05,-0.000140091971089417,0.00022181281951776
0.04233,1.48181091363797e-05,6.00281400593859,5.99718599406141,-0.000147116868872364,-0.000138649446530842,0.000220385448610262,1.27189374231502e-05,-0.000140092585838695,0.000221812692149166
0.04234,1.47755331286493e-05,6.00280597514563,5.99719402485437,-0.00014711758266322,-0.000138650046227809,0.000220385300641077,1.26833737578972e-05,-0.000140093198868146,0.000221812565136818
0.04235,1.4733076587314e-05,6.00279796661522,5.99720203338478,-0.000147118294417373,-0.000138650644211537,0.000220385153093875,1.26479073131036e-05,-0.000140093810195046,0.000221812438477034
0.04236,1.46907397941724e-05,6.00278998038888,5.99721001961112,-0.00014711900413119,-0.000138651240478996,0.000220385005969489,1.26125383123958e-05,-0.000140094419816446,0.000221812312170489
0.04237,1.46485228565983e-05,6.00278201648245,5.99721798351755,-0.000147119711803431,-0.000138651835029163,0.000220384859268234,1.25772668409823e-05,-0.000140095027731341,0.000221812186217443
0.04238,1.46064257745917e-05,6.00277407489591,5.99722592510409,-0.000147120417434323,-0.000138652427862247,0.000220384712990112,1.25420928988631e-05,-0.000140095633939921,0.000221812060617895
0.04239,1.45644480614203e-05,6.00276615550503,5.99723384449497,-0.000147121121035745,-0.000138653018988246,0.00022038456713261,1.25070160988371e-05,-0.000140096238451851,0.0002218119353698
0.0424,1.452258986701e-05,6.00275825834808,5.99724174165192,-0.000147121822604334,-0.000138653608404352,0.000220384421696502,1.24720365601721e-05,-0.0001400968412644,0.00022181181047379
0.0424,1.452258986701e-05,6.00275825834808,5.99724174165192,-0.000147121822604334,-0.000138653608404352,0.000220384421696502,1.24720365601721e-05,-0.0001400968412644,0.00022181181047379
0.04241,1.4480850670996e-05,6.00275038330493,5.99724961669507,-0.000147122522151567,-0.000138654196120226,0.000220384276679362,1.24371538691791e-05,-0.000140097442386908,0.000221811685927889
0.04242,1.4439229837505e-05,6.00274253025605,5.99725746974395,-0.000147123219688843,-0.000138654782145458,0.000220384132078778,1.24023675206968e-05,-0.000140098041828655,0.000221811561730134
0.04243,1.43977267597635e-05,6.00273469910965,5.99726530089035,-0.000147123915224929,-0.000138655366487432,0.000220383987892908,1.23676770332405e-05,-0.000140098639596777,0.000221811437879026
0.04244,1.43563413944037e-05,6.00272688985921,5.99727311014079,-0.000147124608760652,-0.000138655949146861,0.00022038384412162,1.23330823723956e-05,-0.000140099235691952,0.000221811314374458
0.04245,1.43150722560419e-05,6.00271910228414,5.99728089771586,-0.000147125300316686,-0.000138656530141128,0.000220383700760512,1.22985823585961e-05,-0.000140099830131011,0.000221811191212845
0.04246,1.42739196176391e-05,6.00271133642497,5.99728866357503,-0.000147125989889489,-0.000138657109467275,0.000220383557810392,1.22641772086032e-05,-0.000140100422911076,0.000221811068394845
0.04247,1.42328835832017e-05,6.00270359229717,5.99729640770283,-0.000147126677477845,-0.000138657687124299,0.000220383415271569,1.22298670050096e-05,-0.00014010101403116,0.00022181094592071
0.04248,1.41919641527298e-05,6.00269586990073,5.99730413009927,-0.000147127363081969,-0.000138658263112398,0.000220383273144043,1.21956517478151e-05,-0.000140101603491444,0.000221810823790439
0.04249,1.41511608459772e-05,6.00268816911433,5.99731183088567,-0.000147128046713423,-0.000138658837441303,0.00022038313142537,1.21615310550028e-05,-0.000140102191301341,0.000221810702002044
0.0425,1.41104738108722e-05,6.00268048997534,5.99731951002466,-0.000147128728368926,-0.000138659410108274,0.000220382990116303,1.21275050442437e-05,-0.000140102777458187,0.000221810580556136
0.0425,1.41104738108722e-05,6.00268048997534,5.99731951002466,-0.000147128728368926,-0.000138659410108274,0.000220382990116303,1.21275050442437e-05,-0.000140102777458187,0.000221810580556136
0.04251,1.40699025361814e-05,6.00267283236648,5.99732716763352,-0.000147129408059649,-0.000138659981122712,0.000220382849214482,1.20935733090017e-05,-0.000140103361971076,0.000221810459450794
0.04252,1.4029446401635e-05,6.00266519617105,5.99733480382895,-0.000147130085796687,-0.000138660550493954,0.000220382708717561,1.20597353563032e-05,-0.000140103944849048,0.000221810338684107
0.04253,1.39891048190362e-05,6.00265758129945,5.99734241870055,-0.000147130761588573,-0.000138661118229183,0.000220382568623748,1.20259907190838e-05,-0.000140104526099053,0.000221810218254615
0.04254,1.39488777463504e-05,6.00264998774531,5.99735001225469,-0.000147131435436106,-0.000138661684329088,0.000220382428932913,1.19923393639654e-05,-0.000140105105721747,0.000221810098162214
0.04255,1.39087637443654e-05,6.00264241529333,5.99735758470667,-0.000147132107359414,-0.000138662248810592,0.000220382289640775,1.19587801472268e-05,-0.000140105683733526,0.000221809978403414
0.04256,1.38687630775585e-05,6.00263486398309,5.99736513601691,-0.00014713277735504,-0.000138662811670808,0.000220382150748121,1.19253132790428e-05,-0.000140106260131581,0.000221809858978856
0.04257,1.38288758467034e-05,6.00262733382967,5.99737266617033,-0.000147133445421794,-0.000138663372908754,0.00022038201225525,1.18919388394964e-05,-0.000140106834914945,0.000221809739888785
0.04258,1.37891020518002e-05,6.00261982483305,5.99738017516695,-0.00014713411155988,-0.000138663932524618,0.000220381874162162,1.18586568285877e-05,-0.000140107408083788,0.000221809621133201
0.04259,1.37494412192252e-05,6.00261233687482,5.99738766312518,-0.000147134775780551,-0.000138664490527868,0.000220381736466481,1.18254668695118e-05,-0.00014010797964728,0.000221809502710167
0.0426,1.37098934948666e-05,6.00260486999146,5.99739513000854,-0.000147135438080605,-0.000138665046915832,0.000220381599168939,1.17923690783344e-05,-0.000140108549602818,0.000221809384620279
0.0426,1.37098934948666e-05,6.00260486999146,5.99739513000854,-0.000147135438080605,-0.000138665046915832,0.000220381599168939,1.17923690783344e-05,-0.000140108549602818,0.000221809384620279
0.04261,1.367045837665e-05,6.00259742406846,5.99740257593154,-0.000147136098470915,-0.000138665601697659,0.000220381462267238,1.1759363055682e-05,-0.000140109117959262,0.000221809266861666
0.04262,1.36311352592364e-05,6.00258999899191,5.99741000100809,-0.000147136756962282,-0.000138666154882436,0.000220381325759099,1.17264483202647e-05,-0.000140109684725414,0.00022180914943247
0.04263,1.35919235722163e-05,6.00258259467436,5.99741740532564,-0.000147137413563007,-0.000138666706477152,0.000220381189642776,1.16936244188799e-05,-0.000140110249908044,0.000221809032331267
0.04264,1.35528232748292e-05,6.0025752111096,5.9974247888904,-0.000147138068273862,-0.000138667256482473,0.000220381053918145,1.16608913191458e-05,-0.000140110813507783,0.000221808915557958
0.04265,1.35138329723487e-05,6.00256784808754,5.99743215191246,-0.000147138721114445,-0.000138667804914872,0.00022038091858104,1.16282479118623e-05,-0.000140111375540608,0.000221808799109145
0.04266,1.34749529210786e-05,6.00256050564678,5.99743949435322,-0.000147139372081381,-0.000138668351771534,0.000220380783632227,1.1595694400861e-05,-0.000140111936003774,0.000221808682985451
0.04267,1.34361832186781e-05,6.00255318380204,5.99744681619796,-0.000147140021173506,-0.000138668897051495,0.000220380649071997,1.1563230863808e-05,-0.000140112494896334,0.000221808567187116
0.04268,1.33975238651475e-05,6.00254588255333,5.99745411744667,-0.000147140668391012,-0.000138669440754934,0.000220380514900351,1.15308573007033e-05,-0.00014011305221845,0.000221808451714138
0.04269,1.33589743935228e-05,6.00253860178503,5.99746139821497,-0.000147141313744853,-0.000138669982891065,0.000220380381114976,1.14985733400126e-05,-0.000140113607979053,0.000221808336564633
0.0427,1.33205349476408e-05,6.00253134153277,5.99746865846723,-0.000147141957231903,-0.00013867052345728,0.000220380247716583,1.1466379096178e-05,-0.0001401141621756,0.000221808221739182
0.0427,1.33205349476408e-05,6.00253134153277,5.99746865846723,-0.000147141957231903,-0.00013867052345728,0.000220380247716583,1.1466379096178e-05,-0.0001401141621756,0.000221808221739182
0.04271,1.32822050341424e-05,6.0025241016848,5.9974758983152,-0.000147142598862746,-0.000138671062462483,0.000220380114702941,1.14342741767868e-05,-0.000140114714816721,0.000221808107235962
0.04272,1.32439840626694e-05,6.0025168821299,5.9974831178701,-0.000147143238647892,-0.000138671599915518,0.000220379982071829,1.14022581120913e-05,-0.000140115265910989,0.000221807993053165
0.04273,1.32058714800637e-05,6.00250968278276,5.99749031721724,-0.000147143876595421,-0.000138672135823185,0.00022037984982155,1.13703304622737e-05,-0.000140115815464994,0.000221807879189406
0.04274,1.31678672468043e-05,6.00250250363731,5.99749749636269,-0.000147144512706079,-0.000138672670186125,0.000220379717951985,1.13384911959108e-05,-0.00014011636347935,0.000221807765644586
0.04275,1.31299700111497e-05,6.00249534448856,5.99750465551144,-0.00014714514699894,-0.000138673203020377,0.000220379586459079,1.13067392372837e-05,-0.000140116909969617,0.0002218076524154
