"time","Revolute1.phi","Revolute1.w","Revolute2.phi","Revolute2.w","Revolute3.phi","Revolute3.w","Revolute4.phi","Revolute4.w"
0.88748,7.81059763168522,17.6017434346335,7.81059763168522,17.6017434346335,7.81059763168522,17.6017434346335,7.81059763168522,17.6017434346335
0.8877,7.81447049520905,17.6061067820392,7.81447049520905,17.6061067820392,7.81447049520905,17.6061067820392,7.81447049520905,17.6061067820392
0.88792,7.81834431866932,17.6104701294449,7.81834431866932,17.6104701294449,7.81834431866932,17.6104701294449,7.81834431866932,17.6104701294449
0.88814,7.82221910206601,17.6148334768506,7.82221910206601,17.6148334768506,7.82221910206601,17.6148334768506,7.82221910206601,17.6148334768506
0.88836,7.82609484539913,17.6191968242564,7.82609484539913,17.6191968242564,7.82609484539913,17.6191968242564,7.82609484539913,17.6191968242564
0.88858,7.82997154866868,17.6235601716621,7.82997154866868,17.6235601716621,7.82997154866868,17.6235601716621,7.82997154866868,17.6235601716621
0.8888,7.83384921187466,17.6279235190678,7.83384921187466,17.6279235190678,7.83384921187466,17.6279235190678,7.83384921187466,17.6279235190678
0.88902,7.83772783501707,17.6322868664735,7.83772783501707,17.6322868664735,7.83772783501707,17.6322868664735,7.83772783501707,17.6322868664735
0.88924,7.84160741809591,17.6366502138792,7.84160741809591,17.6366502138792,7.84160741809591,17.6366502138792,7.84160741809591,17.6366502138792
0.88946,7.84548796111118,17.6410135612849,7.84548796111118,17.6410135612849,7.84548796111118,17.6410135612849,7.84548796111118,17.6410135612849
0.88968,7.84936946406287,17.6453769086906,7.84936946406287,17.6453769086906,7.84936946406287,17.6453769086906,7.84936946406287,17.6453769086906
0.8899,7.853251926951,17.6497402560963,7.853251926951,17.6497402560963,7.853251926951,17.6497402560963,7.853251926951,17.6497402560963
0.89012,7.85713534977556,17.654103603502,7.85713534977556,17.654103603502,7.85713534977556,17.654103603502,7.85713534977556,17.654103603502
0.89034,7.86101973253654,17.6584669509077,7.86101973253654,17.6584669509077,7.86101973253654,17.6584669509077,7.86101973253654,17.6584669509077
0.89056,7.86490507523396,17.6628302983135,7.86490507523396,17.6628302983135,7.86490507523396,17.6628302983135,7.86490507523396,17.6628302983135
0.89078,7.8687913778678,17.6671936457192,7.8687913778678,17.6671936457192,7.8687913778678,17.6671936457192,7.8687913778678,17.6671936457192
0.891,7.87267864043807,17.6715569931249,7.87267864043807,17.6715569931249,7.87267864043807,17.6715569931249,7.87267864043807,17.6715569931249
0.89122,7.87656686294477,17.6759203405306,7.87656686294477,17.6759203405306,7.87656686294477,17.6759203405306,7.87656686294477,17.6759203405306
0.89144,7.88045604538791,17.6802836879363,7.88045604538791,17.6802836879363,7.88045604538791,17.6802836879363,7.88045604538791,17.6802836879363
0.89166,7.88434618776747,17.684647035342,7.88434618776747,17.684647035342,7.88434618776747,17.684647035342,7.88434618776747,17.684647035342
0.89188,7.88823729008346,17.6890103827477,7.88823729008346,17.6890103827477,7.88823729008346,17.6890103827477,7.88823729008346,17.6890103827477
0.8921,7.89212935233587,17.6933737301534,7.89212935233587,17.6933737301534,7.89212935233587,17.6933737301534,7.89212935233587,17.6933737301534
0.89232,7.89602237452472,17.6977370775591,7.89602237452472,17.6977370775591,7.89602237452472,17.6977370775591,7.89602237452472,17.6977370775591
0.89254,7.89991635665,17.7021004249648,7.89991635665,17.7021004249648,7.89991635665,17.7021004249648,7.89991635665,17.7021004249648
0.89276,7.90381129871171,17.7064637723705,7.90381129871171,17.7064637723705,7.90381129871171,17.7064637723705,7.90381129871171,17.7064637723705
0.89298,7.90770720070984,17.7108271197763,7.90770720070984,17.7108271197763,7.90770720070984,17.7108271197763,7.90770720070984,17.7108271197763
0.8932,7.91160406264441,17.715190467182,7.91160406264441,17.715190467182,7.91160406264441,17.715190467182,7.91160406264441,17.715190467182
0.89342,7.9155018845154,17.7195538145877,7.9155018845154,17.7195538145877,7.9155018845154,17.7195538145877,7.9155018845154,17.7195538145877
0.89364,7.91940066632283,17.7239171619934,7.91940066632283,17.7239171619934,7.91940066632283,17.7239171619934,7.91940066632283,17.7239171619934
0.89386,7.92330040806668,17.7282805093991,7.92330040806668,17.7282805093991,7.92330040806668,17.7282805093991,7.92330040806668,17.7282805093991
0.89408,7.92720110974697,17.7326438568048,7.92720110974697,17.7326438568048,7.92720110974697,17.7326438568048,7.92720110974697,17.7326438568048
0.8943,7.93110277136368,17.7370072042105,7.93110277136368,17.7370072042105,7.93110277136368,17.7370072042105,7.93110277136368,17.7370072042105
0.89452,7.93500539291682,17.7413705516162,7.93500539291682,17.7413705516162,7.93500539291682,17.7413705516162,7.93500539291682,17.7413705516162
0.89474,7.93890897440639,17.7457338990219,7.93890897440639,17.7457338990219,7.93890897440639,17.7457338990219,7.93890897440639,17.7457338990219
0.89496,7.94281351583239,17.7500972464276,7.94281351583239,17.7500972464276,7.94281351583239,17.7500972464276,7.94281351583239,17.7500972464276
0.89518,7.94671901719482,17.7544605938334,7.94671901719482,17.7544605938334,7.94671901719482,17.7544605938334,7.94671901719482,17.7544605938334
0.8954,7.95062547849368,17.7588239412391,7.95062547849368,17.7588239412391,7.95062547849368,17.7588239412391,7.95062547849368,17.7588239412391
