"time","zeta_TOT[1]","zeta_TOT[2]","zeta_TOT[3]","rho","input_mdot[1]","input_mdot[2]","input_mdot[3]","input_dp[1]","input_dp[2]","input_dp[3]","M_FLOW[1]","M_FLOW[2]","M_FLOW[3]","DP[1]","DP[2]","DP[3]","DP_plot[1]","DP_plot[2]","DP_plot[3]","input_DP.y"
0.0031,0.01,0.1,1,1.2,0.556869341733272,0.17609754789958,0.0556869341733272,20.9467,20.9467,20.9467,0.556869341733272,0.17609754789958,0.0556869341733272,20.9467,20.9467,20.9467,20.9467,20.9467,20.9467,20.9467
0.0032,0.01,0.1,1,1.2,0.565779816981104,0.17891528758135,0.0565779816981104,21.6224,21.6224,21.6224,0.565779816981104,0.17891528758135,0.0565779816981104,21.6224,21.6224,21.6224,21.6224,21.6224,21.6224,21.6224
0.0033,0.01,0.1,1,1.2,0.5745521202153,0.181689333435922,0.0574552120215299,22.2981,22.2981,22.2981,0.5745521202153,0.181689333435922,0.0574552120215299,22.2981,22.2981,22.2981,22.2981,22.2981,22.2981,22.2981
0.0034,0.01,0.1,1,1.2,0.58319248656393,0.184421657183916,0.058319248656393,22.9738,22.9738,22.9738,0.58319248656393,0.184421657183916,0.058319248656393,22.9738,22.9738,22.9738,22.9738,22.9738,22.9738,22.9738
0.0035,0.01,0.1,1,1.2,0.591706695859819,0.187114086568955,0.0591706695859819,23.6495,23.6495,23.6495,0.591706695859819,0.187114086568955,0.0591706695859819,23.6495,23.6495,23.6495,23.6495,23.6495,23.6495,23.6495
0.0036,0.01,0.1,1,1.2,0.600100117868734,0.189768319660071,0.0600100117868734,24.3252,24.3252,24.3252,0.600100117868734,0.189768319660071,0.0600100117868734,24.3252,24.3252,24.3252,24.3252,24.3252,24.3252,24.3252
0.0037,0.01,0.1,1,1.2,0.608377751899913,0.192385937377656,0.0608377751899913,25.0009,25.0009,25.0009,0.608377751899913,0.192385937377656,0.0608377751899913,25.0009,25.0009,25.0009,25.0009,25.0009,25.0009,25.0009
0.0038,0.01,0.1,1,1.2,0.616544261628893,0.194968414505406,0.0616544261628893,25.6766,25.6766,25.6766,0.616544261628893,0.194968414505406,0.0616544261628893,25.6766,25.6766,25.6766,25.6766,25.6766,25.6766,25.6766
0.0039,0.01,0.1,1,1.2,0.624604005821481,0.197517129406095,0.0624604005821481,26.3523,26.3523,26.3523,0.624604005821481,0.197517129406095,0.0624604005821481,26.3523,26.3523,26.3523,26.3523,26.3523,26.3523,26.3523
0.004,0.01,0.1,1,1.2,0.632561065533569,0.200033372622911,0.0632561065533569,27.028,27.028,27.028,0.632561065533569,0.200033372622911,0.0632561065533569,27.028,27.028,27.028,27.028,27.028,27.028,27.028
