"time","meanCurrent.x","meanVoltage.x","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanVoltage.y","rootMeanSquareVoltage.mean.y"
0.0633,0.0179007633322307,0.358015266644613,39.7319592291582,6.43249545514531,128.649909102906,17103.2893406036
0.0634,0.0185763719378889,0.371527438757778,41.5577963194349,6.43249545514531,128.649909102906,17103.2893406036
0.0635,0.0192637516566685,0.385275033133369,43.4478036537927,6.43249545514531,128.649909102906,17103.2893406036
0.0636,0.0199622241267504,0.399244482535007,45.3992975959599,6.43249545514531,128.649909102906,17103.2893406036
0.0637,0.0206711000171675,0.413422000343351,47.4093516712916,6.43249545514531,128.649909102906,17103.2893406036
0.0638,0.0213896797415778,0.427793594831556,49.4748083447825,6.43249545514531,128.649909102906,17103.2893406036
0.0639,0.0221172541514903,0.442345083029805,51.5922915227176,6.43249545514531,128.649909102906,17103.2893406036
0.064,0.0228531052280588,0.457062104561177,53.7582198362365,6.43249545514531,128.649909102906,17103.2893406036
0.0641,0.0235965067813779,0.471930135627558,55.968820745881,6.43249545514531,128.649909102906,17103.2893406036
0.0642,0.0243467251605479,0.486934503210959,58.220145271676,6.43249545514531,128.649909102906,17103.2893406036
0.0643,0.025103019984562,0.502060399691241,60.5080837393353,6.43249545514531,128.649909102906,17103.2893406036
0.0644,0.0258646448813564,0.517292897627128,62.8283820126036,6.43249545514531,128.649909102906,17103.2893406036
0.0645,0.0266308482213189,0.532616964426379,65.1766582632935,6.43249545514531,128.649909102906,17103.2893406036
0.0646,0.0274008738558971,0.548017477117942,67.5484202441784,6.43249545514531,128.649909102906,17103.2893406036
0.0647,0.028173961862896,0.563479237257921,69.9390830103923,6.43249545514531,128.649909102906,17103.2893406036
0.0648,0.0289493492969687,0.578986985939374,72.3439870230721,6.43249545514531,128.649909102906,17103.2893406036
0.0649,0.0297262709432923,0.594525418865845,74.7584165220791,6.43249545514531,128.649909102906,17103.2893406036
0.065,0.0305039600741214,0.610079201482427,77.1776181607553,6.43249545514531,128.649909102906,17103.2893406036
0.0651,0.0312816492050484,0.625632984100968,79.596819809091,6.43249545514531,128.649909102906,17103.2893406036
0.0652,0.0320585708516597,0.641171417033195,82.0112494367423,6.43249545514531,128.649909102906,17103.2893406036
0.0653,0.0328339582859125,0.65667916571825,84.4161537646248,6.43249545514531,128.649909102906,17103.2893406036
0.0654,0.0336070462928163,0.672140925856326,86.8068167301419,6.43249545514531,128.649909102906,17103.2893406036
0.0655,0.0343770719269154,0.687541438538308,89.1785786134038,6.43249545514531,128.649909102906,17103.2893406036
0.0656,0.0351432752601365,0.70286550520273,91.5268540304623,6.43249545514531,128.649909102906,17103.2893406036
0.0657,0.0359049001473563,0.718098002947126,93.8471512076717,6.43249545514531,128.649909102906,17103.2893406036
