"time","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.stator.zeroInductor.i0","cRun.v","cStart.v","loadInertia.phi","loadInertia.w"
0.00145,1.45555647152968e-10,-1.04217799755082e-08,5.69011108070834e-09,-2.38854720026121e-07,4.3507962490766e-16,1.08792722999375e-05,1.08767889684543e-05,2.05353599159843e-20,6.54224886381216e-17
0.0015,1.65941540499521e-10,-1.11201061507044e-08,6.26710716049007e-09,-2.46817202604968e-07,5.0577395550243e-16,1.15893718941409e-05,1.1586816923497e-05,2.67093799981487e-20,8.15731051589652e-17
0.00155,1.87997455578088e-10,-1.18403677422668e-08,6.87782946057794e-09,-2.54745139217856e-07,5.77533760155211e-16,1.23199389219179e-05,1.23173135738432e-05,3.3714433547884e-20,9.97044433649926e-17
0.0016,2.11723392388668e-10,-1.25825647501955e-08,7.52227798097194e-09,-2.62638529864784e-07,6.50359038866002e-16,1.30709733832685e-05,1.30682789194927e-05,4.15505205651903e-20,1.19816503256204e-16
0.00165,2.37119350931263e-10,-1.33466971744904e-08,8.20045272167208e-09,-2.70497374545753e-07,7.24249791634803e-16,1.38424752781926e-05,1.38397129604457e-05,5.02176410500676e-20,1.41909284832599e-16
0.0017,2.6418533120587e-10,-1.41327650151516e-08,8.91235368267836e-09,-2.78321673260763e-07,7.99206018461615e-16,1.46344446066903e-05,1.46316156967021e-05,5.97157950025159e-20,1.65982788094177e-16
0.00175,2.92921333212492e-10,-1.4940768272179e-08,9.65798086399078e-09,-2.86111426009813e-07,8.75227719346437e-16,1.54468813687616e-05,1.54439871282619e-05,7.00449824225351e-20,1.9203701304094e-16
0.0018,3.23327356951127e-10,-1.57707069455726e-08,1.04373342656093e-08,-2.93866632792904e-07,9.52314894289269e-16,1.62797855644065e-05,1.62768272551251e-05,8.12052033101253e-20,2.20071959672886e-16
0.00185,3.55886808104504e-10,-1.6621699003135e-08,1.12541831763564e-08,-3.01578234332679e-07,1.03084602426942e-15,1.71313394439852e-05,1.71283184854548e-05,9.4050544311806e-20,2.51667372072424e-16
0.0019,3.93643064131812e-10,-1.74881914342089e-08,1.21322579102292e-08,-3.09189196131016e-07,1.11320391222507e-15,1.79900989999532e-05,1.79870178051867e-05,1.13958079262419e-19,2.96768846047519e-16
0.00195,4.33916624550051e-10,-1.83750733118514e-08,1.30506654335276e-08,-3.16749733439661e-07,1.19729065156745e-15,1.88661399538252e-05,1.88630000611395e-05,1.36193636298369e-19,3.46619916411533e-16
0.002,4.76707489359217e-10,-1.92823446360625e-08,1.40094057462514e-08,-3.24259846258611e-07,1.28310624229656e-15,1.97594623056012e-05,1.9756265253313e-05,1.60757215419654e-19,4.01220583164467e-16
0.00205,5.22015658559314e-10,-2.02100054068422e-08,1.50084788484008e-08,-3.31719534587868e-07,1.37065068441239e-15,2.06700660552813e-05,2.06668133817072e-05,1.87648816626276e-19,4.60570846306321e-16
0.0021,5.69841132150339e-10,-2.11580556241904e-08,1.60478847399757e-08,-3.39128798427431e-07,1.45992397791495e-15,2.15979512028653e-05,2.15946444463223e-05,2.16868439918233e-19,5.24670705837094e-16
0.00215,6.20183910132292e-10,-2.21264952881073e-08,1.71276234209761e-08,-3.46487637777301e-07,1.55092612280423e-15,2.25431177483534e-05,2.25397584471582e-05,2.48416085295526e-19,5.93520161756786e-16
0.0022,6.73043992505176e-10,-2.31153243985928e-08,1.8247694891402e-08,-3.53796052637477e-07,1.64365711908023e-15,2.35055656917455e-05,2.35021553842148e-05,2.82291752758155e-19,6.67119214065399e-16
0.00225,7.28421379268988e-10,-2.41245429556468e-08,1.94080991512534e-08,-3.61054043007959e-07,1.73811696674296e-15,2.44852950330417e-05,2.44818352574922e-05,3.1849544230612e-19,7.4546786276293e-16
0.0023,7.90542586656268e-10,-2.51458766678782e-08,2.06318534094131e-08,-3.68196699069377e-07,1.82818111590854e-15,2.54657711714164e-05,2.54622644826585e-05,3.70547030285721e-19,8.49683043230394e-16
0.00235,8.56379151400956e-10,-2.61852543868876e-08,2.19024649404889e-08,-3.75270531231903e-07,1.91823804477603e-15,2.64588417914553e-05,2.64552900159422e-05,4.28758999454927e-19,9.64633649948589e-16
0.0024,9.25712007939392e-10,-2.72431049794316e-08,2.32187407340769e-08,-3.82278903851753e-07,2.00860519634071e-15,2.74653639019691e-05,2.74617688134677e-05,4.92430597901414e-19,1.08922516603943e-15
0.00245,9.98541156271576e-10,-2.83194284455101e-08,2.45806807901771e-08,-3.89221816928929e-07,2.09928257060258e-15,2.84853375029576e-05,2.8481700875235e-05,5.61561825625182e-19,1.22345759150291e-15
0.0025,1.07486659639751e-09,-2.94142247851231e-08,2.59882851087895e-08,-3.96099270463429e-07,2.19027016756165e-15,2.95187625944209e-05,2.95150862012441e-05,6.36152682626231e-19,1.36733092633904e-15
0.00255,1.15468832831719e-09,-3.05274939982707e-08,2.74415536899142e-08,-4.02911264455255e-07,2.28156798721792e-15,3.05656391763591e-05,3.05619247914951e-05,7.16203168904562e-19,1.52084517054782e-15
0.0026,1.23800635203061e-09,-3.16592360849527e-08,2.8940486533551e-08,-4.09657798904406e-07,2.37317602957137e-15,3.1625967248772e-05,3.16222166459879e-05,8.01713284460174e-19,1.68400032412924e-15
0.00265,1.32482066753779e-09,-3.28094510451693e-08,3.04850836397001e-08,-4.16338873810881e-07,2.46509429462202e-15,3.26997468116597e-05,3.26959617647225e-05,8.92683029293067e-19,1.85679638708331e-15
0.0027,1.41717513828959e-09,-3.39738451372092e-08,3.20828948132813e-08,-4.22922583839343e-07,2.66903605024873e-15,3.37786549933231e-05,3.37748376999217e-05,9.99462795251301e-19,2.0542811302879e-15
0.00275,1.51453696055571e-09,-3.51535376734216e-08,3.37319519364036e-08,-4.29417246219437e-07,2.95587936767226e-15,3.48648614382588e-05,3.48610139855722e-05,1.11935439455504e-18,2.27253183158017e-15
0.0028,1.61645164345329e-09,-3.63494834467796e-08,3.54305761701495e-08,-4.3582995569324e-07,3.30078273327649e-15,3.5960216891097e-05,3.59563412720373e-05,1.25005622592712e-18,2.50820234047816e-15
0.00285,1.72302542819277e-09,-3.7561459266093e-08,3.71791599577681e-08,-4.42159053802872e-07,3.70955306767312e-15,3.70642887241279e-05,3.70603869536431e-05,1.39210630875327e-18,2.7620748488605e-15
0.0029,1.83436455598457e-09,-3.87892419401712e-08,3.89780957425083e-08,-4.48402882090455e-07,4.18799729147386e-15,3.81766443096421e-05,3.81727184247155e-05,1.54604266241922e-18,3.03493154860583e-15
0.00295,1.95057526803912e-09,-4.00326082778238e-08,4.08277759676191e-08,-4.54559782098106e-07,4.74192232529043e-15,3.92968510199297e-05,3.92929030795808e-05,1.7124033063107e-18,3.32755463159279e-15
0.003,2.07176380556686e-09,-4.12913350878604e-08,4.27285930763496e-08,-4.60628095367948e-07,5.37713508973455e-15,4.04244762272813e-05,4.04205083125649e-05,1.89172625981343e-18,3.64072628970002e-15
0.00305,2.1980364097782e-09,-4.25651991790906e-08,4.46809395119488e-08,-4.666061634421e-07,6.09944250541793e-15,4.15590873039872e-05,4.15551015179939e-05,2.08454954231314e-18,3.97522871480616e-15
0.0031,2.33005456226006e-09,-4.38524810870226e-08,4.66835809208565e-08,-4.72493851689205e-07,7.08397468696106e-15,4.26976233690864e-05,4.26936217608615e-05,2.30141595330121e-18,4.34174685932905e-15
0.00315,2.46808185696624e-09,-4.51525335830241e-08,4.87364487190772e-08,-4.78289933497289e-07,8.38452402257731e-15,4.38389069591605e-05,4.3834891578224e-05,2.54569882397302e-18,4.74386931504901e-15
0.0032,2.61190243129961e-09,-4.64660014879369e-08,5.08408790806629e-08,-4.83991866412378e-07,9.90867034455585e-15,4.49840301381746e-05,4.49800031002179e-05,2.81213224103491e-18,5.17663352434469e-15
0.00325,2.76166256433713e-09,-4.7792553715696e-08,5.29971471420594e-08,-4.89598101858303e-07,1.16744303113621e-14,4.61323707575244e-05,4.61283341947886e-05,3.10197565925003e-18,5.6415357579362e-15
0.0033,2.91750853515577e-09,-4.91318591802366e-08,5.52055280397128e-08,-4.95107091258896e-07,1.36998205814617e-14,4.72833066686057e-05,4.72792627298813e-05,3.41648853338151e-18,6.14007228654364e-15
0.00335,3.07958662283247e-09,-5.04835867954937e-08,5.74662969100689e-08,-5.00517286037988e-07,1.600285781332e-14,4.84362157228141e-05,4.84321665734414e-05,3.7569303181925e-18,6.67373938088714e-15
0.0034,3.24804310644421e-09,-5.18474054754024e-08,5.97797288895736e-08,-5.05827137619411e-07,1.86015586654025e-14,4.95904757715454e-05,4.95864235934141e-05,4.12456046844613e-18,7.24403331168679e-15
0.00345,3.42302426506794e-09,-5.32229841338978e-08,6.21460991146729e-08,-5.11035097426997e-07,2.15139397961747e-14,5.07454646661953e-05,5.07414116577448e-05,4.52063843890556e-18,7.85245034966273e-15
0.0035,3.60467637778062e-09,-5.46099916849148e-08,6.45656827218125e-08,-5.16139616884578e-07,2.47580178641021e-14,5.19005602581596e-05,5.18965086343787e-05,4.94642368433392e-18,8.50048676553505e-15
0.00355,3.79314572365923e-09,-5.60080970423887e-08,6.70387548474385e-08,-5.21139147415985e-07,2.83518095276503e-14,5.30551403988339e-05,5.30510923912611e-05,5.40317565949435e-18,9.18963883002387e-15
0.0036,3.98857858178071e-09,-5.74169691202544e-08,6.95655906279967e-08,-5.2603214044505e-07,3.23133314452846e-14,5.4208582939614e-05,5.42045407963374e-05,5.89215381915e-18,9.92140281384931e-15
0.00365,4.190914390152e-09,-5.88359040118509e-08,7.21387324855679e-08,-5.30823409484724e-07,3.54069492201301e-14,5.53602173528405e-05,5.53561831144712e-05,6.43376651536834e-18,1.07092337412673e-14
0.0037,4.40035622599696e-09,-6.02646730069084e-08,7.47605789445999e-08,-5.35509658941805e-07,3.79949295997903e-14,5.65094347747015e-05,5.65054105599176e-05,7.02401495375633e-18,1.15513440330357e-14
0.00375,4.6171123494788e-09,-6.17030567371436e-08,7.74337222927505e-08,-5.40087433804454e-07,4.04709528098729e-14,5.76556275536479e-05,5.76516155648076e-05,7.65842051464438e-18,1.24456464523326e-14
0.0038,4.84132149899106e-09,-6.31507105247901e-08,8.01581557594388e-08,-5.44555417435448e-07,4.28073318885139e-14,5.87981717773485e-05,5.87941742251926e-05,8.33894075289966e-18,1.33940732431333e-14
0.00385,5.07312241292727e-09,-6.46072896920814e-08,8.29338725740841e-08,-5.48912293197567e-07,4.49763798738493e-14,5.99364435334723e-05,5.99324626371239e-05,9.06753322338931e-18,1.43985566494127e-14
0.0039,5.31265382968099e-09,-6.60724495612511e-08,8.57608659661058e-08,-5.53156744453588e-07,4.6950409804015e-14,6.10698189096883e-05,6.10658568966527e-05,9.8461554809805e-18,1.54610289151459e-14
0.00395,5.56005448764573e-09,-6.75458454545327e-08,8.86391291649231e-08,-5.57287454566292e-07,4.8701734717147e-14,6.21976739936653e-05,6.21937330998304e-05,1.06767650805404e-17,1.65834222843082e-14
0.004,5.81546312521504e-09,-6.90271326941597e-08,9.15686553999552e-08,-5.61303106898456e-07,5.02026676513814e-14,6.33193848730723e-05,6.33154673427082e-05,1.15613195769361e-17,1.77676690008745e-14
0.00405,6.07901848078246e-09,-7.05159666023656e-08,9.45494379006213e-08,-5.6520238481286e-07,5.1425521644854e-14,6.44343276355781e-05,6.44304357213375e-05,1.25017765250347e-17,1.90157013088199e-14
0.0041,6.35085929274152e-09,-7.20120025013841e-08,9.75814698963408e-08,-5.68983971672281e-07,5.2342609735701e-14,6.55418783688519e-05,6.55380143317695e-05,1.35000934797036e-17,2.03294514521197e-14
0.00415,6.63112429948575e-09,-7.35148957134486e-08,1.00664744616533e-07,-5.72646550839499e-07,5.29262449620581e-14,6.66414131605623e-05,6.66375792700556e-05,1.45582279958097e-17,2.17108516747487e-14
0.0042,6.91888870348946e-09,-7.50228963542237e-08,1.03777914709793e-07,-5.76202092308716e-07,4.75147047105774e-14,6.77326822029345e-05,6.77288801722336e-05,1.57658453704639e-17,2.32002375373272e-14
0.00425,7.21490718922816e-09,-7.65364735703421e-08,1.06933332787962e-07,-5.79641584499437e-07,3.93432498169787e-14,6.8814844921246e-05,6.88110767989334e-05,1.7074107281104e-17,2.47773000299194e-14
0.0043,7.51941740110656e-09,-7.805541336451e-08,1.10132976697704e-07,-5.82962475153065e-07,2.89081436467565e-14,6.98872426124373e-05,6.98835105079815e-05,1.84768146958976e-17,2.6440399990217e-14
0.00435,7.8325306667559e-09,-7.95793348422405e-08,1.13376289652612e-07,-5.86163790071867e-07,1.60364919072672e-14,7.09492610060622e-05,7.09455670227632e-05,1.99781856820563e-17,2.819245943994e-14
0.0044,8.15435831380742e-09,-8.11078571090462e-08,1.16662714866276e-07,-5.89244555058108e-07,5.55400305867772e-16,7.20002858316748e-05,7.19966320666641e-05,2.15824383067919e-17,3.00364004008088e-14
0.00445,8.48501166989235e-09,-8.26405992704403e-08,1.19991695552291e-07,-5.92203795914056e-07,-1.77080254500853e-14,7.3039702818829e-05,7.30360913630697e-05,2.3293790637316e-17,3.19751448945435e-14
0.0045,8.82460206264195e-09,-8.41771804319357e-08,1.23362674924247e-07,-5.95040538441978e-07,-3.8926679653236e-14,7.40668976970788e-05,7.40633306353658e-05,2.51164607408405e-17,3.40116149428645e-14
0.00455,9.17324081968743e-09,-8.57172196990452e-08,1.26775096195737e-07,-5.9775380844414e-07,-6.32734565962268e-14,7.50812561959781e-05,7.50777356069376e-05,2.70546666845769e-17,3.61487325674918e-14
0.0046,9.53103926866005e-09,-8.72603361772818e-08,1.30228402580353e-07,-6.00342631722809e-07,-9.09212505717016e-14,7.60821640450808e-05,7.60786920011709e-05,2.91126265357371e-17,3.83894197901458e-14
0.00465,9.89810873719104e-09,-8.88061489721584e-08,1.33722037291687e-07,-6.02806034080251e-07,-1.22042955872304e-13,7.70690069739411e-05,7.70655855414512e-05,3.12945583615327e-17,4.07365986325467e-14
0.0047,1.02745605529116e-08,-9.0354277189188e-08,1.37255443543332e-07,-6.05143041318734e-07,-1.56811466790677e-13,7.80411707121126e-05,7.80378019511639e-05,3.36046802291754e-17,4.31931911164146e-14
0.00475,1.06605060434531e-08,-9.19043399338834e-08,1.40828064548879e-07,-6.07352679240525e-07,-1.95399677619464e-13,7.89980409891496e-05,7.89947269536947e-05,3.6047210205877e-17,4.57621192634698e-14
0.0048,1.10560565364466e-08,-9.34559563117577e-08,1.4443934352192e-07,-6.09433973647889e-07,-2.37980482651309e-13,7.99390035346058e-05,7.99357462724291e-05,3.86263663588493e-17,4.84463050954326e-14
0.00485,1.14613233595235e-08,-9.50087454283237e-08,1.48088723676049e-07,-6.11385950343093e-07,-2.84726776178855e-13,8.08634440780353e-05,8.08602456307526e-05,4.13463667553037e-17,5.12486706340231e-14
0.0049,1.18764178403149e-08,-9.65623263890943e-08,1.51775648224856e-07,-6.13207635128405e-07,-3.35811452494745e-13,8.1770748348992e-05,8.17676107520508e-05,4.42114294624522e-17,5.41721379009616e-14
0.00495,1.23014513064521e-08,-9.81163182995826e-08,1.55499560381935e-07,-6.14898053806091e-07,-3.91407405891624e-13,8.26603020770299e-05,8.26572273597092e-05,4.72257725475065e-17,5.72196289179683e-14
0.005,1.27365350855664e-08,-9.96703402653013e-08,1.59259903360876e-07,-6.16456232178418e-07,-4.51687530662133e-13,8.35314909917029e-05,8.35284811771133e-05,5.03936140776781e-17,6.03940657067635e-14
0.00505,1.31817805052889e-08,-1.01224011391764e-07,1.63056120375273e-07,-6.17881196047653e-07,-5.16824721098918e-13,8.4383700822565e-05,8.43807579276489e-05,5.3719172120179e-17,6.36983702890673e-14
0.0051,1.3637298893251e-08,-1.02776950784482e-07,1.66887654638718e-07,-6.19171971216061e-07,-5.86991871494619e-13,8.52163172991702e-05,8.52134433347012e-05,5.72066647422206e-17,6.71354646866e-14
0.00515,1.41032015770838e-08,-1.0432877754897e-07,1.70753949364803e-07,-6.20327583485911e-07,-6.62361876141882e-13,8.60287261510723e-05,8.60259231216559e-05,6.08603100110149e-17,7.07082709210817e-14
0.0052,1.45795998844186e-08,-1.0587911079074e-07,1.74654447767119e-07,-6.21347058659468e-07,-7.43107629333351e-13,8.68203131078254e-05,8.68175830118986e-05,6.46843259937735e-17,7.44197110142329e-14
0.00525,1.50661164933833e-08,-1.07427668727825e-07,1.78584522496296e-07,-6.22240269029351e-07,-8.49692091317837e-13,8.75914545527267e-05,8.75887991901303e-05,6.87098160634296e-17,7.82781996550112e-14
0.0053,1.55611659554184e-08,-1.08974414621951e-07,1.82529482229267e-07,-6.23043903521292e-07,-1.05274295185796e-12,8.83449761404158e-05,8.83423966366399e-05,7.30343542535999e-17,8.23057314865689e-14
0.00535,1.6066650048001e-08,-1.1051860442264e-07,1.86503685039416e-07,-6.23717245551985e-07,-1.27808872301348e-12,8.90766337679603e-05,8.90741319473971e-05,7.75636487770026e-17,8.64851029699962e-14
0.0054,1.65826595985815e-08,-1.12059861393446e-07,1.90506403369104e-07,-6.24259775963579e-07,-1.52675352273682e-12,8.97858547255432e-05,8.97834323983436e-05,8.23030456128223e-17,9.08194665593989e-14
0.00545,1.71092854346105e-08,-1.13597808797922e-07,1.94536909660696e-07,-6.24670975598221e-07,-1.79976146898043e-12,9.04720663033476e-05,9.04697252654213e-05,8.72578907402444e-17,9.53119747088831e-14
0.0055,1.76466183835384e-08,-1.15132069899621e-07,1.98594476356554e-07,-6.2495032529806e-07,-2.09813667969676e-12,9.11346957915565e-05,9.11324378245718e-05,9.24335301384539e-17,9.99657798725552e-14
0.00555,1.81947492728159e-08,-1.16662267962099e-07,2.0267837589904e-07,-6.25097305905245e-07,-2.42290327283823e-12,9.17731704803529e-05,9.17709973517368e-05,9.78353097866355e-17,1.04784034504521e-13
0.0056,1.87537689298935e-08,-1.18188026248907e-07,2.06787880730519e-07,-6.25111398261924e-07,-2.77508536635731e-12,9.23869176599198e-05,9.23848311228581e-05,1.03468575663974e-16,1.09769891058887e-13
0.00565,1.93237681822216e-08,-1.197089680236e-07,2.10922263293352e-07,-6.24992083210245e-07,-3.15570707820642e-12,9.29753646204404e-05,9.29733664138776e-05,1.09338673749656e-16,1.14926501989759e-13
0.0057,1.99048378572508e-08,-1.21224716549732e-07,2.15080796029904e-07,-6.24738841592357e-07,-3.56579252633801e-12,9.35379386520976e-05,9.35360305007368e-05,1.15450950022865e-16,1.20257019751243e-13
0.00575,2.04970687824318e-08,-1.22734895090856e-07,2.19262751382536e-07,-6.24351154250409e-07,-4.00636582870452e-12,9.40740670450743e-05,9.40722506593776e-05,1.21810750462786e-16,1.25764596797445e-13
0.0058,2.11005517852149e-08,-1.24239126910526e-07,2.23467401793612e-07,-6.23828502026548e-07,-4.47845110325841e-12,9.45831770895538e-05,9.45814541657417e-05,1.28423421048604e-16,1.31452385582472e-13
0.00585,2.17153776930507e-08,-1.25737035272296e-07,2.27694019705495e-07,-6.23170365762924e-07,-4.98307246795209e-12,9.50646960757189e-05,9.50630682957708e-05,1.35294307759505e-16,1.37323538560429e-13
0.0059,2.23416373333897e-08,-1.2722824343972e-07,2.31941877560548e-07,-6.22376226301684e-07,-5.52125404073802e-12,9.55180512937527e-05,9.55165203254067e-05,1.42428756574673e-16,1.43381208185423e-13
0.00595,2.29794215336826e-08,-1.2871237467635e-07,2.36210247801134e-07,-6.21445564484977e-07,-6.09401993956865e-12,9.59426700338382e-05,9.59412375305911e-05,1.49832113473294e-16,1.49628546911559e-13
0.006,2.36288211213798e-08,-1.30189052245742e-07,2.40498402869616e-07,-6.20377861154952e-07,-6.70239428239641e-12,9.63379795861585e-05,9.63366471872658e-05,1.57509724434552e-16,1.56068707192945e-13
0.00605,2.42899269239318e-08,-1.31657899411447e-07,2.44805615208356e-07,-6.19172597153756e-07,-7.34740118717374e-12,9.67034072408966e-05,9.67021765713725e-05,1.65466935437633e-16,1.62704841483685e-13
0.0061,2.4957637685336e-08,-1.33118752626419e-07,2.49087636514133e-07,-6.17878561873731e-07,-8.09989751037193e-12,9.70480082723227e-05,9.70468796308873e-05,1.73997168810477e-16,1.69587814632115e-13
0.00615,2.56351421746672e-08,-1.34571107951265e-07,2.53369706594911e-07,-6.16465815403015e-07,-8.91924052284044e-12,9.73654652762346e-05,9.73644397302247e-05,1.82933885060897e-16,1.76692310710927e-13
0.0062,2.63234958044739e-08,-1.3601454904322e-07,2.57659183175778e-07,-6.14924678042878e-07,-9.79348081860044e-12,9.76534168562392e-05,9.76524957025032e-05,1.92228911353207e-16,1.84012618167153e-13
0.00625,2.70227328335248e-08,-1.37448701488573e-07,2.61954864532755e-07,-6.13255167860982e-07,-1.07244033558359e-11,9.79113952011358e-05,9.7910579707986e-05,2.01890732310165e-16,1.91552409290005e-13
0.0063,2.77328875205882e-08,-1.38873190873615e-07,2.66255548941865e-07,-6.11457302924986e-07,-1.1713793092731e-11,9.81389324997237e-05,9.8138223906936e-05,2.11927832554529e-16,1.99315356368696e-13
0.00635,2.84539941244329e-08,-1.40287642784637e-07,2.70560034679127e-07,-6.09531101302552e-07,-1.27634349874698e-11,9.83355609408024e-05,9.83349604596161e-05,2.22348696709057e-16,2.0730513169244e-13
