"time","junctionIdeal.medium.h","junctionIdeal.medium.p","pipe1.mediums[1].h","pipe1.mediums[1].p","pipe2.mediums[1].h","pipe2.mediums[1].p","pipe3.mediums[1].h","pipe3.mediums[1].p","valveOpening1.a","valveOpening1.b","valveOpening1.last","valveOpening1.nextEvent","valveOpening2.a","valveOpening2.b","valveOpening2.last","valveOpening2.nextEvent"
0.037,109907.707712545,362858.767857719,84943.0204887679,431470.799424644,84513.8000319738,328612.511602414,84513.8000319738,328612.511602414,0,1,2,1,0,1,2,3
0.038,109832.12644632,362859.276948881,84959.7753344688,431471.044677027,84521.3654834192,328612.871166364,84521.3654834192,328612.871166364,0,1,2,1,0,1,2,3
0.039,109756.827984696,362859.782993631,84976.5201500878,431471.2883933,84528.9059336291,328613.228248545,84528.9059336291,328613.228248545,0,1,2,1,0,1,2,3
0.04,109681.812327672,362860.285991969,84993.2549356251,431471.530573464,84536.4213826034,328613.582848956,84536.4213826034,328613.582848956,0,1,2,1,0,1,2,3
0.041,109607.079475248,362860.785943894,85009.9796910805,431471.771217518,84543.9118303421,328613.934967598,84543.9118303421,328613.934967598,0,1,2,1,0,1,2,3
0.042,109532.629427424,362861.282849406,85026.6944164542,431472.010325463,84551.3772768452,328614.284604471,84551.3772768452,328614.284604471,0,1,2,1,0,1,2,3
0.043,109458.462184202,362861.776708507,85043.3991117461,431472.247897299,84558.8177221127,328614.631759574,84558.8177221127,328614.631759574,0,1,2,1,0,1,2,3
0.044,109384.562752224,362862.267835414,85060.0938819731,431472.484090459,84566.2346981382,328614.976714202,84566.2346981382,328614.976714202,0,1,2,1,0,1,2,3
0.045,109310.920280194,362862.756457541,85076.77880314,431472.719018885,84573.6293136878,328615.31967194,84573.6293136878,328615.31967194,0,1,2,1,0,1,2,3
0.046,109237.552960402,362863.242193628,85093.4537478239,431472.952491553,84580.999709906,328615.660291478,84580.999709906,328615.660291477,0,1,2,1,0,1,2,3
0.047,109164.460792849,362863.725043674,85110.1187160249,431473.184508463,84588.345886793,328615.998572813,84588.345886793,328615.998572813,0,1,2,1,0,1,2,3
0.048,109091.643777536,362864.205007681,85126.773707743,431473.415069616,84595.6678443488,328616.334515948,84595.6678443488,328616.334515948,0,1,2,1,0,1,2,3
0.049,109019.101914461,362864.682085647,85143.4187229782,431473.644175011,84602.9655825733,328616.668120881,84602.9655825733,328616.668120881,0,1,2,1,0,1,2,3
0.05,108946.835203625,362865.156277574,85160.0537617304,431473.871824649,84610.2391014665,328616.999387613,84610.2391014665,328616.999387614,0,1,2,1,0,1,2,3
0.051,108874.843645029,362865.62758346,85176.6788239997,431474.098018529,84617.4884010285,328617.328316144,84617.4884010285,328617.328316145,0,1,2,1,0,1,2,3
0.052,108803.127238671,362866.096003306,85193.2939097861,431474.322756651,84624.7134812592,328617.654906474,84624.7134812592,328617.654906474,0,1,2,1,0,1,2,3
0.053,108731.672735981,362866.561825075,85209.8991145185,431474.546183409,84631.9156948799,328617.979417251,84631.9156948799,328617.979417251,0,1,2,1,0,1,2,3
0.054,108660.478561156,362867.025083018,85226.4944495474,431474.768315979,84639.0952027849,328618.301879238,84639.0952027849,328618.301879238,0,1,2,1,0,1,2,3
0.055,108589.551476901,362867.485630144,85243.0798661613,431474.989080655,84646.2513144806,328618.62216041,84646.2513144806,328618.62216041,0,1,2,1,0,1,2,3
0.056,108518.890709816,362867.943483263,85259.6553699309,431475.208485865,84653.3841089337,328618.940275864,84653.3841089337,328618.940275865,0,1,2,1,0,1,2,3
0.057,108448.495486497,362868.398659187,85276.2209664271,431475.426540038,84660.4936651111,328619.256240702,84660.4936651111,328619.256240702,0,1,2,1,0,1,2,3
0.058,108378.365033544,362868.851174725,85292.7766612207,431475.643251605,84667.5800619794,328619.57007002,84667.5800619794,328619.57007002,0,1,2,1,0,1,2,3
0.059,108308.498577555,362869.301046687,85309.3224598823,431475.858628994,84674.6433785055,328619.881778918,84674.6433785055,328619.881778918,0,1,2,1,0,1,2,3
0.06,108238.895345128,362869.748291883,85325.8583679829,431476.072680634,84681.683693656,328620.191382494,84681.683693656,328620.191382495,0,1,2,1,0,1,2,3
0.061,108169.554562862,362870.192927124,85342.3843910931,431476.285414955,84688.7010863979,328620.498895849,84688.7010863979,328620.498895849,0,1,2,1,0,1,2,3
0.062,108100.475457354,362870.63496922,85358.9005347838,431476.496840385,84695.6956356978,328620.80433408,84695.6956356978,328620.80433408,0,1,2,1,0,1,2,3
0.063,108031.657255204,362871.074434981,85375.4068046257,431476.706965355,84702.6674205225,328621.107712287,84702.6674205225,328621.107712287,0,1,2,1,0,1,2,3
0.064,107963.099183009,362871.511341217,85391.9032061897,431476.915798293,84709.6165198387,328621.409045568,84709.6165198387,328621.409045568,0,1,2,1,0,1,2,3
0.065,107894.800467369,362871.945704738,85408.3897450465,431477.123347628,84716.5430126133,328621.708349023,84716.5430126133,328621.708349023,0,1,2,1,0,1,2,3
0.066,107826.76033488,362872.377542355,85424.8664267669,431477.32962179,84723.4469778129,328622.00563775,84723.4469778129,328622.00563775,0,1,2,1,0,1,2,3
0.067,107758.978012142,362872.806870878,85441.3332569217,431477.534629208,84730.3284944045,328622.300926847,84730.3284944045,328622.300926847,0,1,2,1,0,1,2,3
0.068,107691.452725753,362873.233707117,85457.7902410817,431477.73837831,84737.1876413546,328622.594231415,84737.1876413546,328622.594231415,0,1,2,1,0,1,2,3
0.069,107624.183702311,362873.658067882,85474.2373848176,431477.940877527,84744.0244976301,328622.885566552,84744.0244976301,328622.885566552,0,1,2,1,0,1,2,3
0.07,107557.170168415,362874.079969983,85490.6746937003,431478.142135288,84750.8391421978,328623.174947356,84750.8391421978,328623.174947356,0,1,2,1,0,1,2,3
0.071,107490.405604517,362874.499370542,85507.1022241464,431478.342131076,84757.6322360606,328623.462322274,84757.6322360606,328623.462322274,0,1,2,1,0,1,2,3
0.072,107423.893562951,362874.916331302,85523.5199434497,431478.540895112,84764.4034200246,328623.747756581,84764.4034200246,328623.747756581,0,1,2,1,0,1,2,3
0.073,107357.633500069,362875.330871462,85539.9278551478,431478.738436981,84771.1527497845,328624.031268041,84771.1527497845,328624.031268041,0,1,2,1,0,1,2,3
0.074,107291.624570983,362875.743007087,85556.3259654442,431478.934764752,84777.8803115482,328624.312870924,84777.8803115482,328624.312870924,0,1,2,1,0,1,2,3
0.075,107225.865930804,362876.152754247,85572.7142805421,431479.129886495,84784.5861915234,328624.592579499,84784.5861915234,328624.592579499,0,1,2,1,0,1,2,3
0.076,107160.356734643,362876.560129008,85589.0928066449,431479.323810279,84791.2704759178,328624.870408037,84791.2704759178,328624.870408037,0,1,2,1,0,1,2,3
0.077,107095.096137613,362876.965147438,85605.461549956,431479.516544173,84797.9332509392,328625.146370807,84797.9332509392,328625.146370807,0,1,2,1,0,1,2,3
0.078,107030.083294824,362877.367825605,85621.8205166787,431479.708096246,84804.5746027954,328625.420482078,84804.5746027954,328625.420482078,0,1,2,1,0,1,2,3
0.079,106965.317361389,362877.768179577,85638.1697130164,431479.898474567,84811.1946176942,328625.69275612,84811.1946176942,328625.69275612,0,1,2,1,0,1,2,3
0.08,106900.79749242,362878.166225421,85654.5091451724,431480.087687206,84817.7933818433,328625.963207204,84817.7933818433,328625.963207204,0,1,2,1,0,1,2,3
0.081,106836.522843027,362878.561979204,85670.8388193501,431480.27574223,84824.3709814505,328626.231849598,84824.3709814505,328626.231849598,0,1,2,1,0,1,2,3
0.082,106772.492568322,362878.955456994,85687.1587417528,431480.46264771,84830.9275027235,328626.498697572,84830.9275027235,328626.498697572,0,1,2,1,0,1,2,3
0.083,106708.705823418,362879.346674859,85703.4689185838,431480.648411715,84837.4630318702,328626.763765396,84837.4630318702,328626.763765396,0,1,2,1,0,1,2,3
0.084,106645.161763426,362879.735648867,85719.7693560466,431480.833042314,84843.9776550982,328627.02706734,84843.9776550982,328627.027067339,0,1,2,1,0,1,2,3
0.085,106581.859543456,362880.122395085,85736.0600603444,431481.016547575,84850.4714586154,328627.288617672,84850.4714586154,328627.288617672,0,1,2,1,0,1,2,3
0.086,106518.798318622,362880.50692958,85752.3410376806,431481.198935568,84856.9445286295,328627.548430664,84856.9445286295,328627.548430664,0,1,2,1,0,1,2,3
0.087,106455.977244034,362880.889268421,85768.6122942586,431481.380214362,84863.3969513483,328627.806520585,84863.3969513483,328627.806520585,0,1,2,1,0,1,2,3
0.088,106393.396655336,362881.26938089,85784.8738344187,431481.560368399,84869.8286891,328628.062857223,84869.8286891,328628.062857223,0,1,2,1,0,1,2,3
0.089,106331.057811414,362881.647199684,85801.1256610442,431481.739363642,84876.2396073319,328628.317375581,84876.2396073319,328628.317375581,0,1,2,1,0,1,2,3
0.09,106268.957298536,362882.022842673,85817.3677843925,431481.917259575,84882.6300618144,328628.57018672,84882.6300618144,328628.57018672,0,1,2,1,0,1,2,3
0.091,106207.094309579,362882.396324427,85833.6002106073,431482.094063509,84889.0001347924,328628.821303485,84889.0001347924,328628.821303485,0,1,2,1,0,1,2,3
0.092,106145.468037417,362882.767659518,85849.8229458323,431482.269782759,84895.349908511,328629.070738724,84895.349908511,328629.070738724,0,1,2,1,0,1,2,3
0.093,106084.077674927,362883.136862516,85866.0359962112,431482.444424638,84901.6794652151,328629.318505283,84901.6794652151,328629.318505283,0,1,2,1,0,1,2,3
0.094,106022.922414984,362883.503947993,85882.239367888,431482.617996459,84907.9888871498,328629.56461601,84907.9888871498,328629.56461601,0,1,2,1,0,1,2,3
0.095,105962.001450464,362883.86893052,85898.4330670062,431482.790505536,84914.2782565599,328629.80908375,84914.2782565599,328629.80908375,0,1,2,1,0,1,2,3
0.096,105901.313974242,362884.231824667,85914.6170997096,431482.961959181,84920.5476556905,328630.051921352,84920.5476556905,328630.051921352,0,1,2,1,0,1,2,3
0.097,105840.859179194,362884.592645007,85930.7914721421,431483.132364708,84926.7971667866,328630.293141661,84926.7971667866,328630.293141661,0,1,2,1,0,1,2,3
0.098,105780.636258195,362884.951406109,85946.9561904473,431483.30172943,84933.0268720932,328630.532757524,84933.0268720932,328630.532757524,0,1,2,1,0,1,2,3
0.099,105720.644404122,362885.308122545,85963.1112607691,431483.470060661,84939.2368538552,328630.770781788,84939.2368538552,328630.770781788,0,1,2,1,0,1,2,3
0.1,105660.88280985,362885.662808886,85979.2566892511,431483.637365714,84945.4271943176,328631.0072273,84945.4271943176,328631.0072273,0,1,2,1,0,1,2,3
0.101,105601.350668254,362886.015479702,85995.3924820371,431483.803651902,84951.5979757254,328631.242106906,84951.5979757254,328631.242106906,0,1,2,1,0,1,2,3
0.102,105542.04717221,362886.366149566,86011.5186452709,431483.968926539,84957.7492803236,328631.475433455,84957.7492803236,328631.475433455,0,1,2,1,0,1,2,3
0.103,105482.971514595,362886.714833048,86027.6351850962,431484.133196937,84963.8811903572,328631.707219791,84963.8811903572,328631.707219791,0,1,2,1,0,1,2,3
0.104,105424.122888283,362887.061544718,86043.7421076568,431484.296470411,84969.9937880711,328631.937478762,84969.9937880711,328631.937478762,0,1,2,1,0,1,2,3
0.105,105365.50048615,362887.406299149,86059.8394190964,431484.458754273,84976.0871557104,328632.166223215,84976.0871557104,328632.166223215,0,1,2,1,0,1,2,3
0.106,105307.107561714,362887.749000333,86075.9271130736,431484.620000388,84982.1609521309,328632.393363992,84982.1609521309,328632.393363992,0,1,2,1,0,1,2,3
0.107,105248.942388338,362888.08968788,86092.0051985594,431484.780228626,84988.2153554521,328632.618937038,84988.2153554521,328632.618937038,0,1,2,1,0,1,2,3
0.108,105191.002131945,362888.428431559,86108.0736879298,431484.939473978,84994.2506592622,328632.843006117,84994.2506592622,328632.843006117,0,1,2,1,0,1,2,3
0.109,105133.286043158,362888.765244368,86124.1325871509,431485.097742969,85000.2669397851,328633.065582626,85000.2669397851,328633.065582626,0,1,2,1,0,1,2,3
0.11,105075.793372603,362889.100139307,86140.181902189,431485.255042124,85006.2642732444,328633.286677961,85006.2642732444,328633.286677961,0,1,2,1,0,1,2,3
0.111,105018.523370903,362889.433129373,86156.2216390102,431485.411377967,85012.2427358639,328633.506303517,85012.2427358639,328633.506303517,0,1,2,1,0,1,2,3
0.112,104961.475288682,362889.764227565,86172.2518035808,431485.566757024,85018.2024038674,328633.724470692,85018.2024038674,328633.724470692,0,1,2,1,0,1,2,3
0.113,104904.648376565,362890.093446882,86188.2724018669,431485.721185818,85024.1433534785,328633.941190881,85024.1433534785,328633.941190881,0,1,2,1,0,1,2,3
0.114,104848.041885175,362890.420800321,86204.2834398347,431485.874670874,85030.0656609211,328634.15647548,85030.0656609211,328634.15647548,0,1,2,1,0,1,2,3
0.115,104791.655065137,362890.746300881,86220.2849234504,431486.027218718,85035.9694024189,328634.370335886,85035.9694024189,328634.370335886,0,1,2,1,0,1,2,3
0.116,104735.487167075,362891.069961561,86236.2768586803,431486.178835874,85041.8546541957,328634.582783494,85041.8546541957,328634.582783494,0,1,2,1,0,1,2,3
0.117,104679.537441613,362891.39179536,86252.2592514905,431486.329528867,85047.7214924751,328634.793829701,85047.7214924751,328634.793829701,0,1,2,1,0,1,2,3
0.118,104623.805139375,362891.711815274,86268.2321078472,431486.479304222,85053.569993481,328635.003485902,85053.569993481,328635.003485902,0,1,2,1,0,1,2,3
0.119,104568.289510986,362892.030034304,86284.1954337166,431486.628168462,85059.4002334371,328635.211763494,85059.4002334371,328635.211763494,0,1,2,1,0,1,2,3
0.12,104512.989807069,362892.346465447,86300.1492350649,431486.776128114,85065.2122885672,328635.418673874,85065.2122885672,328635.418673873,0,1,2,1,0,1,2,3
0.121,104457.905278248,362892.661121702,86316.0935178583,431486.923189702,85071.0062350949,328635.624228436,85071.0062350949,328635.624228436,0,1,2,1,0,1,2,3
0.122,104403.035175149,362892.974016068,86332.028288063,431487.069359749,85076.7821492441,328635.828438577,85076.7821492441,328635.828438577,0,1,2,1,0,1,2,3
0.123,104348.378748394,362893.285161542,86347.9535516452,431487.214644782,85082.5401072385,328636.031315694,85082.5401072385,328636.031315694,0,1,2,1,0,1,2,3
0.124,104293.94082777,362893.594420011,86363.8692984935,431487.358976065,85088.2796021158,328636.232733035,85088.2796021158,328636.232733035,0,1,2,1,0,1,2,3
0.125,104239.71607087,362893.901928877,86379.77554781,431487.502422079,85094.0011902061,328636.432815725,85094.0011902061,328636.432815724,0,1,2,1,0,1,2,3
0.126,104185.703724239,362894.207701249,86395.6723055726,431487.644989405,85099.7049481597,328636.631575261,85099.7049481597,328636.631575261,0,1,2,1,0,1,2,3
0.127,104131.903088499,362894.511748769,86411.5595776033,431487.786683893,85105.3909469741,328636.829021802,85105.3909469741,328636.829021802,0,1,2,1,0,1,2,3
0.128,104078.313464272,362894.814083084,86427.4373697244,431487.927511394,85111.0592576466,328637.025165507,85111.0592576466,328637.025165507,0,1,2,1,0,1,2,3
0.129,104024.934152182,362895.114715836,86443.3056877579,431488.067477758,85116.7099511748,328637.220016532,85116.7099511748,328637.220016532,0,1,2,1,0,1,2,3
0.13,103971.764452851,362895.413658671,86459.1645375259,431488.206588834,85122.343098556,328637.413585036,85122.343098556,328637.413585036,0,1,2,1,0,1,2,3
0.131,103918.803666901,362895.710923232,86475.0139248506,431488.344850474,85127.9587707877,328637.605881177,85127.9587707877,328637.605881177,0,1,2,1,0,1,2,3
0.132,103866.051094956,362896.006521163,86490.8538555541,431488.482268527,85133.5570388673,328637.796915114,85133.5570388673,328637.796915114,0,1,2,1,0,1,2,3
0.133,103813.506037638,362896.300464109,86506.6843354585,431488.618848844,85139.1379737922,328637.986697004,85139.1379737922,328637.986697004,0,1,2,1,0,1,2,3
0.134,103761.167795569,362896.592763715,86522.5053703858,431488.754597276,85144.7016465599,328638.175237005,85144.7016465599,328638.175237005,0,1,2,1,0,1,2,3
0.135,103709.035669373,362896.883431624,86538.3169661583,431488.889519671,85150.2481281679,328638.362545275,85150.2481281679,328638.362545275,0,1,2,1,0,1,2,3
0.136,103657.108959673,362897.17247948,86554.119128598,431489.023621882,85155.7774896135,328638.548631974,85155.7774896135,328638.548631974,0,1,2,1,0,1,2,3
0.137,103605.38696709,362897.459918928,86569.9118635271,431489.156909757,85161.2898018942,328638.733507257,85161.2898018942,328638.733507257,0,1,2,1,0,1,2,3
0.138,103553.868992247,362897.745761612,86585.6951767676,431489.289389147,85166.7851360075,328638.917181285,85166.7851360075,328638.917181285,0,1,2,1,0,1,2,3
0.139,103502.554335767,362898.030019176,86601.4690741416,431489.421065903,85172.2635629507,328639.099664214,85172.2635629507,328639.099664214,0,1,2,1,0,1,2,3
0.14,103451.442298274,362898.312703265,86617.2335614714,431489.551945875,85177.7251537212,328639.280966203,85177.7251537212,328639.280966203,0,1,2,1,0,1,2,3
0.141,103400.53311325,362898.593793384,86632.9886426996,431489.682018814,85183.1698810159,328639.461067446,85183.1698810159,328639.461067446,0,1,2,1,0,1,2,3
0.142,103349.827369347,362898.873256804,86648.7343210537,431489.811268345,85188.5976801051,328639.639936731,85188.5976801051,328639.639936731,0,1,2,1,0,1,2,3
0.143,103299.322771338,362899.151160147,86664.4706055705,431489.939727855,85194.0087901501,328639.817635475,85194.0087901501,328639.817635474,0,1,2,1,0,1,2,3
0.144,103249.018674805,362899.427513165,86680.1975019617,431490.067402248,85199.4032763569,328639.994172068,85199.4032763569,328639.994172068,0,1,2,1,0,1,2,3
0.145,103198.914437273,362899.702325541,86695.9150159345,431490.194296392,85204.7812037269,328640.169554843,85204.7812037269,328640.169554843,0,1,2,1,0,1,2,3
0.146,103149.009418205,362899.975606893,86711.6231531927,431490.320415121,85210.142637057,328640.343792068,85210.142637057,328640.343792067,0,1,2,1,0,1,2,3
0.147,103099.302979008,362900.247366771,86727.3219194358,431490.445763236,85215.4876409396,328640.516891947,85215.4876409396,328640.516891947,0,1,2,1,0,1,2,3
0.148,103049.794483029,362900.517614657,86743.0113203596,431490.570345506,85220.8162797624,328640.688862624,85220.8162797624,328640.688862624,0,1,2,1,0,1,2,3
0.149,103000.483295555,362900.786359969,86758.6913616559,431490.694166666,85226.1286177089,328640.859712181,85226.1286177089,328640.859712181,0,1,2,1,0,1,2,3
0.15,102951.368783816,362901.053612056,86774.3620490128,431490.817231415,85231.4247187579,328641.029448636,85231.4247187579,328641.029448636,0,1,2,1,0,1,2,3
0.151,102902.45031698,362901.319380201,86790.0233881141,431490.939544421,85236.7046466834,328641.198079946,85236.7046466834,328641.198079946,0,1,2,1,0,1,2,3
0.152,102853.72726616,362901.583673619,86805.67538464,431491.061110318,85241.9684650553,328641.365614004,85241.9684650553,328641.365614004,0,1,2,1,0,1,2,3
0.153,102805.199004405,362901.846501459,86821.3180442669,431491.181933707,85247.2162372388,328641.532058643,85247.2162372388,328641.532058643,0,1,2,1,0,1,2,3
0.154,102756.864906711,362902.107872804,86836.9513726667,431491.302019154,85252.4480263944,328641.697421631,85252.4480263944,328641.697421631,0,1,2,1,0,1,2,3
0.155,102708.724350009,362902.367796669,86852.5753755081,431491.421371193,85257.6638954783,328641.861710675,85257.6638954783,328641.861710675,0,1,2,1,0,1,2,3
0.156,102660.776713176,362902.626282002,86868.1900584554,431491.539994324,85262.863907242,328642.024933421,85262.863907242,328642.024933421,0,1,2,1,0,1,2,3
0.157,102613.021377025,362902.883337684,86883.7954271693,431491.657893012,85268.0481242327,328642.18709745,85268.0481242327,328642.18709745,0,1,2,1,0,1,2,3
0.158,102565.457724315,362903.138972531,86899.3914873063,431491.775071692,85273.2166087928,328642.348210282,85273.2166087928,328642.348210282,0,1,2,1,0,1,2,3
0.159,102518.085139743,362903.39319529,86914.9782445192,431491.891534762,85278.3694230603,328642.508279376,85278.3694230603,328642.508279376,0,1,2,1,0,1,2,3
0.16,102470.903009948,362903.646014641,86930.5557044569,431492.007286588,85283.5066289687,328642.667312125,85283.5066289687,328642.667312125,0,1,2,1,0,1,2,3
0.161,102423.910723509,362903.8974392,86946.1238727642,431492.122331502,85288.6282882468,328642.825315864,85288.6282882468,328642.825315864,0,1,2,1,0,1,2,3
0.162,102377.107670947,362904.147477512,86961.6827550823,431492.236673805,85293.734462419,328642.982297863,85293.734462419,328642.982297863,0,1,2,1,0,1,2,3
0.163,102330.493244724,362904.396138059,86977.232357048,431492.35031776,85298.8252128053,328643.13826533,85298.8252128053,328643.13826533,0,1,2,1,0,1,2,3
0.164,102284.066839241,362904.643429253,86992.7726842947,431492.4632676,85303.9006005209,328643.293225411,85303.9006005209,328643.293225411,0,1,2,1,0,1,2,3
0.165,102237.827850844,362904.889359441,87008.3037424517,431492.575527524,85308.9606864765,328643.447185189,85308.9606864765,328643.447185189,0,1,2,1,0,1,2,3
0.166,102191.775677816,362905.133936903,87023.8255371443,431492.687101696,85314.0055313786,328643.600151686,85314.0055313786,328643.600151686,0,1,2,1,0,1,2,3
0.167,102145.909720383,362905.377169852,87039.3380739939,431492.797994248,85319.0351957286,328643.75213186,85319.0351957286,328643.75213186,0,1,2,1,0,1,2,3
0.168,102100.229380712,362905.619066433,87054.8413586181,431492.908209277,85324.049739824,328643.903132609,85324.049739824,328643.903132609,0,1,2,1,0,1,2,3
0.169,102054.73406291,362905.859634725,87070.3353966305,431493.017750849,85329.0492237572,328644.053160765,85329.0492237572,328644.053160765,0,1,2,1,0,1,2,3
0.17,102009.423173026,362906.098882742,87085.820193641,431493.126622994,85334.0337074164,328644.202223102,85334.0337074164,328644.202223102,0,1,2,1,0,1,2,3
0.171,101964.296119049,362906.336818427,87101.2957552552,431493.234829709,85339.0032504853,328644.350326328,85339.0032504853,328644.350326328,0,1,2,1,0,1,2,3
0.172,101919.35231091,362906.57344966,87116.7620870751,431493.342374959,85343.9579124428,328644.497477091,85343.9579124428,328644.497477091,0,1,2,1,0,1,2,3
