"time","mass1.s","mass1.v","mass2.s","mass2.v","mass3.s","mass3.v","mass4.s","mass4.v"
0.90160000000000007,59.408033771906318,40.591966228093661,64.269562471806879,52.587292632601766,49.515871999999774,9.8400000000000247,49.515871999999774,9.8400000000000247
0.90200000000000002,59.424267311458067,40.575732688541912,64.290595176729582,52.576233265873,49.519799999999769,9.8000000000000274,49.519799999999769,9.8000000000000274
0.90240000000000009,59.440494358892451,40.559505641107528,64.311623458835527,52.565178549845733,49.523711999999769,9.7600000000000211,49.523711999999769,9.7600000000000211
0.90280000000000005,59.456714916805808,40.543285083194171,64.332647319984474,52.554128481586879,49.527607999999766,9.7200000000000255,49.527607999999766,9.7200000000000255
0.9032,59.472928987793424,40.527071012206555,64.353666762034948,52.543083058165784,49.531487999999769,9.6800000000000299,49.531487999999769,9.6800000000000299
0.90360000000000007,59.489136574449574,40.510863425550404,64.374681786844405,52.532042276654273,49.535351999999769,9.6400000000000237,49.535351999999769,9.6400000000000237
0.90400000000000003,59.505337679367457,40.494662320632528,64.395692396269027,52.521006134126587,49.539199999999767,9.6000000000000281,49.539199999999767,9.6000000000000281
0.90440000000000009,59.521532305139274,40.478467694860704,64.416698592163883,52.509974627659446,49.543031999999769,9.5600000000000218,49.543031999999769,9.5600000000000218
0.90480000000000005,59.537720454356176,40.462279545643803,64.437700376382907,52.498947754332015,49.54684799999977,9.5200000000000262,49.54684799999977,9.5200000000000262
0.9052,59.553902129608268,40.446097870391711,64.458697750778811,52.48792551122586,49.550647999999775,9.4800000000000306,49.550647999999775,9.4800000000000306
0.90560000000000007,59.57007733348464,40.429922666515338,64.479690717203155,52.476907895425036,49.554431999999771,9.4400000000000226,49.554431999999771,9.4400000000000226
0.90600000000000003,59.586246068573317,40.413753931426662,64.500679277506364,52.465894904015983,49.558199999999772,9.400000000000027,49.558199999999772,9.400000000000027
0.90640000000000009,59.602408337461334,40.397591662538645,64.521663433537697,52.454886534087613,49.561951999999771,9.3600000000000207,49.561951999999771,9.3600000000000207
0.90680000000000005,59.618564142734641,40.381435857265338,64.542643187145245,52.443882782731237,49.565687999999767,9.3200000000000252,49.565687999999767,9.3200000000000252
0.90720000000000001,59.634713486978185,40.365286513021793,64.563618540175923,52.432883647040619,49.569407999999768,9.2800000000000296,49.569407999999768,9.2800000000000296
0.90760000000000007,59.650856372775891,40.349143627224088,64.58458949447548,52.421889124111907,49.573111999999767,9.2400000000000233,49.573111999999767,9.2400000000000233
0.90800000000000003,59.666992802710624,40.333007197289355,64.605556051888613,52.410899211043727,49.576799999999764,9.2000000000000277,49.576799999999764,9.2000000000000277
0.9084000000000001,59.683122779364226,40.316877220635753,64.626518214258724,52.399913904937073,49.580471999999766,9.1600000000000215,49.580471999999766,9.1600000000000215
0.90880000000000005,59.699246305317516,40.300753694682463,64.647475983428123,52.388933202895359,49.584127999999772,9.1200000000000259,49.584127999999772,9.1200000000000259
0.90920000000000001,59.715363383150269,40.28463661684971,64.668429361237997,52.377957102024432,49.58776799999977,9.0800000000000303,49.58776799999977,9.0800000000000303
0.90960000000000008,59.731474015441236,40.268525984558742,64.689378349528326,52.366985599432539,49.591391999999772,9.0400000000000222,49.591391999999772,9.0400000000000222
0.91000000000000003,59.747578204768132,40.252421795231847,64.710322950137964,52.356018692230322,49.594999999999764,9.0000000000000266,49.594999999999764,9.0000000000000266
