"time","gain.opAmp.out.v","gain.opAmp.out.i"
0.371,3.99920016996735,-0.00199973339165533
0.3715,3.49930014996835,-0.00174976671832333
0.372,2.99940012997268,-0.00149980004499133
0.3725,2.49950010997702,-0.00124983337165933
0.373,1.99960008998301,-0.000999866698327331
0.3735,1.49970006998568,-0.000749900024995331
0.374,0.999800049990007,-0.000499933351663331
0.3745,0.499900029993922,-0.00024996667833133
0.375,9.99799234715488e-09,-4.99932943998661e-12
0.3755,-0.499900009997833,0.000249966668332671
0.376,-0.999800029994335,0.000499933341664671
0.3765,-1.49970004999,0.000749900014996672
0.377,-1.99960006998567,0.000999866688328673
0.3775,-2.49950008998301,0.00124983336166067
0.378,-2.99940010997868,0.00149980003499267
0.3785,-3.49930012997435,0.00174976670832467
0.379,-3.99920014997335,0.00199973338165667
0.3795,-4.49910016996569,0.00224970005498867
0.38,-4.99900018996469,0.00249966672832067
0.3805,-5.49890020995702,0.00274963340165268
0.381,-5.99880022995603,0.00299960007498468
0.3815,-6.49870024994836,0.00324956674831668
0.382,-6.99860026994736,0.00349953342164868
0.3825,-7.4985002899397,0.00374950009498068
0.383,-7.9984003099387,0.00399946676831268
0.3835,-8.49830032993104,0.00424943344164468
0.384,-8.99820034992338,0.00449940011497668
0.3845,-9.49810036992904,0.00474936678830868
0.385,-9.99800038992138,0.00499933346164068
0.38500000001,-9.99800039992671,0.00499933346664001
0.38500000001,-9.99800039991339,0.00499933346664001
0.3855,-9.99800039991339,0.00499933346664001
0.386,-9.99800039991339,0.00499933346664001
0.3865,-9.99800039991339,0.00499933346664001
0.387,-9.99800039991339,0.00499933346664001
0.3875,-9.99800039991339,0.00499933346664001
0.388,-9.99800039991339,0.00499933346664001
0.3885,-9.99800039991339,0.00499933346664001
0.389,-9.99800039991339,0.00499933346664001
0.3895,-9.99800039991339,0.00499933346664001
0.39,-9.99800039991339,0.00499933346664001
0.3905,-9.99800039991339,0.00499933346664001
0.391,-9.99800039991339,0.00499933346664001
0.3915,-9.99800039991339,0.00499933346664001
0.392,-9.99800039991339,0.00499933346664001
0.3925,-9.99800039991339,0.00499933346664001
0.393,-9.99800039991339,0.00499933346664001
0.3935,-9.99800039991339,0.00499933346664001
0.394,-9.99800039991339,0.00499933346664001
0.3945,-9.99800039991339,0.00499933346664001
0.395,-9.99800039991339,0.00499933346664001
0.3955,-9.99800039991339,0.00499933346664001
0.396,-9.99800039991339,0.00499933346664001
0.3965,-9.99800039991339,0.00499933346664001
0.397,-9.99800039991339,0.00499933346664001
0.3975,-9.99800039991339,0.00499933346664001
0.398,-9.99800039991339,0.00499933346664001
0.3985,-9.99800039991339,0.00499933346664001
0.399,-9.99800039991339,0.00499933346664001
0.3995,-9.99800039991339,0.00499933346664001
0.4,-9.99800039991339,0.00499933346664001
0.4005,-9.99800039991339,0.00499933346664001
0.401,-9.99800039991339,0.00499933346664001
0.4015,-9.99800039991339,0.00499933346664001
0.402,-9.99800039991339,0.00499933346664001
0.4025,-9.99800039991339,0.00499933346664001
0.403,-9.99800039991339,0.00499933346664001
0.4035,-9.99800039991339,0.00499933346664001
0.404,-9.99800039991339,0.00499933346664001
0.4045,-9.99800039991339,0.00499933346664001
0.405,-9.99800039991339,0.00499933346664001
0.4055,-9.99800039991339,0.00499933346664001
0.406,-9.99800039991339,0.00499933346664001
0.4065,-9.99800039991339,0.00499933346664001
0.407,-9.99800039991339,0.00499933346664001
0.4075,-9.99800039991339,0.00499933346664001
0.408,-9.99800039991339,0.00499933346664001
