"time","I[1].re","I[1].im","I[2].re","I[2].im","I[3].re","I[3].im"
0.0174,9.999800001831e-06,2.01355081657452e-10,-4.9997256227e-06,-8.6601815115643e-06,-5.00007437898121e-06,8.65998015669962e-06
0.0176,9.99980000195007e-06,2.01370779753706e-10,-4.99972560864464e-06,-8.66018151966793e-06,-5.00007439296109e-06,8.65998014885177e-06
0.0178,9.99980000174021e-06,2.01386642255603e-10,-4.99972559495814e-06,-8.66018152773083e-06,-5.00007440714658e-06,8.65998014092649e-06
0.018,9.99980000189962e-06,2.01402676056978e-10,-4.99972558139551e-06,-8.66018153549912e-06,-5.00007442067024e-06,8.65998013295105e-06
0.0182,9.99980000175046e-06,2.01418487142231e-10,-4.99972556714307e-06,-8.66018154386616e-06,-5.00007443436365e-06,8.65998012521383e-06
0.0184,9.99980000231052e-06,2.0143440728831e-10,-4.99972555405496e-06,-8.66018155184574e-06,-5.00007444852537e-06,8.6599801175221e-06
0.0186,9.99980000219808e-06,2.0145021041429e-10,-4.99972553983148e-06,-8.66018156005154e-06,-5.00007446225991e-06,8.65998010981735e-06
0.0188,9.99980000236545e-06,2.0146606062364e-10,-4.99972552650728e-06,-8.66018156802383e-06,-5.00007447595257e-06,8.65998010187039e-06
0.019,9.99980000264648e-06,2.01482097240651e-10,-4.99972551268092e-06,-8.66018157588583e-06,-5.00007448972861e-06,8.65998009374149e-06
0.0192,9.99980000255561e-06,2.01497780066725e-10,-4.99972549882389e-06,-8.66018158381371e-06,-5.00007450362967e-06,8.65998008618912e-06
0.0194,9.99980000273237e-06,2.01513742101311e-10,-4.99972548547565e-06,-8.66018159198454e-06,-5.00007451744128e-06,8.65998007825667e-06
0.0196,9.99980000278851e-06,2.01529814356808e-10,-4.99972547194973e-06,-8.66018160016935e-06,-5.00007453112188e-06,8.65998007039364e-06
0.0198,9.99980000309847e-06,2.01545504545318e-10,-4.99972545813595e-06,-8.66018160792103e-06,-5.00007454499155e-06,8.65998006250146e-06
0.02,9.99980000299317e-06,2.01561397865564e-10,-4.99972544414719e-06,-8.6601816163699e-06,-5.00007455887035e-06,8.65998005474576e-06
0.0202,9.99980000331441e-06,2.01577133273593e-10,-4.99972543046425e-06,-8.66018162418414e-06,-5.00007457251505e-06,8.65998004689993e-06
0.0204,9.99980000325463e-06,2.01593125157305e-10,-4.99972541687441e-06,-8.66018163238583e-06,-5.00007458619605e-06,8.65998003888369e-06
0.0206,9.99980000359557e-06,2.016090826054e-10,-4.9997254032498e-06,-8.66018164030674e-06,-5.00007460022675e-06,8.65998003144226e-06
0.0208,9.99980000374893e-06,2.01624807636646e-10,-4.99972538925403e-06,-8.66018164814296e-06,-5.00007461429612e-06,8.65998002366098e-06
0.021,9.99980000387737e-06,2.01640623318346e-10,-4.99972537596771e-06,-8.66018165647262e-06,-5.00007462782872e-06,8.65998001564859e-06
0.0212,9.99980000374487e-06,2.0165652641082e-10,-4.99972536216191e-06,-8.66018166445766e-06,-5.00007464167574e-06,8.6599800081405e-06
0.0214,9.99980000407608e-06,2.01672500279137e-10,-4.99972534865959e-06,-8.6601816726551e-06,-5.00007465551407e-06,8.65998000015242e-06
0.0216,9.99980000398348e-06,2.01688273738583e-10,-4.9997253346008e-06,-8.66018168026041e-06,-5.00007466916719e-06,8.65997999204878e-06
0.0218,9.99980000432843e-06,2.01704159995938e-10,-4.99972532136257e-06,-8.66018168858373e-06,-5.00007468296042e-06,8.65997998426662e-06
0.022,9.99980000429071e-06,2.01719885416668e-10,-4.99972530754383e-06,-8.66018169670881e-06,-5.00007469684948e-06,8.65997997635894e-06
0.0222,9.99980000441391e-06,2.01735717096873e-10,-4.99972529383567e-06,-8.66018170451709e-06,-5.0000747104586e-06,8.65997996869116e-06
0.0224,9.99980000470406e-06,2.01751730777147e-10,-4.99972528027691e-06,-8.66018171269818e-06,-5.00007472452711e-06,8.65997996124028e-06
0.0226,9.99980000480125e-06,2.01767571811551e-10,-4.99972526639989e-06,-8.66018172081513e-06,-5.00007473845621e-06,8.65997995312306e-06
0.0228,9.99980000501495e-06,2.01783455202742e-10,-4.99972525308236e-06,-8.66018172883763e-06,-5.00007475214253e-06,8.65997994563664e-06
0.023,9.99980000511366e-06,2.01799369515677e-10,-4.99972523914508e-06,-8.66018173671366e-06,-5.00007476587352e-06,8.65997993763106e-06
0.0232,9.99980000542687e-06,2.01815202404163e-10,-4.99972522565047e-06,-8.66018174475519e-06,-5.00007477978419e-06,8.65997992959705e-06
0.0234,9.99980000538089e-06,2.0183090001713e-10,-4.999725212113e-06,-8.66018175275099e-06,-5.00007479349632e-06,8.659979922154e-06
0.0236,9.99980000557316e-06,2.01846804239994e-10,-4.99972519813355e-06,-8.66018176081262e-06,-5.0000748072316e-06,8.65997991370987e-06
0.0238,9.99980000579058e-06,2.01862767464652e-10,-4.9997251846639e-06,-8.66018176906018e-06,-5.00007482125642e-06,8.65997990620109e-06
0.024,9.99980000579689e-06,2.01878375796297e-10,-4.99972517096148e-06,-8.66018177716775e-06,-5.00007483492282e-06,8.65997989876113e-06
0.0242,9.99980000581055e-06,2.0189432955034e-10,-4.99972515736265e-06,-8.66018178516983e-06,-5.00007484853648e-06,8.65997989076487e-06
0.0244,9.99980000609392e-06,2.01910199162359e-10,-4.99972514374016e-06,-8.66018179329209e-06,-5.00007486235027e-06,8.65997988294992e-06
0.0246,9.99980000634406e-06,2.0192608323246e-10,-4.99972513021534e-06,-8.66018180101284e-06,-5.00007487608447e-06,8.6599798752947e-06
0.0248,9.99980000653742e-06,2.01941849134149e-10,-4.99972511643883e-06,-8.66018180911285e-06,-5.00007489008075e-06,8.65997986715955e-06
0.025,9.99980000657192e-06,2.01957891886009e-10,-4.99972510267805e-06,-8.66018181733063e-06,-5.00007490387759e-06,8.65997985962563e-06
0.0252,9.99980000683626e-06,2.01973449016364e-10,-4.99972508912104e-06,-8.66018182502587e-06,-5.00007491754669e-06,8.65997985137354e-06
0.0254,9.99980000701668e-06,2.01989309295253e-10,-4.99972507547876e-06,-8.66018183344183e-06,-5.00007493162996e-06,8.65997984397576e-06
0.0256,9.9998000071372e-06,2.02005312721228e-10,-4.99972506202246e-06,-8.66018184142971e-06,-5.00007494504449e-06,8.6599798360963e-06
0.0258,9.99980000715242e-06,2.02021032058997e-10,-4.99972504837423e-06,-8.66018184956249e-06,-5.00007495882872e-06,8.65997982838533e-06
0.026,9.99980000718888e-06,2.02036909790873e-10,-4.99972503445758e-06,-8.66018185762455e-06,-5.00007497270945e-06,8.65997982069196e-06
0.0262,9.9998000075753e-06,2.02052818885071e-10,-4.99972502127598e-06,-8.66018186565422e-06,-5.00007498647681e-06,8.65997981288886e-06
0.0264,9.99980000774233e-06,2.02068439285258e-10,-4.99972500724595e-06,-8.66018187397923e-06,-5.00007500040573e-06,8.65997980552772e-06
0.0266,9.99980000770899e-06,2.02084145510401e-10,-4.99972499374301e-06,-8.66018188148294e-06,-5.00007501415464e-06,8.65997979731878e-06
0.0268,9.99980000791902e-06,2.02100108068745e-10,-4.99972498042049e-06,-8.66018188985707e-06,-5.00007502793337e-06,8.659979789734e-06
0.027,9.999800008083e-06,2.0211599847566e-10,-4.99972496649067e-06,-8.66018189780999e-06,-5.00007504169632e-06,8.659979781917e-06
0.0272,9.99980000835479e-06,2.02131940947263e-10,-4.99972495310022e-06,-8.66018190596649e-06,-5.00007505552833e-06,8.65997977407849e-06
0.0274,9.99980000844831e-06,2.02147556585433e-10,-4.99972493963893e-06,-8.66018191431465e-06,-5.00007506887124e-06,8.65997976652553e-06
0.0276,9.99980000846887e-06,2.02163673638588e-10,-4.99972492572947e-06,-8.66018192178874e-06,-5.00007508297921e-06,8.65997975829525e-06
0.0278,9.99980000888774e-06,2.02179330008002e-10,-4.99972491231955e-06,-8.66018193007635e-06,-5.00007509687669e-06,8.65997975091314e-06
0.028,9.99980000903588e-06,2.02195149413237e-10,-4.99972489862297e-06,-8.6601819382545e-06,-5.00007511065147e-06,8.65997974283474e-06
0.0282,9.99980000921812e-06,2.02210909742106e-10,-4.99972488477377e-06,-8.66018194647199e-06,-5.00007512442333e-06,8.65997973512003e-06
0.0284,9.99980000925114e-06,2.02226574885514e-10,-4.99972487128674e-06,-8.66018195431218e-06,-5.00007513813617e-06,8.65997972743206e-06
0.0286,9.9998000095678e-06,2.02242683790757e-10,-4.99972485768341e-06,-8.66018196219383e-06,-5.00007515195965e-06,8.65997971965811e-06
0.0288,9.99980000972095e-06,2.02258259529736e-10,-4.99972484383122e-06,-8.66018197016502e-06,-5.00007516563117e-06,8.65997971206842e-06
0.029,9.99980000992432e-06,2.02274135501518e-10,-4.99972483027969e-06,-8.66018197819288e-06,-5.00007517942016e-06,8.65997970431364e-06
0.0292,9.99980001021614e-06,2.02289866697478e-10,-4.99972481679293e-06,-8.6601819863679e-06,-5.00007519321207e-06,8.65997969654826e-06
0.0294,9.99980001045476e-06,2.02305888772794e-10,-4.99972480317218e-06,-8.66018199459567e-06,-5.000075207277e-06,8.65997968855301e-06
0.0296,9.99980001058804e-06,2.02321777341411e-10,-4.99972478934812e-06,-8.66018200259725e-06,-5.00007522093475e-06,8.65997968107989e-06
0.0298,9.99980001050918e-06,2.02337419815545e-10,-4.99972477597179e-06,-8.66018201064284e-06,-5.00007523451122e-06,8.65997967320335e-06
0.03,9.99980001090506e-06,2.02353415455012e-10,-4.99972476232031e-06,-8.66018201875181e-06,-5.00007524850258e-06,8.65997966537203e-06
0.0302,9.99980001093898e-06,2.02369023726568e-10,-4.99972474869014e-06,-8.66018202683733e-06,-5.00007526212376e-06,8.65997965804673e-06
0.0304,9.99980001106922e-06,2.02384917276309e-10,-4.99972473498613e-06,-8.6601820350031e-06,-5.00007527591666e-06,8.65997965022041e-06
0.0306,9.99980001163717e-06,2.02400647313058e-10,-4.99972472140859e-06,-8.66018204304021e-06,-5.00007528974979e-06,8.6599796426541e-06
0.0308,9.9998000115986e-06,2.02416506784686e-10,-4.99972470786287e-06,-8.66018205104455e-06,-5.00007530385105e-06,8.65997963449915e-06
0.031,9.99980001187611e-06,2.02432246069744e-10,-4.99972469426009e-06,-8.66018205913404e-06,-5.0000753174739e-06,8.65997962656965e-06
0.0312,9.99980001197179e-06,2.02448104740661e-10,-4.99972468079177e-06,-8.66018206710033e-06,-5.000075330965e-06,8.65997961877957e-06
0.0314,9.99980001226238e-06,2.02463719936128e-10,-4.99972466701073e-06,-8.66018207525199e-06,-5.00007534513873e-06,8.65997961137521e-06
0.0316,9.99980001234916e-06,2.02479770330004e-10,-4.99972465366661e-06,-8.6601820834221e-06,-5.00007535845392e-06,8.65997960377459e-06
0.0318,9.99980001243058e-06,2.02495238568233e-10,-4.99972464043971e-06,-8.66018209105963e-06,-5.00007537211678e-06,8.65997959561737e-06
0.032,9.99980001275254e-06,2.02511232718666e-10,-4.99972462653073e-06,-8.66018209970116e-06,-5.00007538624524e-06,8.65997958843124e-06
0.0322,9.99980001283924e-06,2.02527046850526e-10,-4.99972461291185e-06,-8.66018210766417e-06,-5.0000753998671e-06,8.65997958072235e-06
0.0324,9.99980001314255e-06,2.02542854328124e-10,-4.99972459916472e-06,-8.66018211543506e-06,-5.00007541388023e-06,8.65997957244842e-06
0.0326,9.99980001350725e-06,2.02558487674953e-10,-4.99972458571067e-06,-8.66018212365917e-06,-5.00007542751175e-06,8.6599795648783e-06
0.0328,9.9998000136936e-06,2.02574479152842e-10,-4.99972457216384e-06,-8.66018213182436e-06,-5.00007544141984e-06,8.65997955720439e-06
0.033,9.99980001394072e-06,2.0259021640671e-10,-4.99972455869665e-06,-8.66018213973656e-06,-5.00007545520403e-06,8.65997954978614e-06
0.0332,9.99980001408553e-06,2.02606008548254e-10,-4.99972454515449e-06,-8.6601821479167e-06,-5.00007546900052e-06,8.65997954180282e-06
0.0334,9.99980001403725e-06,2.0262176862609e-10,-4.99972453144052e-06,-8.66018215581028e-06,-5.00007548245127e-06,8.65997953413762e-06
0.0336,9.99980001445745e-06,2.02637199901999e-10,-4.99972451810733e-06,-8.66018216406292e-06,-5.00007549627959e-06,8.6599795268094e-06
0.0338,9.99980001460008e-06,2.02653333466005e-10,-4.99972450455632e-06,-8.66018217234818e-06,-5.00007551034899e-06,8.65997951887147e-06
0.034,9.99980001474044e-06,2.0266905532487e-10,-4.99972449073866e-06,-8.66018217997866e-06,-5.00007552402051e-06,8.65997951081136e-06
0.0342,9.99980001489616e-06,2.02684866886162e-10,-4.9997244774018e-06,-8.66018218831498e-06,-5.00007553767435e-06,8.65997950332484e-06
0.0344,9.99980001499345e-06,2.0270057712751e-10,-4.99972446376537e-06,-8.66018219612289e-06,-5.00007555141693e-06,8.65997949547764e-06
0.0346,9.99980001553472e-06,2.02716522177084e-10,-4.99972445020717e-06,-8.66018220445956e-06,-5.00007556518825e-06,8.65997948802807e-06
0.0348,9.99980001559992e-06,2.02732088097476e-10,-4.9997244364474e-06,-8.66018221224226e-06,-5.00007557916277e-06,8.65997948019496e-06
0.035,9.99980001562156e-06,2.02748001797124e-10,-4.99972442330212e-06,-8.6601822205153e-06,-5.00007559264525e-06,8.65997947279293e-06
0.0352,9.99980001623696e-06,2.02763810538587e-10,-4.99972440958676e-06,-8.66018222870307e-06,-5.00007560678928e-06,8.65997946512054e-06
0.0354,9.99980001632913e-06,2.0277944481575e-10,-4.99972439610773e-06,-8.66018223660846e-06,-5.0000756203742e-06,8.65997945704871e-06
0.0356,9.99980001659351e-06,2.02795204417085e-10,-4.99972438270245e-06,-8.66018224483919e-06,-5.00007563399369e-06,8.65997944971689e-06
0.0358,9.99980001662237e-06,2.02810989570876e-10,-4.99972436875249e-06,-8.66018225272495e-06,-5.00007564781621e-06,8.65997944165985e-06
0.036,9.99980001694759e-06,2.02826839176687e-10,-4.99972435535131e-06,-8.66018226068365e-06,-5.00007566156288e-06,8.65997943382952e-06
0.0362,9.99980001719661e-06,2.02842680197101e-10,-4.99972434182122e-06,-8.66018226890156e-06,-5.00007567549207e-06,8.65997942626361e-06
0.0364,9.99980001719979e-06,2.02858262268173e-10,-4.9997243281609e-06,-8.66018227710141e-06,-5.00007568915758e-06,8.65997941897029e-06
0.0366,9.99980001766962e-06,2.02874125289039e-10,-4.99972431485194e-06,-8.66018228501705e-06,-5.00007570291393e-06,8.65997941113878e-06
0.0368,9.99980001784131e-06,2.02890000006603e-10,-4.99972430100535e-06,-8.66018229345998e-06,-5.0000757167904e-06,8.65997940319512e-06
0.037,9.99980001782951e-06,2.02905670584073e-10,-4.99972428748648e-06,-8.66018230136474e-06,-5.00007573051354e-06,8.65997939561395e-06
0.0372,9.9998000182756e-06,2.0292144661136e-10,-4.99972427389121e-06,-8.66018230941908e-06,-5.0000757442622e-06,8.65997938793977e-06
0.0374,9.99980001866128e-06,2.02937074150651e-10,-4.99972426065142e-06,-8.66018231741855e-06,-5.00007575798364e-06,8.6599793803239e-06
