"time","T","eta","lambda","eta_der","lambda_der","eta2","lambda2","eta2_der","lambda2_der"
0.840118,2552.3304,8.44297698156394e-05,0.134541847080358,7.35479458907431e-05,0.117677669161262,7.48478906210509e-05,0.125735648137566,5.32686152118649e-05,0.0966622098802814
0.84032,2552.896,8.44446265007093e-05,0.134565617969528,7.35479458907431e-05,0.117677669161262,7.48586504625764e-05,0.12575517305582,5.32644694060291e-05,0.0966538129460662
0.840522,2553.4616,8.44594831857792e-05,0.134589388858699,7.35479458907431e-05,0.117677669161262,7.48694094667745e-05,0.125774696278201,5.32603248412084e-05,0.0966454190540717
0.840724,2554.0272,8.44743398708491e-05,0.13461315974787,7.35479458907431e-05,0.117677669161262,7.48801676338958e-05,0.125794217805323,5.32561815167564e-05,0.0966370282026734
0.840926,2554.5928,8.44891965559191e-05,0.13463693063704,7.35479458907431e-05,0.117677669161262,7.48909249641907e-05,0.1258137376378,5.32520394320272e-05,0.0966286403902482
0.841128,2555.1584,8.4504053240989e-05,0.134660701526211,7.35479458907431e-05,0.117677669161262,7.49016814579097e-05,0.125833255776245,5.32478985863751e-05,0.0966202556151735
0.84133,2555.724,8.45189099260589e-05,0.134684472415381,7.35479458907431e-05,0.117677669161262,7.4912437115303e-05,0.125852772221273,5.32437589791553e-05,0.0966118738758276
0.841532,2556.2896,8.45337666111289e-05,0.134708243304552,7.35479458907431e-05,0.117677669161262,7.49231919366207e-05,0.125872286973495,5.32396206097233e-05,0.0966034951705904
0.841734,2556.8552,8.45486232961988e-05,0.134732014193722,7.35479458907431e-05,0.117677669161262,7.49339459221126e-05,0.125891800033526,5.32354834774349e-05,0.096595119497842
0.841936,2557.4208,8.45634799812687e-05,0.134755785082893,7.35479458907431e-05,0.117677669161262,7.49446990720288e-05,0.125911311401976,5.32313475816466e-05,0.0965867468559639
0.842138,2557.9864,8.45783366663386e-05,0.134779555972064,7.35479458907431e-05,0.117677669161262,7.49554513866189e-05,0.125930821079459,5.32272129217154e-05,0.0965783772433383
0.84234,2558.552,8.45931933514086e-05,0.134803326861234,7.35479458907431e-05,0.117677669161262,7.49662028661324e-05,0.125950329066587,5.32230794969986e-05,0.0965700106583487
0.842542,2559.1176,8.46080500364785e-05,0.134827097750405,7.35479458907431e-05,0.117677669161262,7.49769535108187e-05,0.125969835363969,5.32189473068541e-05,0.096561647099379
0.842744,2559.6832,8.46229067215484e-05,0.134850868639575,7.35479458907431e-05,0.117677669161262,7.49877033209274e-05,0.125989339972218,5.32148163506402e-05,0.0965532865648147
0.842946,2560.2488,8.46377634066184e-05,0.134874639528746,7.35479458907431e-05,0.117677669161262,7.49984522967074e-05,0.126008842891945,5.32106866277158e-05,0.0965449290530414
0.843148,2560.8144,8.46526200916883e-05,0.134898410417917,7.35479458907431e-05,0.117677669161262,7.5009200438408e-05,0.126028344123759,5.32065581374402e-05,0.0965365745624466
0.84335,2561.38,8.46674767767582e-05,0.134922181307087,7.35479458907431e-05,0.117677669161262,7.50199477462779e-05,0.126047843668271,5.32024308791731e-05,0.0965282230914182
0.843552,2561.9456,8.46823334618282e-05,0.134945952196258,7.35479458907431e-05,0.117677669161262,7.50306942205661e-05,0.126067341526091,5.31983048522747e-05,0.096519874638345
0.843754,2562.5112,8.46971901468981e-05,0.134969723085428,7.35479458907431e-05,0.117677669161262,7.50414398615211e-05,0.126086837697828,5.31941800561059e-05,0.0965115292016171
0.843956,2563.0768,8.4712046831968e-05,0.134993493974599,7.35479458907431e-05,0.117677669161262,7.50521846693916e-05,0.126106332184092,5.31900564900277e-05,0.0965031867796252
0.844158,2563.6424,8.47269035170379e-05,0.135017264863769,7.35479458907431e-05,0.117677669161262,7.50629286444259e-05,0.12612582498549,5.31859341534019e-05,0.0964948473707612
0.84436,2564.208,8.47417602021079e-05,0.13504103575294,7.35479458907431e-05,0.117677669161262,7.50736717868723e-05,0.126145316102632,5.31818130455906e-05,0.0964865109734176
0.844562,2564.7736,8.47566168871778e-05,0.135064806642111,7.35479458907431e-05,0.117677669161262,7.5084414096979e-05,0.126164805536126,5.31776931659564e-05,0.0964781775859884
0.844764,2565.3392,8.47714735722477e-05,0.135088577531281,7.35479458907431e-05,0.117677669161262,7.5095155574994e-05,0.12618429328658,5.31735745138624e-05,0.096469847206868
0.844966,2565.9048,8.47863302573177e-05,0.135112348420452,7.35479458907431e-05,0.117677669161262,7.51058962211652e-05,0.1262037793546,5.31694570886721e-05,0.096461519834452
0.845168,2566.4704,8.48011869423876e-05,0.135136119309622,7.35479458907431e-05,0.117677669161262,7.51166360357404e-05,0.126223263740795,5.31653408897496e-05,0.096453195467137
