"time","j2.s","j2.v"
0.526,-0.172702232172831,1.895674064731
0.5264,-0.171942563704307,1.90264919449762
0.5268,-0.171180132737095,1.90948631345511
0.5272,-0.170414994316029,1.91618586504756
0.5276,-0.169647203283668,1.92274830282081
0.528,-0.168876814703818,1.92917410405755
0.5284,-0.168103883537297,1.93546375871468
0.5288,-0.167328463772488,1.94161774035248
0.5292,-0.16655060958178,1.94763654397763
0.5296,-0.165770374928948,1.95352067272187
0.53,-0.164987813563554,1.9592706373035
0.5304,-0.164202979015346,1.96488695548899
0.5308,-0.163415924588656,1.97037015155449
0.5312,-0.162626703356806,1.9757207557474
0.5316,-0.161835368434701,1.98093931845029
0.532,-0.161041972972123,1.98602640958355
0.5324,-0.160246569006929,1.9909825577576
0.5328,-0.159449208759358,1.99580831843112
0.5332,-0.158649944207205,2.00050425121768
0.5336,-0.157848827081152,2.00507091939657
0.534,-0.157045908860102,2.00950888942355
0.5344,-0.156241240766509,2.01381873044174
0.5348,-0.155434873761709,2.01800101379235
0.5352,-0.154626859017033,2.02205633384808
0.5356,-0.153817248728214,2.02598534423159
0.536,-0.15300609203241,2.02978857455298
0.5364,-0.152193439080031,2.03346661261275
0.5368,-0.151379339771164,2.03702004749339
0.5372,-0.150563843752696,2.04044946915045
0.5376,-0.149747000415433,2.04375546800363
0.538,-0.148928858891227,2.04693863452783
0.5384,-0.148109468050093,2.04999955884421
0.5388,-0.147288876709961,2.05293884356004
0.5392,-0.146467135080982,2.05575719353555
0.5396,-0.145644290181972,2.05845513004822
0.54,-0.144820390036517,2.06103325202659
0.5404,-0.143995482418979,2.06349215768306
0.5408,-0.143169614852973,2.06583244418956
0.5412,-0.142342834609855,2.06805470735328
0.5416,-0.141515188707195,2.07015954129234
0.542,-0.140686723907264,2.07214753811152
0.5424,-0.13985748672446,2.07401928837111
0.5428,-0.139027524894669,2.07577551110177
0.5432,-0.138196883595979,2.07741671871995
0.5436,-0.137365608706377,2.07894350551393
0.544,-0.13653374585864,2.08035646370442
0.5444,-0.135701340439691,2.08165618319773
0.5448,-0.134868437589946,2.08284325133895
0.5452,-0.134035082202678,2.08391825266513
0.5456,-0.133201318923365,2.08488176865846
0.546,-0.132367192149051,2.08573437749945
0.5464,-0.131532746982778,2.08647675600923
0.5468,-0.130698026943399,2.08710943443257
0.5472,-0.12986307569962,2.08763298179426
0.5476,-0.129027936769919,2.08804797361407
0.548,-0.128192653434496,2.08835498230798
0.5484,-0.127357268735261,2.08855457700912
0.5488,-0.126521825475824,2.08864732338881
0.5492,-0.125686366221481,2.08863378347752
0.5496,-0.124850933299207,2.08851451548587
0.55,-0.124015569526695,2.08829014841724
