"time","inductor.i","meanCurrent.x","meanVoltage.x","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanVoltage.y","pulse2.twoPulse.timerNegative[1].entryTime","pulse2.twoPulse.timerPositive[1].entryTime","rectifier.thyristor_n.off","rectifier.thyristor_p.off","rootMeanSquareVoltage.mean.y"
0.0569,7.03649778493452,0.0458320367696428,0.640821104322771,101.395282940814,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.057,7.04714098742451,0.0465362212301821,0.653547996023557,103.015084212427,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0571,7.05747597186869,0.0472414547022379,0.665987649908846,104.562600713172,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0572,7.06749109131231,0.0479477057724677,0.678127790757063,106.036505690702,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0573,7.07717501465363,0.0486549418911664,0.689956436472353,107.435752411813,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0574,7.08651674341081,0.0493631293792984,0.701461914992175,108.759599786656,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0575,7.09550561701117,0.0500722334861623,0.712632870729811,110.007594176063,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0576,7.10413132837619,0.0507822184031993,0.723458280435569,111.179590177002,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0577,7.11238392933145,0.051493047318007,0.733927459686983,112.275733625508,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0578,7.12025384440813,0.0522046824361375,0.744030077126276,113.296475609378,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0579,7.12773187780598,0.05291708502727,0.753756162346777,114.242561720991,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.058,7.13480922355912,0.0536302154599691,0.763096116753897,115.115033154603,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0581,7.14147747463484,0.0543440332402781,0.772040723435799,115.915223661071,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0582,7.14772862915732,0.055058497057316,0.780581154299044,116.644747882553,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0583,7.15355510178679,0.0557735648156595,0.788708982095377,117.305505700739,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
