"time","prismatic.s","prismatic.v"
0.252,0.3,-8.78916985328385e-17
0.253,0.3,-8.82404751143183e-17
0.254,0.3,-8.85892516957981e-17
0.255,0.3,-8.8938028277278e-17
0.256,0.3,-8.92868048587579e-17
0.257,0.3,-8.96355814402379e-17
0.258,0.3,-8.99843580217179e-17
0.259,0.3,-9.0333134603198e-17
0.26,0.3,-9.06819111846781e-17
0.261,0.3,-9.10306877661583e-17
0.262,0.3,-9.13794643476385e-17
0.263,0.3,-9.17282409291147e-17
0.264,0.3,-9.20770175105901e-17
0.265,0.3,-9.24257940920654e-17
0.266,0.3,-9.27745706735408e-17
0.267,0.3,-9.31233472550161e-17
0.268,0.3,-9.34721238364914e-17
0.269,0.3,-9.38209004179667e-17
0.27,0.3,-9.4169676999442e-17
0.271,0.3,-9.45184535809172e-17
0.272,0.3,-9.48672301623924e-17
0.273,0.3,-9.52160067438676e-17
0.274,0.3,-9.55647833253427e-17
0.275,0.3,-9.59135599068179e-17
0.276,0.3,-9.6262336488293e-17
0.277,0.3,-9.6611113069768e-17
0.278,0.3,-9.69598896512431e-17
0.279,0.3,-9.73086662327181e-17
0.28,0.3,-9.76574428141931e-17
0.281,0.3,-9.80062193956681e-17
0.282,0.3,-9.83549959771431e-17
0.283,0.3,-9.8703772558618e-17
0.284,0.3,-9.90525491400929e-17
0.285,0.3,-9.94013257215678e-17
0.286,0.3,-9.97501023030426e-17
0.287,0.3,-1.00098878884517e-16
0.288,0.3,-1.00447655465992e-16
0.289,0.3,-1.00796432047467e-16
0.29,0.3,-1.01145208628942e-16
0.291,0.3,-1.01493985210417e-16
0.292,0.3,-1.01842761791891e-16
0.293,0.3,-1.02191538373366e-16
0.294,0.3,-1.02540314954841e-16
0.295,0.3,-1.02889091536315e-16
0.296,0.3,-1.0323786811779e-16
0.297,0.3,-1.03586644699264e-16
0.298,0.3,-1.03935421280739e-16
0.299,0.3,-1.04284197862213e-16
0.3,0.3,-1.04632974443688e-16
0.301,0.3,-1.04981751025162e-16
0.302,0.3,-1.05330527606637e-16
0.303,0.3,-1.05679304188111e-16
0.304,0.3,-1.06028080769586e-16
0.305,0.3,-1.0637685735106e-16
0.306,0.3,-1.06725633932534e-16
0.307,0.3,-1.07074410514009e-16
0.308,0.3,-1.07423187095483e-16
0.309,0.3,-1.07771963676957e-16
0.31,0.3,-1.08120740258432e-16
0.311,0.3,-1.08469516839906e-16
0.312,0.3,-1.0881829342138e-16
0.313,0.3,-1.09167070002854e-16
0.314,0.3,-1.09515846584328e-16
0.315,0.3,-1.09864623165802e-16
0.316,0.3,-1.10213399747277e-16
0.317,0.3,-1.10562176328751e-16
0.318,0.3,-1.10910952910225e-16
0.319,0.3,-1.11259729491699e-16
0.32,0.3,-1.11608506073173e-16
0.321,0.3,-1.11957282654647e-16
0.322,0.3,-1.12306059236121e-16
0.323,0.3,-1.12654835817595e-16
0.324,0.3,-1.13003612399069e-16
0.325,0.3,-1.13352388980542e-16
0.326,0.3,-1.13701165562016e-16
0.327,0.3,-1.1404994214349e-16
0.328,0.3,-1.14398718724964e-16
0.329,0.3,-1.14747495306438e-16
0.33,0.3,-1.15096271887911e-16
0.331,0.3,-1.15445048469385e-16
0.332,0.3,-1.15793825050859e-16
0.333,0.3,-1.16142601632332e-16
0.334,0.3,-1.16491378213806e-16
0.335,0.3,-1.1684015479528e-16
0.336,0.3,-1.17188931376753e-16
0.337,0.3,-1.17537707958227e-16
0.338,0.3,-1.17886484539701e-16
0.339,0.3,-1.18235261121174e-16
0.34,0.3,-1.18584037702648e-16
0.341,0.3,-1.18932814284121e-16
0.342,0.3,-1.19281590865594e-16
0.343,0.3,-1.19630367447068e-16
0.344,0.3,-1.19979144028541e-16
0.345,0.3,-1.20327920610015e-16
0.346,0.3,-1.20676697191488e-16
0.347,0.3,-1.21025473772961e-16
0.348,0.3,-1.21374250354435e-16
0.349,0.3,-1.21723026935908e-16
0.35,0.3,-1.22071803517381e-16
0.351,0.3,-1.22420580098854e-16
0.352,0.3,-1.22769356680328e-16
0.353,0.3,-1.23118133261801e-16
0.354,0.3,-1.23466909843274e-16
0.355,0.3,-1.23815686424747e-16
0.356,0.3,-1.2416446300622e-16
0.357,0.3,-1.24513239587693e-16
0.358,0.3,-1.24862016169166e-16
0.359,0.3,-1.25210792750639e-16
0.36,0.3,-1.25559569332112e-16
0.361,0.3,-1.25908345913585e-16
0.362,0.3,-1.26257122495058e-16
0.363,0.3,-1.26605899076531e-16
0.364,0.3,-1.26954675658004e-16
0.365,0.3,-1.27303452239477e-16
0.366,0.3,-1.2765222882095e-16
0.367,0.3,-1.28001005402423e-16
0.368,0.3,-1.28349781983895e-16
0.369,0.3,-1.28698558565368e-16
0.37,0.3,-1.29047335146841e-16
0.371,0.3,-1.29396111728314e-16
0.372,0.3,-1.29744888309786e-16
0.373,0.3,-1.30093664891259e-16
0.374,0.3,-1.30442441472732e-16
0.375,0.3,-1.30791218054204e-16
0.376,0.3,-1.31139994635677e-16
0.377,0.3,-1.31488771217149e-16
0.378,0.3,-1.31837547798622e-16
0.379,0.3,-1.32186324380094e-16
0.38,0.3,-1.32535100961567e-16
0.381,0.3,-1.32883877543039e-16
0.382,0.3,-1.33232654124512e-16
0.383,0.3,-1.33581430705984e-16
0.384,0.3,-1.33930207287457e-16
0.385,0.3,-1.34278983868929e-16
0.386,0.3,-1.34627760450401e-16
0.387,0.3,-1.34976537031874e-16
0.388,0.3,-1.35325313613346e-16
0.389,0.3,-1.35674090194818e-16
0.39,0.3,-1.36022866776291e-16
0.391,0.3,-1.36371643357763e-16
0.392,0.3,-1.36720419939235e-16
0.393,0.3,-1.37069196520707e-16
0.394,0.3,-1.37417973102179e-16
0.395,0.3,-1.37766749683651e-16
0.396,0.3,-1.38115526265124e-16
0.397,0.3,-1.38464302846596e-16
0.398,0.3,-1.38813079428068e-16
0.399,0.3,-1.3916185600954e-16
0.4,0.3,-1.39510632591012e-16
0.401,0.3,-1.39859409172484e-16
0.402,0.3,-1.40208185753956e-16
0.403,0.3,-1.40556962335428e-16
0.404,0.3,-1.40905738916899e-16
0.405,0.3,-1.41254515498371e-16
0.406,0.3,-1.41603292079843e-16
0.407,0.3,-1.41952068661315e-16
0.408,0.3,-1.42300845242787e-16
0.409,0.3,-1.42649621824259e-16
0.41,0.3,-1.4299839840573e-16
0.411,0.3,-1.43347174987202e-16
0.412,0.3,-1.43695951568674e-16
0.413,0.3,-1.44044728150145e-16
0.414,0.3,-1.44393504731617e-16
0.415,0.3,-1.44742281313089e-16
0.416,0.3,-1.4509105789456e-16
0.417,0.3,-1.45439834476032e-16
0.418,0.3,-1.45788611057503e-16
0.419,0.3,-1.46137387638975e-16
0.42,0.3,-1.46486164220446e-16
0.421,0.3,-1.46834940801918e-16
0.422,0.3,-1.47183717383389e-16
0.423,0.3,-1.47532493964861e-16
0.424,0.3,-1.47881270546332e-16
0.425,0.3,-1.48230047127804e-16
0.426,0.3,-1.48578823709275e-16
0.427,0.3,-1.48927600290746e-16
0.428,0.3,-1.49276376872217e-16
0.429,0.3,-1.49625153453689e-16
0.43,0.3,-1.4997393003516e-16
0.431,0.3,-1.50322706616631e-16
0.432,0.3,-1.50671483198102e-16
0.433,0.3,-1.51020259779574e-16
0.434,0.3,-1.51369036361045e-16
0.435,0.3,-1.51717812942516e-16
0.436,0.3,-1.52066589523987e-16
0.437,0.3,-1.52415366105458e-16
0.438,0.3,-1.52764142686929e-16
0.439,0.3,-1.531129192684e-16
0.44,0.3,-1.53461695849871e-16
0.441,0.3,-1.53810472431342e-16
0.442,0.3,-1.54159249012813e-16
0.443,0.3,-1.54508025594284e-16
0.444,0.3,-1.54856802175755e-16
0.445,0.3,-1.55205578757226e-16
0.446,0.3,-1.55554355338697e-16
0.447,0.3,-1.55903131920167e-16
0.448,0.3,-1.56251908501638e-16
0.449,0.3,-1.56600685083109e-16
0.45,0.3,-1.5694946166458e-16
0.451,0.3,-1.5729823824605e-16
0.452,0.3,-1.57647014827521e-16
0.453,0.3,-1.57995791408992e-16
0.454,0.3,-1.58344567990462e-16
0.455,0.3,-1.58693344571933e-16
0.456,0.3,-1.59042121153404e-16
0.457,0.3,-1.59390897734874e-16
0.458,0.3,-1.59739674316345e-16
0.459,0.3,-1.60088450897815e-16
0.46,0.3,-1.60437227479286e-16
0.461,0.3,-1.60786004060756e-16
0.462,0.3,-1.61134780642227e-16
0.463,0.3,-1.61483557223697e-16
0.464,0.3,-1.61832333805167e-16
0.465,0.3,-1.62181110386638e-16
0.466,0.3,-1.62529886968108e-16
0.467,0.3,-1.62878663549578e-16
0.468,0.3,-1.63227440131049e-16
0.469,0.3,-1.63576216712519e-16
0.47,0.3,-1.63924993293989e-16
0.471,0.3,-1.64273769875459e-16
0.472,0.3,-1.6462254645693e-16
0.473,0.3,-1.649713230384e-16
0.474,0.3,-1.6532009961987e-16
0.475,0.3,-1.6566887620134e-16
0.476,0.3,-1.6601765278281e-16
0.477,0.3,-1.6636642936428e-16
0.478,0.3,-1.6671520594575e-16
0.479,0.3,-1.6706398252722e-16
0.48,0.3,-1.6741275910869e-16
0.481,0.3,-1.6776153569016e-16
0.482,0.3,-1.6811031227163e-16
0.483,0.3,-1.684590888531e-16
0.484,0.3,-1.6880786543457e-16
0.485,0.3,-1.6915664201604e-16
0.486,0.3,-1.6950541859751e-16
0.487,0.3,-1.6985419517898e-16
0.488,0.3,-1.70202971760449e-16
0.489,0.3,-1.70551748341919e-16
0.49,0.3,-1.70900524923389e-16
0.491,0.3,-1.71249301504859e-16
0.492,0.3,-1.71598078086328e-16
0.493,0.3,-1.71946854667798e-16
0.494,0.3,-1.72295631249268e-16
0.495,0.3,-1.72644407830737e-16
0.496,0.3,-1.72993184412207e-16
0.497,0.3,-1.73341960993676e-16
0.498,0.3,-1.73690737575146e-16
0.499,0.3,-1.74039514156615e-16
0.5,0.3,-1.74388290738085e-16
0.501,0.3,-1.74737067319554e-16
0.502,0.3,-1.75085843901024e-16
0.503,0.3,-1.75434620482493e-16
0.504,0.3,-1.75783397063963e-16
0.505,0.3,-1.76132173645432e-16
0.506,0.3,-1.76480950226901e-16
0.507,0.3,-1.76829726808371e-16
0.508,0.3,-1.7717850338984e-16
0.509,0.3,-1.77527279971309e-16
0.51,0.3,-1.77876056552778e-16
0.511,0.3,-1.78224833134248e-16
0.512,0.3,-1.78573609715717e-16
0.513,0.3,-1.78922386297186e-16
0.514,0.3,-1.79271162878655e-16
0.515,0.3,-1.79619939460124e-16
0.516,0.3,-1.79968716041593e-16
0.517,0.3,-1.80317492623062e-16
0.518,0.3,-1.80666269204531e-16
0.519,0.3,-1.81015045786e-16
0.52,0.3,-1.81363822367469e-16
0.521,0.3,-1.81712598948938e-16
0.522,0.3,-1.82061375530407e-16
0.523,0.3,-1.82410152111876e-16
0.524,0.3,-1.82758928693345e-16
0.525,0.3,-1.82914170576323e-16
0.526,0.3,-1.8298974107735e-16
0.527,0.3,-1.83063246294479e-16
0.528,0.3,-1.8313468622771e-16
0.529,0.3,-1.83204060877043e-16
0.53,0.3,-1.83271370242478e-16
0.531,0.3,-1.83336614324015e-16
0.532,0.3,-1.83399793121653e-16
0.533,0.3,-1.83460906635394e-16
0.534,0.3,-1.83519954865237e-16
0.535,0.3,-1.83576937811182e-16
0.536,0.3,-1.83631855473229e-16
0.537,0.3,-1.83684707851378e-16
0.538,0.3,-1.83735494945629e-16
0.539,0.3,-1.83784216755982e-16
0.54,0.3,-1.83830873282437e-16
0.541,0.3,-1.83875464524994e-16
0.542,0.3,-1.83917990483653e-16
0.543,0.3,-1.83958451158414e-16
0.544,0.3,-1.83996846549277e-16
0.545,0.3,-1.84033176656242e-16
0.546,0.3,-1.84067441479309e-16
0.547,0.3,-1.84099641018478e-16
0.548,0.3,-1.84129775273749e-16
0.549,0.3,-1.84157844245122e-16
0.55,0.3,-1.84183847932598e-16
0.551,0.3,-1.84207786336175e-16
0.552,0.3,-1.84229659455854e-16
0.553,0.3,-1.84249467291635e-16
0.554,0.3,-1.84267209843518e-16
0.555,0.3,-1.84282887111503e-16
0.556,0.3,-1.8429649909559e-16
0.557,0.3,-1.8430804579578e-16
0.558,0.3,-1.84317527212071e-16
0.559,0.3,-1.84324943344464e-16
0.56,0.3,-1.84330294192959e-16
0.561,0.3,-1.84333579757556e-16
0.562,0.3,-1.84334800038256e-16
0.563,0.3,-1.84333955035057e-16
0.564,0.3,-1.8433104474796e-16
0.565,0.3,-1.84326069176966e-16
0.566,0.3,-1.84319028322073e-16
0.567,0.3,-1.84309922183282e-16
0.568,0.3,-1.84298750760593e-16
0.569,0.3,-1.84285514054007e-16
0.57,0.3,-1.84270212063522e-16
0.571,0.3,-1.8425284478914e-16
0.572,0.3,-1.84233412230859e-16
0.573,0.3,-1.8421191438868e-16
0.574,0.3,-1.84188351262604e-16
0.575,0.3,-1.84162722852629e-16
0.576,0.3,-1.84135029158757e-16
0.577,0.3,-1.84105270180986e-16
0.578,0.3,-1.84073445919317e-16
0.579,0.3,-1.84039556373751e-16
0.58,0.3,-1.84003601544286e-16
0.581,0.3,-1.83965581430924e-16
0.582,0.3,-1.83925496033663e-16
0.583,0.3,-1.83883345352505e-16
0.584,0.3,-1.83839129387448e-16
0.585,0.3,-1.83792848138494e-16
0.586,0.3,-1.83744501605641e-16
0.587,0.3,-1.83694089788891e-16
0.588,0.3,-1.83641612688243e-16
0.589,0.3,-1.83587070303696e-16
0.59,0.3,-1.83530462635252e-16
0.591,0.3,-1.83471789682909e-16
0.592,0.3,-1.83411051446669e-16
0.593,0.3,-1.83348247926531e-16
0.594,0.3,-1.83283379122494e-16
0.595,0.3,-1.8321644503456e-16
0.596,0.3,-1.83147445662727e-16
0.597,0.3,-1.83076381006997e-16
0.598,0.3,-1.83003251067369e-16
0.599,0.3,-1.82928055843843e-16
0.6,0.3,-1.82850795336418e-16
0.601,0.3,-1.82771469545096e-16
0.602,0.3,-1.82690078469876e-16
0.603,0.3,-1.82606622110757e-16
0.604,0.3,-1.82521100467741e-16
0.605,0.3,-1.82433513540827e-16
0.606,0.3,-1.82343861330015e-16
0.607,0.3,-1.82252143835305e-16
0.608,0.3,-1.82158361056696e-16
0.609,0.3,-1.8206251299419e-16
0.61,0.3,-1.81964599647786e-16
0.611,0.3,-1.81864621017484e-16
0.612,0.3,-1.81762577103284e-16
0.613,0.3,-1.81658467905186e-16
0.614,0.3,-1.81552293423189e-16
0.615,0.3,-1.81444053657295e-16
0.616,0.3,-1.81333748607503e-16
0.617,0.3,-1.81221378273813e-16
0.618,0.3,-1.81106942656225e-16
0.619,0.3,-1.80990441754739e-16
0.62,0.3,-1.80871875569355e-16
0.621,0.3,-1.80751244100073e-16
0.622,0.3,-1.80628547346893e-16
0.623,0.3,-1.80503785309815e-16
0.624,0.3,-1.80376957988839e-16
0.625,0.3,-1.80248065383965e-16
0.626,0.3,-1.80117107495193e-16
0.627,0.3,-1.79984084322523e-16
0.628,0.3,-1.79848995865955e-16
0.629,0.3,-1.79711842125489e-16
0.63,0.3,-1.79572623101125e-16
0.631,0.3,-1.79431338792863e-16
0.632,0.3,-1.79287989200703e-16
0.633,0.3,-1.79142574324645e-16
0.634,0.3,-1.7899509416469e-16
0.635,0.3,-1.78845548720836e-16
0.636,0.3,-1.78693937993084e-16
0.637,0.3,-1.78540261981434e-16
0.638,0.3,-1.78384520685886e-16
0.639,0.3,-1.7822671410644e-16
0.64,0.3,-1.78066842243097e-16
0.641,0.3,-1.77904905095855e-16
0.642,0.3,-1.77740902664715e-16
0.643,0.3,-1.77574834949677e-16
0.644,0.3,-1.77406701950741e-16
0.645,0.3,-1.77236503667908e-16
0.646,0.3,-1.77064240101176e-16
0.647,0.3,-1.76889911250546e-16
0.648,0.3,-1.76713517116019e-16
0.649,0.3,-1.76535057697593e-16
0.65,0.3,-1.76354532995269e-16
0.651,0.3,-1.76171943009047e-16
0.652,0.3,-1.75987287738928e-16
0.653,0.3,-1.7580056718491e-16
0.654,0.3,-1.75611781346994e-16
0.655,0.3,-1.75420930225181e-16
0.656,0.3,-1.75228013819469e-16
0.657,0.3,-1.7503303212986e-16
0.658,0.3,-1.74835985156352e-16
0.659,0.3,-1.74636872898946e-16
0.66,0.3,-1.74435695357643e-16
0.661,0.3,-1.74232452532441e-16
0.662,0.3,-1.74027144423342e-16
0.663,0.3,-1.73819771030344e-16
0.664,0.3,-1.73610332353449e-16
0.665,0.3,-1.73398828392655e-16
0.666,0.3,-1.73185259147964e-16
0.667,0.3,-1.72969624619374e-16
0.668,0.3,-1.72751924806887e-16
0.669,0.3,-1.72532159710501e-16
0.67,0.3,-1.72310329330218e-16
0.671,0.3,-1.72086433666036e-16
