"time","cp[1]","cp[2]","cp[3]","eta[1]","eta[2]","eta[3]","lambda[1]","lambda[2]","lambda[3]","rho[1]","rho[2]","rho[3]","Nu[1]","Nu[2]","Nu[3]","m_flow_1[1]","m_flow_1[2]","m_flow_1[3]","m_flow_2[1]","m_flow_2[2]","m_flow_2[3]","m_flow_3[1]","m_flow_3[2]","m_flow_3[3]","m_flow_4[1]","m_flow_4[2]","m_flow_4[3]","kc_OUT_1[1]","kc_OUT_1[2]","kc_OUT_1[3]","kc_OUT_2[1]","kc_OUT_2[2]","kc_OUT_2[3]","kc_OUT_3[1]","kc_OUT_3[2]","kc_OUT_3[3]","kc_OUT_4[1]","kc_OUT_4[2]","kc_OUT_4[3]","Re_1[1]","Re_1[2]","Re_1[3]","Re_2[1]","Re_2[2]","Re_2[3]","Re_3[1]","Re_3[2]","Re_3[3]","Re_4[1]","Re_4[2]","Re_4[3]","input_Nu.y"
0.82517,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8254.4483,8254.4483,8254.4483,1149760.61476614,6439121.03325253,5153269.1371069,1149760.61412429,6439121.02965793,5153269.13423012,1762.4640433798,20717.9532606434,85587.3503544402,1762.46404272354,20717.9532529247,85587.3503224104,2120.56776827,49402.8730755,31944.714921,2120.56776827,49402.8730755,31944.714921,2120.56776827,49402.8730755,31944.714921,2120.56776827,49402.8730755,31944.714921,802588093036.872,81854468179.6431,575556671.055066,802588092588.832,81854468133.9484,575556670.733765,1230284493.53343,263367785.317752,9559052.54389265,1230284493.07534,263367785.219631,9559052.54031533,8254.4483
0.825372,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8256.46628,8256.46628,8256.46628,1150604.0731451,6443844.73879515,5157049.54841767,1150604.07250325,6443844.73520055,5157049.54554089,1763.32633495655,20728.0952890706,85629.4358796586,1763.32633430045,20728.0952813537,85629.4358476366,2121.086187332,49414.9506858,31952.5245036,2121.086187332,49414.9506858,31952.5245036,2121.086187332,49414.9506858,31952.5245036,2121.086187332,49414.9506858,31952.5245036,803176867468.03,81914516189.7724,575978896.421403,803176867019.991,81914516144.0777,575978896.100102,1230886414.44057,263496711.352669,9563752.97853906,1230886413.98258,263496711.254572,9563752.97496261,8256.46628
0.825574,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8258.48426,8258.48426,8258.48426,1151447.94392766,6448570.75396349,5160831.80813647,1151447.94328581,6448570.75036889,5160831.8052597,1764.18883742139,20738.239799302,85671.5317502446,1764.18883676545,20738.239791587,85671.5317182305,2121.604606394,49427.0282961,31960.3340862,2121.604606394,49427.0282961,31960.3340862,2121.604606394,49427.0282961,31960.3340862,2121.604606394,49427.0282961,31960.3340862,803765929776.696,81974593559.9936,576401328.232143,803765929328.657,81974593514.2989,576401327.910842,1231488482.55771,263625668.93642,9568454.56863557,1231488482.09984,263625668.838347,9568454.56505999,8258.48426
0.825776,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8260.50224,8260.50224,8260.50224,1152292.22721462,6453299.07932208,5164615.91671508,1152292.22657278,6453299.07572748,5164615.9138383,1765.05155077431,20748.3867913376,85713.6379661983,1765.05155011853,20748.3867836245,85713.637934192,2122.123025456,49439.1059064,31968.1436688,2122.123025456,49439.1059064,31968.1436688,2122.123025456,49439.1059064,31968.1436688,2122.123025456,49439.1059064,31968.1436688,804355280033.231,82034700297.4829,576823966.537743,804355279585.192,82034700251.7882,576823966.216443,1232090697.88485,263754658.069007,9573157.31418218,1232090697.42709,263754657.970958,9573157.31060747,8260.50224
0.825978,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8262.52022,8262.52022,8262.52022,1153136.92310678,6458029.71543541,5168401.87460526,1153136.92246493,6458029.71184081,5168401.87172848,1765.9144750153,20758.5362651775,85755.7545275198,1765.91447435969,20758.5362574663,85755.7544955212,2122.641444518,49451.1835167,31975.9532514,2122.641444518,49451.1835167,31975.9532514,2122.641444518,49451.1835167,31975.9532514,2122.641444518,49451.1835167,31975.9532514,804944918307.995,82094836409.4162,577246811.388663,804944917859.955,82094836363.7215,577246811.067363,1232693060.42199,263883678.750428,9577861.21517891,1232693059.96434,263883678.652404,9577861.21160507,8262.52022
0.82618,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8264.5382,8264.5382,8264.5382,1153982.03170493,6462762.66286797,5172189.6822588,1153982.03106308,6462762.65927337,5172189.67938202,1766.77761014438,20768.6882208216,85797.8814342089,1766.77760948892,20768.6882131123,85797.8814022181,2123.15986358,49463.261127,31983.762834,2123.15986358,49463.261127,31983.762834,2123.15986358,49463.261127,31983.762834,2123.15986358,49463.261127,31983.762834,805534844671.35,82155001902.9695,577669862.835359,805534844223.311,82155001857.2748,577669862.514059,1233295570.16914,264012730.980685,9582566.27162576,1233295569.7116,264012730.882684,9582566.26805278,8264.5382
0.826382,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8266.55618,8266.55618,8266.55618,1154827.55310987,6467497.92218427,5175979.34012745,1154827.55246802,6467497.91858968,5175979.33725068,1767.64095616153,20778.8426582699,85840.0186862658,1767.64095550624,20778.8426505625,85840.0186542828,2123.678282642,49475.3387373,31991.5724166,2123.678282642,49475.3387373,31991.5724166,2123.678282642,49475.3387373,31991.5724166,2123.678282642,49475.3387373,31991.5724166,806125059193.656,82215196785.3186,578093120.928288,806125058745.616,82215196739.6239,578093120.606988,1233898227.12628,264141814.759776,9587272.48352271,1233898226.66885,264141814.661799,9587272.4799506,8266.55618
0.826584,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8268.57416,8268.57416,8268.57416,1155673.48742239,6472235.49394882,5179770.84866301,1155673.48678054,6472235.49035422,5179770.84578623,1768.50451306677,20788.9995775225,85882.1662836903,1768.50451241163,20788.999569817,85882.166251715,2124.196701704,49487.4163476,31999.3819992,2124.196701704,49487.4163476,31999.3819992,2124.196701704,49487.4163476,31999.3819992,2124.196701704,49487.4163476,31999.3819992,806715561945.273,82275421063.6397,578516585.717908,806715561497.233,82275421017.945,578516585.396608,1234501031.29343,264270930.087702,9591979.85086976,1234501030.83611,264270929.989749,9591979.84729852,8268.57416
0.826786,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8270.59214,8270.59214,8270.59214,1156519.83474329,6476975.3787261,5183564.20831724,1156519.83410144,6476975.37513151,5183564.20544046,1769.36828086009,20799.1589785793,85924.3242264825,1769.36828020511,20799.1589708756,85924.3241945149,2124.715120766,49499.4939579,32007.1915818,2124.715120766,49499.4939579,32007.1915818,2124.715120766,49499.4939579,32007.1915818,2124.715120766,49499.4939579,32007.1915818,807306352996.562,82335674745.1086,578940257.254677,807306352548.522,82335674699.4139,578940256.933376,1235103982.67058,264400076.964462,9596688.37366693,1235103982.21337,264400076.866533,9596688.37009655,8270.59214
0.826988,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8272.61012,8272.61012,8272.61012,1157366.59517337,6481717.57708062,5187359.4195419,1157366.59453152,6481717.57348603,5187359.41666513,1770.23225954148,20809.3208614403,85966.4925146425,1770.23225888666,20809.3208537386,85966.4924826827,2125.233539828,49511.5715682,32015.0011644,2125.233539828,49511.5715682,32015.0011644,2125.233539828,49511.5715682,32015.0011644,2125.233539828,49511.5715682,32015.0011644,807897432417.884,82395957836.9013,579364135.589052,807897431969.845,82395957791.2066,579364135.267751,1235707081.25773,264529255.390058,9601398.05191422,1235707080.80063,264529255.292153,9601398.04834471,8272.61012
0.82719,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8274.6281,8274.6281,8274.6281,1158213.76881342,6486462.08957689,5191156.48278879,1158213.76817157,6486462.08598229,5191156.47991201,1771.09644911096,20819.4852261056,86008.67114817,1771.0964484563,20819.4852184057,86008.671116218,2125.75195889,49523.6491785,32022.810747,2125.75195889,49523.6491785,32022.810747,2125.75195889,49523.6491785,32022.810747,2125.75195889,49523.6491785,32022.810747,808488800279.6,82456270346.1938,579788220.77149,808488799831.561,82456270300.4991,579788220.450189,1236310327.05488,264658465.364489,9606108.88561161,1236310326.59789,264658465.266607,9606108.88204296,8274.6281
0.827392,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8276.64608,8276.64608,8276.64608,1159061.35576424,6491208.91677939,5194955.39850966,1159061.35512239,6491208.91318479,5194955.39563289,1771.96084956851,20829.6520725752,86050.8601270654,1771.96084891401,20829.6520648772,86050.8600951212,2126.270377952,49535.7267888,32030.6203296,2126.270377952,49535.7267888,32030.6203296,2126.270377952,49535.7267888,32030.6203296,2126.270377952,49535.7267888,32030.6203296,809080456652.07,82516612280.1619,580212512.852449,809080456204.031,82516612234.4672,580212512.531149,1236913720.06203,264787706.887754,9610820.87475912,1236913719.60516,264787706.789896,9610820.87119134,8276.64608
0.827594,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8278.66406,8278.66406,8278.66406,1159909.35612662,6495958.05925264,5198756.1671563,1159909.35548478,6495958.05565804,5198756.16427953,1772.82546091414,20839.821400849,86093.0594513286,1772.82546025981,20839.8213931528,86093.059419392,2126.788797014,49547.8043991,32038.4299122,2126.788797014,49547.8043991,32038.4299122,2126.788797014,49547.8043991,32038.4299122,2126.788797014,49547.8043991,32038.4299122,809672401605.656,82576983645.9818,580637011.882387,809672401157.617,82576983600.2871,580637011.561086,1237517260.27918,264916979.959855,9615534.01935674,1237517259.82242,264916979.86202,9615534.01578983,8278.66406
0.827796,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8280.68204,8280.68204,8280.68204,1160757.77000137,6500709.51756113,5202558.78918048,1160757.76935953,6500709.51396653,5202558.78630371,1773.69028314786,20849.993210927,86135.2691209594,1773.69028249368,20849.9932032327,86135.2690890306,2127.307216076,49559.8820094,32046.2394948,2127.307216076,49559.8820094,32046.2394948,2127.307216076,49559.8820094,32046.2394948,2127.307216076,49559.8820094,32046.2394948,810264635210.718,82637384450.8293,581061717.911761,810264634762.679,82637384405.1346,581061717.590461,1238120947.70634,265046284.580789,9620248.31940448,1238120947.24969,265046284.482979,9620248.31583842,8280.68204
0.827998,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8282.70002,8282.70002,8282.70002,1161606.59748928,6505463.29226935,5206363.26503397,1161606.59684744,6505463.28867476,5206363.26215719,1774.55531626965,20860.1675028092,86177.4891359579,1774.55531561563,20860.1674951168,86177.4891040369,2127.825635138,49571.9596197,32054.0490774,2127.825635138,49571.9596197,32054.0490774,2127.825635138,49571.9596197,32054.0490774,2127.825635138,49571.9596197,32054.0490774,810857157537.617,82697814701.8804,581486630.991028,810857157089.579,82697814656.1858,581486630.669728,1238724782.3435,265175620.750559,9624963.77490233,1238724781.88696,265175620.652773,9624963.77133713,8282.70002
0.8282,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8284.718,8284.718,8284.718,1162455.83869115,6510219.38394183,5210169.59516854,1162455.8380493,6510219.38034723,5210169.59229176,1775.42056027953,20870.3442764957,86219.7194963243,1775.42055962567,20870.3442688051,86219.7194644109,2128.3440542,49584.03723,32061.85866,2128.3440542,49584.03723,32061.85866,2128.3440542,49584.03723,32061.85866,2128.3440542,49584.03723,32061.85866,811449968656.714,82758274406.3112,581911751.170647,811449968208.675,82758274360.6165,581911750.849346,1239328764.19065,265304988.469164,9629680.38585029,1239328763.73423,265304988.371402,9629680.38228596,8284.718
0.828402,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8286.73598,8286.73598,8286.73598,1163305.49370776,6514977.79314304,5213977.78003595,1163305.49306592,6514977.78954845,5213977.77715918,1776.28601517748,20880.5235319864,86261.9602020583,1776.28601452378,20880.5235242978,86261.9601701527,2128.862473262,49596.1148403,32069.6682426,2128.862473262,49596.1148403,32069.6682426,2128.862473262,49596.1148403,32069.6682426,2128.862473262,49596.1148403,32069.6682426,812043068638.367,82818763571.2973,582337078.501073,812043068190.329,82818763525.6027,582337078.179773,1239932893.24781,265434387.736604,9634398.15224837,1239932892.7915,265434387.638865,9634398.1486849,8286.73598
0.828604,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8288.75396,8288.75396,8288.75396,1164155.56263993,6519738.52043751,5217787.82008801,1164155.56199808,6519738.51684291,5217787.81721123,1777.15168096351,20890.7052692814,86304.21125316,1777.15168030997,20890.7052615946,86304.2112212622,2129.380892324,49608.1924506,32077.4778252,2129.380892324,49608.1924506,32077.4778252,2129.380892324,49608.1924506,32077.4778252,2129.380892324,49608.1924506,32077.4778252,812636457552.941,82879282204.0151,582762613.032766,812636457104.902,82879282158.3204,582762612.711466,1240537169.51498,265563818.552878,9639117.07409656,1240537169.05877,265563818.455163,9639117.07053396,8288.75396
0.828806,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8290.77194,8290.77194,8290.77194,1165006.04558843,6524501.56638971,5221599.71577648,1165006.04494659,6524501.56279512,5221599.7128997,1778.01755763763,20900.8894883806,86346.4726496295,1778.01755698424,20900.8894806957,86346.4726177394,2129.899311386,49620.2700609,32085.2874078,2129.899311386,49620.2700609,32085.2874078,2129.899311386,49620.2700609,32085.2874078,2129.899311386,49620.2700609,32085.2874078,813230135470.795,82939830311.6403,583188354.816184,813230135022.756,82939830265.9456,583188354.494883,1241141592.99214,265693280.917988,9643837.15139486,1241141592.53604,265693280.820296,9643837.14783313,8290.77194
0.829008,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8292.78992,8292.78992,8292.78992,1165856.94265408,6529266.93156416,5225413.46755311,1165856.94201224,6529266.92796956,5225413.46467633,1778.88364519982,20911.076189284,86388.7443914668,1778.88364454659,20911.0761816009,86388.7443595844,2130.417730448,49632.3476712,32093.0969904,2130.417730448,49632.3476712,32093.0969904,2130.417730448,49632.3476712,32093.0969904,2130.417730448,49632.3476712,32093.0969904,813824102462.288,83000407901.3488,583614303.901781,813824102014.249,83000407855.6541,583614303.580481,1241746163.6793,265822774.831932,9648558.38414329,1241746163.22332,265822774.734264,9648558.38058241,8292.78992
0.82921,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8294.8079,8294.8079,8294.8079,1166708.25393767,6534034.61652535,5229229.07586969,1166708.25329582,6534034.61293075,5229229.07299291,1779.74994365009,20921.2653719917,86431.0264786719,1779.74994299703,20921.2653643105,86431.0264467971,2130.93614951,49644.4252815,32100.906573,2130.93614951,49644.4252815,32100.906573,2130.93614951,49644.4252815,32100.906573,2130.93614951,49644.4252815,32100.906573,814418358597.784,83061014980.3168,584040460.340017,814418358149.744,83061014934.6221,584040460.018717,1242350881.57647,265952300.294711,9653280.77234184,1242350881.1206,265952300.197067,9653280.76878182,8294.8079
0.829412,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8296.82588,8296.82588,8296.82588,1167559.97953999,6538804.62183778,5233046.54117799,1167559.97889815,6538804.61824319,5233046.53830122,1780.61645298845,20931.4570365036,86473.3189112446,1780.61645233554,20931.4570288243,86473.3188793776,2131.454568572,49656.5028918,32108.7161556,2131.454568572,49656.5028918,32108.7161556,2131.454568572,49656.5028918,32108.7161556,2131.454568572,49656.5028918,32108.7161556,815012903947.64,83121651555.72,584466824.18135,815012903499.601,83121651510.0253,584466823.860049,1242955746.68363,266081857.306325,9658004.31599049,1242955746.22787,266081857.208705,9658004.31243134,8296.82588
0.829614,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,8298.84386,8298.84386,8298.84386,1168412.11956184,6543576.94806597,5236865.8639298,1168412.11892,6543576.94447137,5236865.86105302,1781.48317321488,20941.6511828198,86515.6216891852,1781.48317256213,20941.6511751423,86515.6216573259,2131.972987634,49668.5805021,32116.5257382,2131.972987634,49668.5805021,32116.5257382,2131.972987634,49668.5805021,32116.5257382,2131.972987634,49668.5805021,32116.5257382,815607738582.22,83182317634.7346,584893395.476236,815607738134.181,83182317589.0399,584893395.154935,1243560759.0008,266211445.866773,9662729.01508927,1243560758.54515,266211445.769177,9662729.01153098,8298.84386
