"time","x","sqrtx","sqrtx_a","x2","x2_a","x3","x3_a","sqrtxerr","x2err","x3err"
0.94132,0.941320001,0.970216471206297,0.970189099400673,0.88608334428264,0.886133342872017,0.834087974526218,0.834182106526318,-2.8212060335509e-05,5.64265085216344e-05,0.000112856200994229
0.941522,0.941522001,0.970320566101739,0.970293203103592,0.886463678367044,0.886513676957026,0.83462505626996,0.83471920847006,-2.81999569046472e-05,5.64022996119128e-05,0.000112807780443093
0.941724,0.941724001,0.970424649831196,0.970397295635803,0.886844094059448,0.886894092650035,0.835162368520884,0.835256540920984,-2.81878612610983e-05,5.63781062781969e-05,0.000112759391047272
0.941926,0.941926001,0.970528722398261,0.970501377000902,0.887224591359852,0.887274589951043,0.835699911328445,0.835794103928545,-2.81757733976028e-05,5.63539285073774e-05,0.000112711032780042
0.942128,0.942128001,0.970632783806523,0.970605447202485,0.887605170268256,0.887655168860051,0.836237684742096,0.836331897542197,-2.81636933079341e-05,5.63297662859836e-05,0.000112662705614708
0.94233,0.942330001,0.970736834059571,0.970709506244143,0.88798583078466,0.888035829377059,0.836775688811294,0.836869921811394,-2.81516209851829e-05,5.63056196008094e-05,0.000112614409524474
0.942532,0.942532001,0.970840873160993,0.970813554129466,0.888366572909064,0.888416571502066,0.837313923585493,0.837408176785593,-2.81395564226726e-05,5.62814884385378e-05,0.0001125661444831
0.942734,0.942734001,0.970944901114373,0.970917590862042,0.888747396641468,0.888797395235073,0.837852389114145,0.837946662514245,-2.81274996139586e-05,5.62573727857412e-05,0.00011251791046358
0.942936,0.942936001,0.971048917923294,0.971021616445458,0.889128301981872,0.88917830057608,0.838391085446707,0.838485379046807,-2.81154505523713e-05,5.62332726292561e-05,0.000112469707439467
0.943138,0.943138001,0.971152923591336,0.971125630883299,0.889509288930276,0.889559287525086,0.838930012632632,0.839024326432732,-2.81034092310162e-05,5.62091879556833e-05,0.000112421535384077
0.94334,0.943340001,0.97125691812208,0.971229634179146,0.88989035748668,0.889940356082092,0.839469170721375,0.839563504721475,-2.80913756435738e-05,5.61851187518877e-05,0.000112373394271283
0.943542,0.943542001,0.971360901519101,0.971333626336581,0.890271507651084,0.890321506247097,0.840008559762391,0.840102913962491,-2.80793497831567e-05,5.61610650043742e-05,0.000112325284074196
0.943744,0.943744001,0.971464873785975,0.971437607359182,0.890652739423488,0.890702738020102,0.840548179805133,0.840642554205233,-2.80673316432243e-05,5.61370267002851e-05,0.000112277204766347
0.943946,0.943946001,0.971568834926275,0.971541577250527,0.891034052803892,0.891084051401106,0.841088030899057,0.841182425499157,-2.80553212173534e-05,5.61130038262783e-05,0.000112229156321697
0.944148,0.944148001,0.971672784943573,0.971645536014189,0.891415447792296,0.89146544639011,0.841628113093616,0.841722527893716,-2.80433184987819e-05,5.60889963689013e-05,0.000112181138713307
0.94435,0.944350001,0.971776723841439,0.971749483653742,0.8917969243887,0.891846922987114,0.842168426438266,0.842262861438366,-2.80313234808655e-05,5.60650043152141e-05,0.000112133151915191
0.944552,0.944552001,0.971880651623439,0.971853420172756,0.892178482593104,0.892228481192118,0.84270897098246,0.84280342618256,-2.80193361571918e-05,5.60410276520414e-05,0.000112085195900865
0.944754,0.944754001,0.971984568293139,0.971957345574802,0.892560122405508,0.89261012100512,0.843249746775653,0.843344222175753,-2.80073565211237e-05,5.60170663662223e-05,0.000112037270644004
0.944956,0.944956001,0.972088473854103,0.972061259863446,0.892941843825912,0.892991842426123,0.8437907538673,0.8438852494674,-2.79953845660275e-05,5.5993120444361e-05,0.000111989376118178
0.945158,0.945158001,0.972192368309894,0.972165163042253,0.893323646854316,0.893373645455125,0.844331992306855,0.844426508106955,-2.79834202852733e-05,5.59691898735734e-05,0.000111941512297384
0.94536,0.945360001,0.97229625166407,0.972269055114787,0.89370553149072,0.893755530092127,0.844873462143772,0.844967998143872,-2.7971463672463e-05,5.59452746408648e-05,0.000111893679155248
0.945562,0.945562001,0.97240012392019,0.97237293608461,0.894087497735124,0.894137496337129,0.845415163427507,0.845509719627607,-2.79595147210877e-05,5.59213747327576e-05,0.000111845876665688
0.945764,0.945764001,0.972503985081809,0.972476805955281,0.894469545587528,0.89451954419013,0.845957096207512,0.846051672607612,-2.79475734243e-05,5.58974901364093e-05,0.000111798104802258
0.945966,0.945966001,0.972607835152483,0.972580664730357,0.894851675047932,0.89490167365113,0.846499260533244,0.846593857133344,-2.79356397758264e-05,5.58736208386189e-05,0.000111750363538801
0.946168,0.946168001,0.972711674135764,0.972684512413395,0.895233886116336,0.895283884720131,0.847041656454155,0.847136273254255,-2.79237137690547e-05,5.58497668265717e-05,0.000111702652849582
0.94637,0.946370001,0.972815502035201,0.972788349007949,0.89561617879274,0.895666177397131,0.847584284019702,0.847678921019802,-2.79117953974905e-05,5.58259280868464e-05,0.000111654972708106
0.946572,0.946572001,0.972919318854344,0.972892174517569,0.895998553077144,0.89604855168213,0.848127143279337,0.848221800479437,-2.78998846545285e-05,5.58021046066561e-05,0.000111607323088301
0.946774,0.946774001,0.973023124596738,0.972995988945808,0.896381008969548,0.896431007575129,0.848670234282516,0.848764911682616,-2.78879815339094e-05,5.57782963729796e-05,0.000111559703964513
0.946976,0.946976001,0.97312691926593,0.973099792296212,0.896763546469952,0.896813545076128,0.849213557078693,0.849308254678793,-2.78760860288071e-05,5.57545033728093e-05,0.000111512115310334
0.947178,0.947178001,0.973230702865461,0.973203584572328,0.897146165578356,0.897196164185127,0.849757111717322,0.849851829517422,-2.78641981328552e-05,5.57307255930282e-05,0.000111464557099772
0.94738,0.947380001,0.973334475398873,0.9733073657777,0.89752886629476,0.897578864902125,0.850300898247858,0.850395636247958,-2.78523178396908e-05,5.57069630207804e-05,0.000111417029307128
0.947582,0.947582001,0.973438236869705,0.973411135915872,0.897911648619164,0.897961647227122,0.850844916719756,0.850939674919856,-2.78404451427263e-05,5.56832156428528e-05,0.000111369531906336
0.947784,0.947784001,0.973541987281494,0.973514894990383,0.898294512551568,0.89834451116012,0.85138916718247,0.85148394558257,-2.7828580035492e-05,5.56594834466645e-05,0.00011132206487162
0.947986,0.947986001,0.973645726637774,0.973618643004772,0.898677458091972,0.898727456701116,0.851933649685454,0.852028448285554,-2.78167225114073e-05,5.56357664190301e-05,0.00011127462817671
0.948188,0.948188001,0.973749454942081,0.973722379962577,0.899060485240376,0.899110483850113,0.852478364278162,0.852573183078262,-2.78048725642375e-05,5.56120645472722e-05,0.000111227221796276
0.94839,0.948390001,0.973853172197945,0.973826105867332,0.89944359399678,0.899493592607109,0.85302331101005,0.85311815001015,-2.7793030187295e-05,5.55883778181099e-05,0.000111179845703972
0.948592,0.948592001,0.973956878408895,0.97392982072257,0.899826784361184,0.899876782972105,0.853568489930571,0.853663349130671,-2.77811953743519e-05,5.55647062188932e-05,0.000111132499874393
0.948794,0.948794001,0.974060573578461,0.974033524531823,0.900210056333588,0.9002600549451,0.85411390108918,0.85420878048928,-2.77693681188418e-05,5.55410497366155e-05,0.000111085184281639
0.948996,0.948996001,0.974164257710167,0.97413721729862,0.900593409913992,0.900643408526095,0.854659544535332,0.854754444135432,-2.77575484143157e-05,5.55174083586543e-05,0.000111037898899968
0.949198,0.949198001,0.974267930807537,0.974240899026488,0.900976845102396,0.90102684371509,0.855205420318481,0.855300340118581,-2.77457362544421e-05,5.5493782071907e-05,0.000110990643703667
0.9494,0.949400001,0.974371592874094,0.974344569718953,0.9013603618988,0.901410360512084,0.855751528488081,0.855846468488181,-2.77339316325512e-05,5.54701708635317e-05,0.000110943418667047
0.949602,0.949602001,0.974475243913359,0.974448229379538,0.901743960303204,0.901793958917078,0.856297869093587,0.856392829293687,-2.77221345426601e-05,5.54465747209464e-05,0.000110896223764321
0.949804,0.949804001,0.974578883928849,0.974551878011766,0.902127640315608,0.902177638930072,0.856844442184453,0.856939422584553,-2.77103449781059e-05,5.542299363109e-05,0.000110849058970245
0.950006,0.950006001,0.97468251292408,0.974655515619157,0.902511401936012,0.902561400551065,0.857391247810134,0.857486248410234,-2.76985629325708e-05,5.53994275811614e-05,0.000110801924258694
0.950208,0.950208001,0.974786130902569,0.974759142205228,0.902895245164416,0.902945243780057,0.857938286020085,0.858033306820185,-2.7686788399399e-05,5.53758765584961e-05,0.000110754819604481
0.95041,0.950410001,0.974889737867827,0.974862757773495,0.90327917000082,0.90332916861705,0.858485556863758,0.858580597863858,-2.76750213725075e-05,5.53523405501973e-05,0.000110707744981924
0.950612,0.950612001,0.974993333823365,0.974966362327474,0.903663176445224,0.903713175062042,0.85903306039061,0.85912812159071,-2.76632618454749e-05,5.53288195436276e-05,0.0001106607003655
0.950814,0.950814001,0.975096918772693,0.975069955870676,0.904047264497628,0.904097263115033,0.859580796650095,0.859675878050195,-2.76515098117695e-05,5.530531352604e-05,0.000110613685729713
0.951016,0.951016001,0.975200492719318,0.975173538406612,0.904431434158032,0.904481432776024,0.860128765691666,0.860223867291766,-2.7639765265091e-05,5.52818224845785e-05,0.000110566701049093
0.951218,0.951218001,0.975304055666744,0.975277109938791,0.904815685426436,0.904865684045015,0.860676967564779,0.860772089364879,-2.76280281993699e-05,5.52583464066462e-05,0.000110519746298198
0.95142,0.951420001,0.975407607618477,0.97538067047072,0.90520001830284,0.905250016922006,0.861225402318888,0.861320544318988,-2.76162986077433e-05,5.52348852795366e-05,0.000110472821451613
0.951622,0.951622001,0.975511148578016,0.975484220005904,0.905584432787244,0.905634431406996,0.861774070003447,0.861869232203547,-2.76045764842625e-05,5.52114390904344e-05,0.000110425926483949
0.951824,0.951824001,0.975614678548862,0.975587758547845,0.905968928879648,0.906018927499986,0.862322970667911,0.862418153068011,-2.75928618222992e-05,5.51880078269055e-05,0.000110379061369845
0.952026,0.952026001,0.975718197534513,0.975691286100046,0.906353506580052,0.906403505200975,0.862872104361734,0.862967306961834,-2.75811546157977e-05,5.51645914759163e-05,0.000110332226083966
0.952228,0.952228001,0.975821705538466,0.975794802666005,0.906738165888456,0.906788164509964,0.863421471134371,0.863516693934471,-2.75694548583641e-05,5.51411900250595e-05,0.000110285420601005
0.95243,0.952430001,0.975925202564213,0.97589830824922,0.90712290680486,0.907172905426953,0.863971071035276,0.864066314035376,-2.7557762543608e-05,5.51178034616961e-05,0.000110238644895552
0.952632,0.952632001,0.976028688615248,0.976001802853187,0.907507729329264,0.907557727951941,0.864520904113903,0.864616167314003,-2.75460776652562e-05,5.50944317732004e-05,0.00011019189894261
0.952834,0.952834001,0.97613216369506,0.976105286481401,0.907892633461668,0.907942632084929,0.865070970419708,0.865166253819808,-2.75344002168113e-05,5.50710749468378e-05,0.000110145182716953
0.953036,0.953036001,0.97623562780714,0.976208759137351,0.908277619202072,0.908327617825917,0.865621270002143,0.865716573602243,-2.75227301923482e-05,5.50477329701317e-05,0.000110098496193122
0.953238,0.953238001,0.976339080954972,0.97631222082453,0.908662686550476,0.908712685174904,0.866171802910665,0.866267126710765,-2.75110675853764e-05,5.50244058303745e-05,0.000110051839346072
0.95344,0.953440001,0.976442523142043,0.976415671546425,0.90904783550688,0.90909783413189,0.866722569194728,0.866817913194828,-2.74994123894088e-05,5.50010935151162e-05,0.000110005212150657
0.953642,0.953642001,0.976545954371836,0.976519111306522,0.909433066071284,0.909483064696877,0.867273568903784,0.867368933103884,-2.74877645986438e-05,5.49777960117978e-05,0.000109958614581755
0.953844,0.953844001,0.976649374647831,0.976622540108307,0.909818378243688,0.909868376869863,0.867824802087291,0.867920186487391,-2.74761242063738e-05,5.49545133078737e-05,0.000109912046614273
0.954046,0.954046001,0.976752783973509,0.976725957955263,0.910203772024092,0.910253770650849,0.868376268794701,0.868471673394801,-2.7464491206463e-05,5.49312453906895e-05,0.000109865508223015
0.954248,0.954248001,0.976856182352346,0.976829364850868,0.910589247412496,0.910639246039834,0.868927969075469,0.869023393875569,-2.74528655928925e-05,5.49079922477264e-05,0.000109818999383197
0.95445,0.954450001,0.976959569787819,0.976932760798604,0.9109748044089,0.911024803036819,0.869479902979049,0.869575347979149,-2.74412473590784e-05,5.48847538667224e-05,0.000109772520069676
0.954652,0.954652001,0.977062946283401,0.977036145801948,0.911360443013304,0.911410441641803,0.870032070554897,0.870127535754997,-2.74296364987814e-05,5.48615302349411e-05,0.000109726070257464
0.954854,0.954854001,0.977166311842564,0.977139519864374,0.911746163225708,0.911796161854787,0.870584471852466,0.870679957252566,-2.74180330059927e-05,5.4838321340025e-05,0.0001096796499216
0.955056,0.955056001,0.97726966646878,0.977242882989356,0.912131965046112,0.912181963675771,0.871137106921211,0.871232612521311,-2.74064368743657e-05,5.48151271695079e-05,0.000109633259037149
0.955258,0.955258001,0.977373010165515,0.977346235180367,0.912517848474516,0.912567847104755,0.871689975810587,0.871785501610687,-2.73948480976712e-05,5.47919477108151e-05,0.000109586897579202
0.95546,0.955460001,0.977476342936237,0.977449576440875,0.91290381351092,0.912953812141738,0.872243078570047,0.872338624570147,-2.73832666697966e-05,5.47687829516284e-05,0.000109540565522876
0.955662,0.955662001,0.97757966478441,0.977552906774349,0.913289860155324,0.913339858786721,0.872796415249047,0.872891981449147,-2.73716925844057e-05,5.47456328795213e-05,0.000109494262843316
0.955864,0.955864001,0.977682975713498,0.977656226184255,0.913675988407728,0.913725987039703,0.87334998589704,0.87344557229714,-2.73601258352789e-05,5.47224974820801e-05,0.000109447989515693
