"time","n_nt[1]","n_nt[2]","n_nt[3]","cp[1]","cp[2]","cp[3]","eta[1]","eta[2]","eta[3]","lambda[1]","lambda[2]","lambda[3]","rho[1]","rho[2]","rho[3]","Nu[1]","Nu[2]","Nu[3]","m_flow_1[1]","m_flow_1[2]","m_flow_1[3]","m_flow_2[1]","m_flow_2[2]","m_flow_2[3]","m_flow_3[1]","m_flow_3[2]","m_flow_3[3]","kc_1[1]","kc_1[2]","kc_1[3]","kc_2[1]","kc_2[2]","kc_2[3]","kc_3[1]","kc_3[2]","kc_3[3]","Re_1[1]","Re_1[2]","Re_1[3]","Re_2[1]","Re_2[2]","Re_2[3]","Re_3[1]","Re_3[2]","Re_3[3]","input_Nu.y"
0.386628,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,35.93024,35.93024,35.93024,0.00411661126208675,0.0629053080861205,0.445215772057102,0.00228222353141068,0.037427334033118,0.308817210932147,0.00168516974433809,0.0286142494567273,0.254625719618284,92.30478656,2150.424864,1390.500288,92.30478656,2150.424864,1390.500288,92.30478656,2150.424864,1390.500288,28735.9224188102,7996.5580899558,497.251163967455,15931.0156256426,4757.78372054493,344.910776362833,11763.2936298383,3637.4594599862,284.385557302322,35.93024
0.38683,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,35.9464,35.9464,35.9464,0.00412007707128611,0.0629582685872641,0.445590602911963,0.00228403878575522,0.0374571033040824,0.309062840589407,0.00168647151037726,0.0286363534959816,0.254822413818148,92.3463016,2151.39204,1391.12568,92.3463016,2151.39204,1391.12568,92.3463016,2151.39204,1391.12568,28760.1154304721,8003.29045860245,497.669803850784,15943.6869722173,4761.56800698761,345.185114426853,11772.3805815875,3640.26933786929,284.605240489592,35.9464
0.387032,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,35.96256,35.96256,35.96256,0.00412354406191476,0.0630112471416482,0.445965561539624,0.002285854574504,0.0374868813390114,0.30930854255914,0.0016877736298572,0.0286584635366742,0.255019161422193,92.38781664,2152.359216,1391.751072,92.38781664,2152.359216,1391.751072,92.38781664,2152.359216,1391.751072,28784.3166890774,8010.02512218719,498.088586440589,15956.36204919,4765.35340751038,345.459533254997,11781.470000523,3643.07997865858,284.824983322751,35.96256
0.387234,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,35.97872,35.97872,35.97872,0.00412701223378408,0.0630642437463906,0.446340647919688,0.00228767089754688,0.0375166681360988,0.309554316826444,0.00168907610269697,0.0286805795774311,0.255215962418191,92.42933168,2153.326392,1392.376464,92.42933168,2153.326392,1392.376464,92.42933168,2153.326392,1392.376464,28808.5261933097,8016.76208034363,498.507511714088,15969.0408557921,4769.13992188364,345.734032830619,11790.5618860797,3645.89138217941,285.044785788144,35.97872
0.387436,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,35.99488,35.99488,35.99488,0.00413048158670559,0.0631172583986113,0.446715862031769,0.00228948775477381,0.0375464636935394,0.309800163376424,0.00169037892881572,0.028702701616879,0.255412816793923,92.47084672,2154.293568,1393.001856,92.47084672,2154.293568,1393.001856,92.47084672,2154.293568,1393.001856,28832.743941853,8023.50133270561,498.926579648514,15981.7233912551,4772.92754987794,346.008613137085,11799.6562376932,3648.70354825721,285.264647872123,35.99488
0.387638,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.01104,36.01104,36.01104,0.00413395212049093,0.0631702910954317,0.447091203855497,0.00229130514607479,0.0375762680095298,0.310046082194199,0.00169168210813264,0.0287248296536458,0.25560972453718,92.51236176,2155.260744,1393.627248,92.51236176,2155.260744,1393.627248,92.51236176,2155.260744,1393.627248,28856.9699333927,8030.24287890727,499.345790221113,15994.4096548114,4776.716291264,346.283274157775,11808.7530547995,3651.51647671757,285.484569561052,36.01104
0.38784,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.0272,36.0272,36.0272,0.00413742383495186,0.0632233418339758,0.447466673370514,0.00229312307133994,0.0376060810822676,0.310292073264898,0.00169298564056698,0.0287469636863606,0.25580668563576,92.5538768,2156.22792,1394.25264,92.5538768,2156.22792,1394.25264,92.5538768,2156.22792,1394.25264,28881.2041666147,8036.98671858295,499.76514340915,16007.0996456939,4780.5061458127,346.558015876077,11817.8523368348,3654.33016738618,285.704550841303,36.0272
0.388042,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.04336,36.04336,36.04336,0.00414089672990029,0.0632764106113688,0.447842270556474,0.00229494153045941,0.0376359029099516,0.310538136573658,0.00169428952603804,0.028769103713653,0.256003700077471,92.59539184,2157.195096,1394.878032,92.59539184,2157.195096,1394.878032,92.59539184,2157.195096,1394.878032,28905.4466402059,8043.73285136725,500.184639189901,16019.7933631357,4784.29711329509,346.832838275395,11826.9540832359,3657.14462008888,285.92459169926,36.04336
0.388244,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.05952,36.05952,36.05952,0.0041443708051482,0.0633294974247381,0.448217995393048,0.00229676052332346,0.037665733490782,0.31078427210563,0.0016955937644652,0.028791249734154,0.256200767850131,92.63690688,2158.162272,1395.503424,92.63690688,2158.162272,1395.503424,92.63690688,2158.162272,1395.503424,28929.6973528541,8050.48127689499,500.60427754066,16032.490806371,4788.08919348235,347.107741339142,11836.05829344,3659.95983465162,286.144692121315,36.05952
0.388446,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.07568,36.07568,36.07568,0.00414784606050775,0.063382602271213,0.448593847859917,0.00229858004982242,0.0376955728229602,0.311030479845973,0.00169689835576789,0.0288134017464955,0.256397888941564,92.67842192,2159.129448,1396.128816,92.67842192,2159.129448,1396.128816,92.67842192,2159.129448,1396.128816,28953.9563032479,8057.23199480123,501.024058438733,16045.1919746339,4791.88238614587,347.382725050741,11845.1649668846,3662.77581090049,286.364852093871,36.07568
