"time","inertiaLoad.phi","inertiaLoad.w","smpm.idq_sr[1]","smpm.idq_sr[2]","tauElectrical","tauShaft","wMechanical"
0.58399999999999996,57.391902237619142,41.045261703196111,-135.39440925195217,-184.64275080195472,-280.0260263934112,-224.02082111472896,41.045261703196111
0.58450000000000002,57.412400734318879,40.948736905173213,-134.99768872262507,-184.50526877479177,-279.81752351095446,-223.85401880876356,40.948736905173213
0.58499999999999996,57.432850986639032,40.852284242070745,-134.6008884026962,-184.36687453429826,-279.60763718141908,-223.68610974513527,40.852284242070745
0.58550000000000002,57.453253030762284,40.755904191898878,-134.2040154139284,-184.22756746457679,-279.39636647074576,-223.51709317659663,40.755904191898878
0.58599999999999997,57.473606903107786,40.659597233514134,-133.80707670440302,-184.08734694365793,-279.18371043566623,-223.34696834853298,40.659597233514134
0.58650000000000002,57.493912640331004,40.563363846745716,-133.41007904563327,-183.94621236763444,-278.96966816030522,-223.17573452824416,40.563363846745716
0.58699999999999997,57.514170279351696,40.467204506580046,-133.01302960858806,-183.80416251303868,-278.75423778917252,-223.00339023133802,40.467204506580046
0.58750000000000002,57.534379857329483,40.371119688389996,-132.61593546363665,-183.66119612929594,-278.53741742566831,-222.82993394053466,40.371119688389996
0.58799999999999997,57.554541411628726,40.275109875407253,-132.21880286200124,-183.51731278094192,-278.3192064093746,-222.65536512749969,40.275109875407253
0.58850000000000002,57.574654979870324,40.179175547924814,-131.82163829712414,-183.37251165519569,-278.09960350764192,-222.47968280611354,40.179175547924814
0.58899999999999997,57.59472059991468,40.083317186930273,-131.42444816014088,-183.22679197662933,-277.87860754446967,-222.30288603557574,40.083317186930273
0.58950000000000002,57.614738309861963,39.987535274156322,-131.02723874437393,-183.08015302286574,-277.65621742431301,-222.1249739394504,39.987535274156322
0.58999999999999997,57.634708148066117,39.891830285827972,-130.63001645031324,-182.93259315182593,-277.43243065682304,-221.94594452545843,39.891830285827972
