"time","medium.T","medium.p","medium2.T","medium2.X[1]","medium2.X[2]","medium2.p"
0.0342,234.2,100034.2,300,0.2,0.8,200034.2
0.0344,234.4,100034.4,300,0.2,0.8,200034.4
0.0346,234.6,100034.6,300,0.2,0.8,200034.6
0.0348,234.8,100034.8,300,0.2,0.8,200034.8
0.035,235,100035,300,0.2,0.8,200035
0.0352,235.2,100035.2,300,0.2,0.8,200035.2
0.0354,235.4,100035.4,300,0.2,0.8,200035.4
0.0356,235.6,100035.6,300,0.2,0.8,200035.6
0.0358,235.8,100035.8,300,0.2,0.8,200035.8
0.036,236,100036,300,0.2,0.8,200036
0.0362,236.2,100036.2,300,0.2,0.8,200036.2
0.0364,236.4,100036.4,300,0.2,0.8,200036.4
0.0366,236.6,100036.6,300,0.2,0.8,200036.6
0.0368,236.8,100036.8,300,0.2,0.8,200036.8
0.037,237,100037,300,0.2,0.8,200037
0.0372,237.2,100037.2,300,0.2,0.8,200037.2
0.0374,237.4,100037.4,300,0.2,0.8,200037.4
0.0376,237.6,100037.6,300,0.2,0.8,200037.6
0.0378,237.8,100037.8,300,0.2,0.8,200037.8
0.038,238,100038,300,0.2,0.8,200038
0.0382,238.2,100038.2,300,0.2,0.8,200038.2
0.0384,238.4,100038.4,300,0.2,0.8,200038.4
0.0386,238.6,100038.6,300,0.2,0.8,200038.6
0.0388,238.8,100038.8,300,0.2,0.8,200038.8
0.039,239,100039,300,0.2,0.8,200039
0.0392,239.2,100039.2,300,0.2,0.8,200039.2
0.0394,239.4,100039.4,300,0.2,0.8,200039.4
0.0396,239.6,100039.6,300,0.2,0.8,200039.6
0.0398,239.8,100039.8,300,0.2,0.8,200039.8
0.04,240,100040,300,0.2,0.8,200040
0.0402,240.2,100040.2,300,0.2,0.8,200040.2
0.0404,240.4,100040.4,300,0.2,0.8,200040.4
0.0406,240.6,100040.6,300,0.2,0.8,200040.6
0.0408,240.8,100040.8,300,0.2,0.8,200040.8
0.041,241,100041,300,0.2,0.8,200041
0.0412,241.2,100041.2,300,0.2,0.8,200041.2
0.0414,241.4,100041.4,300,0.2,0.8,200041.4
0.0416,241.6,100041.6,300,0.2,0.8,200041.6
0.0418,241.8,100041.8,300,0.2,0.8,200041.8
0.042,242,100042,300,0.2,0.8,200042
0.0422,242.2,100042.2,300,0.2,0.8,200042.2
0.0424,242.4,100042.4,300,0.2,0.8,200042.4
0.0426,242.6,100042.6,300,0.2,0.8,200042.6
0.0428,242.8,100042.8,300,0.2,0.8,200042.8
0.043,243,100043,300,0.2,0.8,200043
0.0432,243.2,100043.2,300,0.2,0.8,200043.2
0.0434,243.4,100043.4,300,0.2,0.8,200043.4
0.0436,243.6,100043.6,300,0.2,0.8,200043.6
0.0438,243.8,100043.8,300,0.2,0.8,200043.8
0.044,244,100044,300,0.2,0.8,200044
0.0442,244.2,100044.2,300,0.2,0.8,200044.2
0.0444,244.4,100044.4,300,0.2,0.8,200044.4
0.0446,244.6,100044.6,300,0.2,0.8,200044.6
0.0448,244.8,100044.8,300,0.2,0.8,200044.8
0.045,245,100045,300,0.2,0.8,200045
0.0452,245.2,100045.2,300,0.2,0.8,200045.2
0.0454,245.4,100045.4,300,0.2,0.8,200045.4
0.0456,245.6,100045.6,300,0.2,0.8,200045.6
0.0458,245.8,100045.8,300,0.2,0.8,200045.8
0.046,246,100046,300,0.2,0.8,200046
0.0462,246.2,100046.2,300,0.2,0.8,200046.2
0.0464,246.4,100046.4,300,0.2,0.8,200046.4
0.0466,246.6,100046.6,300,0.2,0.8,200046.6
0.0468,246.8,100046.8,300,0.2,0.8,200046.8
0.047,247,100047,300,0.2,0.8,200047
0.0472,247.2,100047.2,300,0.2,0.8,200047.2
0.0474,247.4,100047.4,300,0.2,0.8,200047.4
0.0476,247.6,100047.6,300,0.2,0.8,200047.6
0.0478,247.8,100047.8,300,0.2,0.8,200047.8
0.048,248,100048,300,0.2,0.8,200048
0.0482,248.2,100048.2,300,0.2,0.8,200048.2
0.0484,248.4,100048.4,300,0.2,0.8,200048.4
0.0486,248.6,100048.6,300,0.2,0.8,200048.6
0.0488,248.8,100048.8,300,0.2,0.8,200048.8
0.049,249,100049,300,0.2,0.8,200049
0.0492,249.2,100049.2,300,0.2,0.8,200049.2
0.0494,249.4,100049.4,300,0.2,0.8,200049.4
0.0496,249.6,100049.6,300,0.2,0.8,200049.6
0.0498,249.8,100049.8,300,0.2,0.8,200049.8
0.05,250,100050,300,0.2,0.8,200050
0.0502,250.2,100050.2,300,0.2,0.8,200050.2
0.0504,250.4,100050.4,300,0.2,0.8,200050.4
0.0506,250.6,100050.6,300,0.2,0.8,200050.6
0.0508,250.8,100050.8,300,0.2,0.8,200050.8
0.051,251,100051,300,0.2,0.8,200051
0.0512,251.2,100051.2,300,0.2,0.8,200051.2
0.0514,251.4,100051.4,300,0.2,0.8,200051.4
0.0516,251.6,100051.6,300,0.2,0.8,200051.6
0.0518,251.8,100051.8,300,0.2,0.8,200051.8
0.052,252,100052,300,0.2,0.8,200052
0.0522,252.2,100052.2,300,0.2,0.8,200052.2
0.0524,252.4,100052.4,300,0.2,0.8,200052.4
0.0526,252.6,100052.6,300,0.2,0.8,200052.6
0.0528,252.8,100052.8,300,0.2,0.8,200052.8
0.053,253,100053,300,0.2,0.8,200053
0.0532,253.2,100053.2,300,0.2,0.8,200053.2
0.0534,253.4,100053.4,300,0.2,0.8,200053.4
0.0536,253.6,100053.6,300,0.2,0.8,200053.6
0.0538,253.8,100053.8,300,0.2,0.8,200053.8
0.054,254,100054,300,0.2,0.8,200054
0.0542,254.2,100054.2,300,0.2,0.8,200054.2
0.0544,254.4,100054.4,300,0.2,0.8,200054.4
0.0546,254.6,100054.6,300,0.2,0.8,200054.6
0.0548,254.8,100054.8,300,0.2,0.8,200054.8
0.055,255,100055,300,0.2,0.8,200055
0.0552,255.2,100055.2,300,0.2,0.8,200055.2
0.0554,255.4,100055.4,300,0.2,0.8,200055.4
0.0556,255.6,100055.6,300,0.2,0.8,200055.6
0.0558,255.8,100055.8,300,0.2,0.8,200055.8
0.056,256,100056,300,0.2,0.8,200056
0.0562,256.2,100056.2,300,0.2,0.8,200056.2
0.0564,256.4,100056.4,300,0.2,0.8,200056.4
0.0566,256.6,100056.6,300,0.2,0.8,200056.6
0.0568,256.8,100056.8,300,0.2,0.8,200056.8
0.057,257,100057,300,0.2,0.8,200057
0.0572,257.2,100057.2,300,0.2,0.8,200057.2
0.0574,257.4,100057.4,300,0.2,0.8,200057.4
0.0576,257.6,100057.6,300,0.2,0.8,200057.6
0.0578,257.8,100057.8,300,0.2,0.8,200057.8
0.058,258,100058,300,0.2,0.8,200058
0.0582,258.2,100058.2,300,0.2,0.8,200058.2
0.0584,258.4,100058.4,300,0.2,0.8,200058.4
0.0586,258.6,100058.6,300,0.2,0.8,200058.6
0.0588,258.8,100058.8,300,0.2,0.8,200058.8
0.059,259,100059,300,0.2,0.8,200059
0.0592,259.2,100059.2,300,0.2,0.8,200059.2
0.0594,259.4,100059.4,300,0.2,0.8,200059.4
0.0596,259.6,100059.6,300,0.2,0.8,200059.6
0.0598,259.8,100059.8,300,0.2,0.8,200059.8
0.06,260,100060,300,0.2,0.8,200060
0.0602,260.2,100060.2,300,0.2,0.8,200060.2
0.0604,260.4,100060.4,300,0.2,0.8,200060.4
0.0606,260.6,100060.6,300,0.2,0.8,200060.6
0.0608,260.8,100060.8,300,0.2,0.8,200060.8
0.061,261,100061,300,0.2,0.8,200061
0.0612,261.2,100061.2,300,0.2,0.8,200061.2
0.0614,261.4,100061.4,300,0.2,0.8,200061.4
0.0616,261.6,100061.6,300,0.2,0.8,200061.6
0.0618,261.8,100061.8,300,0.2,0.8,200061.8
0.062,262,100062,300,0.2,0.8,200062
0.0622,262.2,100062.2,300,0.2,0.8,200062.2
0.0624,262.4,100062.4,300,0.2,0.8,200062.4
0.0626,262.6,100062.6,300,0.2,0.8,200062.6
0.0628,262.8,100062.8,300,0.2,0.8,200062.8
0.063,263,100063,300,0.2,0.8,200063
0.0632,263.2,100063.2,300,0.2,0.8,200063.2
0.0634,263.4,100063.4,300,0.2,0.8,200063.4
0.0636,263.6,100063.6,300,0.2,0.8,200063.6
0.0638,263.8,100063.8,300,0.2,0.8,200063.8
0.064,264,100064,300,0.2,0.8,200064
0.0642,264.2,100064.2,300,0.2,0.8,200064.2
0.0644,264.4,100064.4,300,0.2,0.8,200064.4
0.0646,264.6,100064.6,300,0.2,0.8,200064.6
0.0648,264.8,100064.8,300,0.2,0.8,200064.8
0.065,265,100065,300,0.2,0.8,200065
0.0652,265.2,100065.2,300,0.2,0.8,200065.2
0.0654,265.4,100065.4,300,0.2,0.8,200065.4
0.0656,265.6,100065.6,300,0.2,0.8,200065.6
0.0658,265.8,100065.8,300,0.2,0.8,200065.8
0.066,266,100066,300,0.2,0.8,200066
0.0662,266.2,100066.2,300,0.2,0.8,200066.2
0.0664,266.4,100066.4,300,0.2,0.8,200066.4
0.0666,266.6,100066.6,300,0.2,0.8,200066.6
0.0668,266.8,100066.8,300,0.2,0.8,200066.8
0.067,267,100067,300,0.2,0.8,200067
0.0672,267.2,100067.2,300,0.2,0.8,200067.2
0.0674,267.4,100067.4,300,0.2,0.8,200067.4
0.0676,267.6,100067.6,300,0.2,0.8,200067.6
0.0678,267.8,100067.8,300,0.2,0.8,200067.8
0.068,268,100068,300,0.2,0.8,200068
0.0682,268.2,100068.2,300,0.2,0.8,200068.2
0.0684,268.4,100068.4,300,0.2,0.8,200068.4
0.0686,268.6,100068.6,300,0.2,0.8,200068.6
0.0688,268.8,100068.8,300,0.2,0.8,200068.8
0.069,269,100069,300,0.2,0.8,200069
0.0692,269.2,100069.2,300,0.2,0.8,200069.2
0.0694,269.4,100069.4,300,0.2,0.8,200069.4
0.0696,269.6,100069.6,300,0.2,0.8,200069.6
0.0698,269.8,100069.8,300,0.2,0.8,200069.8
0.07,270,100070,300,0.2,0.8,200070
0.0702,270.2,100070.2,300,0.2,0.8,200070.2
0.0704,270.4,100070.4,300,0.2,0.8,200070.4
0.0706,270.6,100070.6,300,0.2,0.8,200070.6
0.0708,270.8,100070.8,300,0.2,0.8,200070.8
0.071,271,100071,300,0.2,0.8,200071
0.0712,271.2,100071.2,300,0.2,0.8,200071.2
0.0714,271.4,100071.4,300,0.2,0.8,200071.4
0.0716,271.6,100071.6,300,0.2,0.8,200071.6
0.0718,271.8,100071.8,300,0.2,0.8,200071.8
0.072,272,100072,300,0.2,0.8,200072
0.0722,272.2,100072.2,300,0.2,0.8,200072.2
0.0724,272.4,100072.4,300,0.2,0.8,200072.4
0.0726,272.6,100072.6,300,0.2,0.8,200072.6
0.0728,272.8,100072.8,300,0.2,0.8,200072.8
0.073,273,100073,300,0.2,0.8,200073
0.0732,273.2,100073.2,300,0.2,0.8,200073.2
0.0734,273.4,100073.4,300,0.2,0.8,200073.4
0.0736,273.6,100073.6,300,0.2,0.8,200073.6
0.0738,273.8,100073.8,300,0.2,0.8,200073.8
0.074,274,100074,300,0.2,0.8,200074
0.0742,274.2,100074.2,300,0.2,0.8,200074.2
0.0744,274.4,100074.4,300,0.2,0.8,200074.4
0.0746,274.6,100074.6,300,0.2,0.8,200074.6
0.0748,274.8,100074.8,300,0.2,0.8,200074.8
0.075,275,100075,300,0.2,0.8,200075
0.0752,275.2,100075.2,300,0.2,0.8,200075.2
0.0754,275.4,100075.4,300,0.2,0.8,200075.4
0.0756,275.6,100075.6,300,0.2,0.8,200075.6
0.0758,275.8,100075.8,300,0.2,0.8,200075.8
0.076,276,100076,300,0.2,0.8,200076
0.0762,276.2,100076.2,300,0.2,0.8,200076.2
0.0764,276.4,100076.4,300,0.2,0.8,200076.4
0.0766,276.6,100076.6,300,0.2,0.8,200076.6
0.0768,276.8,100076.8,300,0.2,0.8,200076.8
0.077,277,100077,300,0.2,0.8,200077
0.0772,277.2,100077.2,300,0.2,0.8,200077.2
0.0774,277.4,100077.4,300,0.2,0.8,200077.4
0.0776,277.6,100077.6,300,0.2,0.8,200077.6
0.0778,277.8,100077.8,300,0.2,0.8,200077.8
0.078,278,100078,300,0.2,0.8,200078
0.0782,278.2,100078.2,300,0.2,0.8,200078.2
0.0784,278.4,100078.4,300,0.2,0.8,200078.4
0.0786,278.6,100078.6,300,0.2,0.8,200078.6
0.0788,278.8,100078.8,300,0.2,0.8,200078.8
0.079,279,100079,300,0.2,0.8,200079
0.0792,279.2,100079.2,300,0.2,0.8,200079.2
0.0794,279.4,100079.4,300,0.2,0.8,200079.4
0.0796,279.6,100079.6,300,0.2,0.8,200079.6
0.0798,279.8,100079.8,300,0.2,0.8,200079.8
0.08,280,100080,300,0.2,0.8,200080
0.0802,280.2,100080.2,300,0.2,0.8,200080.2
0.0804,280.4,100080.4,300,0.2,0.8,200080.4
0.0806,280.6,100080.6,300,0.2,0.8,200080.6
0.0808,280.8,100080.8,300,0.2,0.8,200080.8
0.081,281,100081,300,0.2,0.8,200081
0.0812,281.2,100081.2,300,0.2,0.8,200081.2
0.0814,281.4,100081.4,300,0.2,0.8,200081.4
0.0816,281.6,100081.6,300,0.2,0.8,200081.6
0.0818,281.8,100081.8,300,0.2,0.8,200081.8
0.082,282,100082,300,0.2,0.8,200082
0.0822,282.2,100082.2,300,0.2,0.8,200082.2
0.0824,282.4,100082.4,300,0.2,0.8,200082.4
0.0826,282.6,100082.6,300,0.2,0.8,200082.6
0.0828,282.8,100082.8,300,0.2,0.8,200082.8
0.083,283,100083,300,0.2,0.8,200083
0.0832,283.2,100083.2,300,0.2,0.8,200083.2
0.0834,283.4,100083.4,300,0.2,0.8,200083.4
0.0836,283.6,100083.6,300,0.2,0.8,200083.6
0.0838,283.8,100083.8,300,0.2,0.8,200083.8
0.084,284,100084,300,0.2,0.8,200084
0.0842,284.2,100084.2,300,0.2,0.8,200084.2
0.0844,284.4,100084.4,300,0.2,0.8,200084.4
0.0846,284.6,100084.6,300,0.2,0.8,200084.6
0.0848,284.8,100084.8,300,0.2,0.8,200084.8
0.085,285,100085,300,0.2,0.8,200085
0.0852,285.2,100085.2,300,0.2,0.8,200085.2
0.0854,285.4,100085.4,300,0.2,0.8,200085.4
0.0856,285.6,100085.6,300,0.2,0.8,200085.6
0.0858,285.8,100085.8,300,0.2,0.8,200085.8
0.086,286,100086,300,0.2,0.8,200086
0.0862,286.2,100086.2,300,0.2,0.8,200086.2
0.0864,286.4,100086.4,300,0.2,0.8,200086.4
0.0866,286.6,100086.6,300,0.2,0.8,200086.6
0.0868,286.8,100086.8,300,0.2,0.8,200086.8
0.087,287,100087,300,0.2,0.8,200087
0.0872,287.2,100087.2,300,0.2,0.8,200087.2
0.0874,287.4,100087.4,300,0.2,0.8,200087.4
0.0876,287.6,100087.6,300,0.2,0.8,200087.6
0.0878,287.8,100087.8,300,0.2,0.8,200087.8
0.088,288,100088,300,0.2,0.8,200088
0.0882,288.2,100088.2,300,0.2,0.8,200088.2
0.0884,288.4,100088.4,300,0.2,0.8,200088.4
0.0886,288.6,100088.6,300,0.2,0.8,200088.6
0.0888,288.8,100088.8,300,0.2,0.8,200088.8
0.089,289,100089,300,0.2,0.8,200089
0.0892,289.2,100089.2,300,0.2,0.8,200089.2
0.0894,289.4,100089.4,300,0.2,0.8,200089.4
0.0896,289.6,100089.6,300,0.2,0.8,200089.6
0.0898,289.8,100089.8,300,0.2,0.8,200089.8
0.09,290,100090,300,0.2,0.8,200090
0.0902,290.2,100090.2,300,0.2,0.8,200090.2
0.0904,290.4,100090.4,300,0.2,0.8,200090.4
0.0906,290.6,100090.6,300,0.2,0.8,200090.6
0.0908,290.8,100090.8,300,0.2,0.8,200090.8
0.091,291,100091,300,0.2,0.8,200091
0.0912,291.2,100091.2,300,0.2,0.8,200091.2
0.0914,291.4,100091.4,300,0.2,0.8,200091.4
0.0916,291.6,100091.6,300,0.2,0.8,200091.6
0.0918,291.8,100091.8,300,0.2,0.8,200091.8
0.092,292,100092,300,0.2,0.8,200092
0.0922,292.2,100092.2,300,0.2,0.8,200092.2
0.0924,292.4,100092.4,300,0.2,0.8,200092.4
0.0926,292.6,100092.6,300,0.2,0.8,200092.6
0.0928,292.8,100092.8,300,0.2,0.8,200092.8
0.093,293,100093,300,0.2,0.8,200093
0.0932,293.2,100093.2,300,0.2,0.8,200093.2
0.0934,293.4,100093.4,300,0.2,0.8,200093.4
0.0936,293.6,100093.6,300,0.2,0.8,200093.6
0.0938,293.8,100093.8,300,0.2,0.8,200093.8
0.094,294,100094,300,0.2,0.8,200094
0.0942,294.2,100094.2,300,0.2,0.8,200094.2
0.0944,294.4,100094.4,300,0.2,0.8,200094.4
