"Time","harmonic.y_arg","potentialSensor.phi[3]","potentialSensor.phi[1]","filter[1].x[1]","harmonic.mean1.x","toPolar.y[1]","toPolar.y[2]","filter[2].x[1]","harmonic.mean2.x","filter[2].x[2]","integrator.y","harmonic.y_rms","potentialSensor.phi[2]","filter[1].x[2]"
0.028000001,0,-1.2247449,1.2247449,0.33699563,0.043554604,1.1196004,-0.0022325651,-0.012422166,0.0079662614,-0.0024995788,0.35185838,0,-1.2247449,1.1195977
0.0285,0,-1.2247449,1.2247449,0.34282228,0.044366609,1.115796,-0.0022895387,-0.01513095,0.0082672751,-0.002554656,0.35814157,0,-1.2247449,1.1157931
0.028999999,0,-1.2247449,1.2247449,0.34860295,0.0451767,1.1120384,-0.0023585414,-0.017873339,0.0085733831,-0.002622786,0.36442474,0,-1.2247449,1.1120353
0.0295,0,-1.2247449,1.2247449,0.3543376,0.045984861,1.1083274,-0.0024397315,-0.020649198,0.008884578,-0.0027040185,0.37070793,0,-1.2247449,1.1083241
0.029907906,0,-1.2247449,1.2247449,0.35898185,0.046642713,1.105334,-0.0025151407,-0.022938361,0.0091422135,-0.0027800675,0.37583384,0,-1.2247449,1.1053306
0.029907906,0,-1.2247449,-1.2247449,0.35898185,0.046642713,1.105334,-0.0025151407,-0.022938361,0.0091422135,-0.0027800675,0.37583384,0,-1.2247449,1.1053306
0.029999999,0,-1.2247449,-1.2247449,0.35865858,0.046494368,1.1046618,-0.0025330952,-0.022917707,0.0090835802,-0.0027982108,0.37699112,0,-1.2247449,1.1046582
0.029999999,0,-1.2247449,-1.2247449,0.35865858,0.046494368,1.1046618,-0.0025330952,-0.022917707,0.0090835802,-0.0027982108,0.37699112,0,-1.2247449,1.1046582
0.03002682,0,-1.2247449,-1.2247449,0.3585645,0.046451181,1.1044662,-0.002538322,-0.022911694,0.0090664728,-0.0028034877,0.37732813,0,-1.2247449,1.1044626
0.03002682,0,-1.2247449,1.2247449,0.3585645,0.046451181,1.1044662,-0.002538322,-0.022911694,0.0090664728,-0.0028034877,0.37732813,0,-1.2247449,1.1044626
0.0305,0,-1.2247449,1.2247449,0.36391118,0.047212198,1.101034,-0.0026362229,-0.025605273,0.0093706967,-0.0029025679,0.38327432,0,-1.2247449,1.1010302
0.030999999,0,-1.2247449,1.2247449,0.36951587,0.048014358,1.0974513,-0.0027521823,-0.028483115,0.0096970722,-0.0030203825,0.38955748,0,-1.2247449,1.0974472
0.031500001,0,-1.2247449,1.2247449,0.37507418,0.048814442,1.0939133,-0.0028811877,-0.031393159,0.010028479,-0.0031517653,0.39584067,0,-1.2247449,1.0939088
0.032000002,0,-1.2247449,1.2247449,0.38058603,0.049612418,1.0904194,-0.003023437,-0.034335118,0.010364901,-0.0032968093,0.40212387,0,-1.2247449,1.0904145
0.032499999,0,-1.2247449,1.2247449,0.38605142,0.05040827,1.0869696,-0.003179081,-0.037308846,0.010706333,-0.0034555586,0.40840703,0,-1.2247449,1.0869641
0.033,0,-1.2247449,1.2247449,0.39147022,0.051201958,1.0835631,-0.0033483393,-0.040313974,0.011052758,-0.0036281303,0.41469023,0,-1.2247449,1.083557
0.033132557,0,-1.2247449,1.2247449,0.39289904,0.05141202,1.0826674,-0.0033955036,-0.041115966,0.011145438,-0.0036761938,0.416356,0,-1.2247449,1.082661
