"time","booleanTable.y","onDelay1.delaySignal","onDelay1.t_next","onDelay1.u","onDelay2.delaySignal","onDelay2.t_next","onDelay2.u","onDelay3.delaySignal","onDelay3.t_next","onDelay3.u"
0.3828,0,0,-1,0,0,-1,0,1,-1,1
0.385,0,0,-1,0,0,-1,0,1,-1,1
0.3872,0,0,-1,0,0,-1,0,1,-1,1
0.3894,0,0,-1,0,0,-1,0,1,-1,1
0.3916,0,0,-1,0,0,-1,0,1,-1,1
0.3938,0,0,-1,0,0,-1,0,1,-1,1
0.396,0,0,-1,0,0,-1,0,1,-1,1
0.3982,0,0,-1,0,0,-1,0,1,-1,1
0.4004,0,0,-1,0,0,-1,0,1,-1,1
0.4026,0,0,-1,0,0,-1,0,1,-1,1
0.4048,0,0,-1,0,0,-1,0,1,-1,1
0.407,0,0,-1,0,0,-1,0,1,-1,1
0.4092,0,0,-1,0,0,-1,0,1,-1,1
0.4114,0,0,-1,0,0,-1,0,1,-1,1
0.4136,0,0,-1,0,0,-1,0,1,-1,1
0.4158,0,0,-1,0,0,-1,0,1,-1,1
0.418,0,0,-1,0,0,-1,0,1,-1,1
0.4202,0,0,-1,0,0,-1,0,1,-1,1
0.4224,0,0,-1,0,0,-1,0,1,-1,1
0.4246,0,0,-1,0,0,-1,0,1,-1,1
0.4268,0,0,-1,0,0,-1,0,1,-1,1
0.429,0,0,-1,0,0,-1,0,1,-1,1
0.4312,0,0,-1,0,0,-1,0,1,-1,1
0.4334,0,0,-1,0,0,-1,0,1,-1,1
0.4356,0,0,-1,0,0,-1,0,1,-1,1
0.4378,0,0,-1,0,0,-1,0,1,-1,1
0.44,0,0,-1,0,0,-1,0,1,-1,1
0.4422,0,0,-1,0,0,-1,0,1,-1,1
0.4444,0,0,-1,0,0,-1,0,1,-1,1
0.4466,0,0,-1,0,0,-1,0,1,-1,1
0.4488,0,0,-1,0,0,-1,0,1,-1,1
0.451,0,0,-1,0,0,-1,0,1,-1,1
0.4532,0,0,-1,0,0,-1,0,1,-1,1
0.4554,0,0,-1,0,0,-1,0,1,-1,1
0.4576,0,0,-1,0,0,-1,0,1,-1,1
0.4598,0,0,-1,0,0,-1,0,1,-1,1
0.462,0,0,-1,0,0,-1,0,1,-1,1
0.4642,0,0,-1,0,0,-1,0,1,-1,1
0.4664,0,0,-1,0,0,-1,0,1,-1,1
0.4686,0,0,-1,0,0,-1,0,1,-1,1
0.4708,0,0,-1,0,0,-1,0,1,-1,1
0.473,0,0,-1,0,0,-1,0,1,-1,1
0.4752,0,0,-1,0,0,-1,0,1,-1,1
0.4774,0,0,-1,0,0,-1,0,1,-1,1
0.4796,0,0,-1,0,0,-1,0,1,-1,1
0.4818,0,0,-1,0,0,-1,0,1,-1,1
0.484,0,0,-1,0,0,-1,0,1,-1,1
0.4862,0,0,-1,0,0,-1,0,1,-1,1
0.4884,0,0,-1,0,0,-1,0,1,-1,1
0.4906,0,0,-1,0,0,-1,0,1,-1,1
0.4928,0,0,-1,0,0,-1,0,1,-1,1
0.495,0,0,-1,0,0,-1,0,1,-1,1
0.4972,0,0,-1,0,0,-1,0,1,-1,1
0.4994,0,0,-1,0,0,-1,0,1,-1,1
0.5016,0,0,-1,0,0,-1,0,1,-1,1
0.5038,0,0,-1,0,0,-1,0,1,-1,1
0.506,0,0,-1,0,0,-1,0,1,-1,1
0.5082,0,0,-1,0,0,-1,0,1,-1,1
0.5104,0,0,-1,0,0,-1,0,1,-1,1
0.5126,0,0,-1,0,0,-1,0,1,-1,1
0.5148,0,0,-1,0,0,-1,0,1,-1,1
0.517,0,0,-1,0,0,-1,0,1,-1,1
0.5192,0,0,-1,0,0,-1,0,1,-1,1
0.5214,0,0,-1,0,0,-1,0,1,-1,1
0.5236,0,0,-1,0,0,-1,0,1,-1,1
0.5258,0,0,-1,0,0,-1,0,1,-1,1
0.528,0,0,-1,0,0,-1,0,1,-1,1
0.5302,0,0,-1,0,0,-1,0,1,-1,1
0.5324,0,0,-1,0,0,-1,0,1,-1,1
0.5346,0,0,-1,0,0,-1,0,1,-1,1
0.5368,0,0,-1,0,0,-1,0,1,-1,1
0.539,0,0,-1,0,0,-1,0,1,-1,1
0.5412,0,0,-1,0,0,-1,0,1,-1,1
0.5434,0,0,-1,0,0,-1,0,1,-1,1
0.5456,0,0,-1,0,0,-1,0,1,-1,1
0.5478,0,0,-1,0,0,-1,0,1,-1,1
0.55,0,0,-1,0,0,-1,0,1,-1,1
0.5522,0,0,-1,0,0,-1,0,1,-1,1
0.5544,0,0,-1,0,0,-1,0,1,-1,1
0.5566,0,0,-1,0,0,-1,0,1,-1,1
0.5588,0,0,-1,0,0,-1,0,1,-1,1
0.561,0,0,-1,0,0,-1,0,1,-1,1
0.5632,0,0,-1,0,0,-1,0,1,-1,1
0.5654,0,0,-1,0,0,-1,0,1,-1,1
0.5676,0,0,-1,0,0,-1,0,1,-1,1
0.5698,0,0,-1,0,0,-1,0,1,-1,1
0.572,0,0,-1,0,0,-1,0,1,-1,1
0.5742,0,0,-1,0,0,-1,0,1,-1,1
0.5764,0,0,-1,0,0,-1,0,1,-1,1
0.5786,0,0,-1,0,0,-1,0,1,-1,1
0.5808,0,0,-1,0,0,-1,0,1,-1,1
0.583,0,0,-1,0,0,-1,0,1,-1,1
0.5852,0,0,-1,0,0,-1,0,1,-1,1
0.5874,0,0,-1,0,0,-1,0,1,-1,1
0.5896,0,0,-1,0,0,-1,0,1,-1,1
0.5918,0,0,-1,0,0,-1,0,1,-1,1
0.594,0,0,-1,0,0,-1,0,1,-1,1
0.5962,0,0,-1,0,0,-1,0,1,-1,1
0.5984,0,0,-1,0,0,-1,0,1,-1,1
0.6006,0,0,-1,0,0,-1,0,1,-1,1
0.6028,0,0,-1,0,0,-1,0,1,-1,1
0.605,0,0,-1,0,0,-1,0,1,-1,1
0.6072,0,0,-1,0,0,-1,0,1,-1,1
0.6094,0,0,-1,0,0,-1,0,1,-1,1
0.6116,0,0,-1,0,0,-1,0,1,-1,1
0.6138,0,0,-1,0,0,-1,0,1,-1,1
0.616,0,0,-1,0,0,-1,0,1,-1,1
0.6182,0,0,-1,0,0,-1,0,1,-1,1
0.6204,0,0,-1,0,0,-1,0,1,-1,1
