"time","cp[1]","cp[2]","cp[3]","eta[1]","eta[2]","eta[3]","lambda[1]","lambda[2]","lambda[3]","rho[1]","rho[2]","rho[3]","m_flow[1]","m_flow[2]","m_flow[3]","Re_1[1]","Re_1[2]","Re_1[3]","Nu_1[1]","Nu_1[2]","Nu_1[3]","Nu_2[1]","Nu_2[2]","Nu_2[3]","Nu_3[1]","Nu_3[2]","Nu_3[3]","Nu_4[1]","Nu_4[2]","Nu_4[3]","Re","Pr[1]","Pr[2]","Pr[3]","input_mflow_0.y","input_mflow_1.y","input_mflow_2.y"
0.711242,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.011379872,0.624894725614035,71.1242,7943.69684453093,7943.69684453093,7943.69684453093,12.7761048559723,27.9470593460801,148.72176087054,15.6872821276023,34.0410294500608,180.0938878605,18.9131833215525,41.0153983616355,215.583906557021,25.4523817364772,54.6552937931579,286.231614620496,7943.69684453093,0.714973919813157,7.01036324143693,996.999224806202,71.1242,-97.0494354488256,0.140026308047862
0.711444,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.011383104,0.625072202105263,71.1444,7945.95293565406,7945.95293565406,7945.95293565406,12.7773508404257,27.9497650255551,148.735905088907,15.6887910306362,34.0443017222702,180.110992301466,18.915609646379,41.020636134991,215.611199795781,25.4557228759961,54.6624489037226,286.268905901756,7945.95293565406,0.714973919813157,7.01036324143693,996.999224806202,71.1444,-97.0799607942234,0.139743740395017
0.711646,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.011386336,0.625249678596491,71.1646,7948.20902677719,7948.20902677719,7948.20902677719,12.7785965949426,27.9524701941171,148.75004663026,15.6902996544815,34.0475733764725,180.128093505147,18.9180356185078,41.0258731421354,215.638489050639,25.4590635356812,54.6696029811634,286.306191805609,7948.20902677719,0.714973919813157,7.01036324143693,996.999224806202,71.1646,-97.1103297557321,0.139461742952724
0.711848,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.011389568,0.625427155087719,71.1848,7950.46511790032,7950.46511790032,7950.46511790032,12.7798421196289,27.9551748520073,148.764185495864,15.6918079992673,34.0508444129594,180.145191473074,18.9204612380908,41.0311093834024,215.665774323329,25.4624037157379,54.6767560259262,286.343472334375,7950.46511790032,0.714973919813157,7.01036324143693,996.999224806202,71.1848,-97.1405422844308,0.139180314570321
0.71205,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.0113928,0.625604631578947,71.205,7952.72120902344,7952.72120902344,7952.72120902344,12.7810874145904,27.9578789994665,148.778321686986,15.6933160651225,34.0541148320223,180.162286206777,18.9228865052796,41.0363448591253,215.693055615583,25.4657434163712,54.6839080384565,286.380747490372,7952.72120902344,0.714973919813157,7.01036324143693,996.999224806202,71.205,-97.1705983316511,0.138899454099466
0.712252,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.011396032,0.625782108070176,71.2252,7954.97730014657,7954.97730014657,7954.97730014657,12.7823324799329,27.9605826367355,148.79245520489,15.6948238521759,34.0573846339525,180.179377707785,18.9253114202261,41.0415795696372,215.720332929133,25.4690826377863,54.6910590191994,286.418017275917,7954.97730014657,0.714973919813157,7.01036324143693,996.999224806202,71.2252,-97.2004978489763,0.138619160394137
0.712454,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.011399264,0.625959584561404,71.2454,7957.2333912697,7957.2333912697,7957.2333912697,12.7835773157621,27.9632857640549,148.806586050838,15.6963313605562,34.060653819041,180.196465977627,18.9277359830817,41.0468135152711,215.747606265709,25.472421380188,54.6982089685999,286.455281693324,7957.2333912697,0.714973919813157,7.01036324143693,996.999224806202,71.2454,-97.2302407882418,0.138339432310622
0.712656,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.011402496,0.626137061052632,71.2656,7959.48948239283,7959.48948239283,7959.48948239283,12.7848219221836,27.965988381665,148.820714226095,15.6978385903921,34.0639223875787,180.213551017828,18.930160193998,41.0520466963595,215.77487562704,25.4757596437812,54.7053578871024,286.492540744906,7959.48948239283,0.714973919813157,7.01036324143693,996.999224806202,71.2656,-97.2598271015357,0.138060268707519
0.712858,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.011405728,0.62631453754386,71.2858,7961.74557351595,7961.74557351595,7961.74557351595,12.786066299303,27.9686904898061,148.83483973192,15.6993455418122,34.0671903398562,180.230632829915,18.9325840531262,41.0572791132349,215.802141014853,25.4790974287704,54.7125057751512,286.529794432975,7961.74557351595,0.714973919813157,7.01036324143693,996.999224806202,71.2858,-97.2892567411978,0.137781668445727
0.71306,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.01140896,0.626492014035088,71.306,7964.00166463908,7964.00166463908,7964.00166463908,12.7873104472257,27.9713920887181,148.848962569575,15.7008522149448,34.0704576761639,180.247711415411,18.9350075606177,41.0625107662295,215.829402430874,25.48243473536,54.7196526331902,286.56704275984,7964.00166463908,0.714973919813157,7.01036324143693,996.999224806202,71.306,-97.3185296598207,0.137503630388447
