"time","Source.ports[1].m_flow","Source.ports[1].p","Source.ports[1].h_outflow","Sink.ports[1].m_flow","Sink.ports[1].p","Sink.ports[1].h_outflow","pump.port_b.m_flow","pump.port_b.p","pump.port_b.h_outflow","valveOpening.y","Valve.port_b.m_flow","Valve.port_b.p","Valve.port_b.h_outflow","Valve.minLimiter.y","downstreamPressure.y"
4.742,-0.613378466188107,100000,84011.8111671368,0.613378466188107,848400,84715.9007946523,-0.613378466188107,855808.189539502,84957.9578001117,1,-0.613378466188107,848400,84957.9578001117,1,848400
4.744,-0.612700019822852,100000,84011.8111671368,0.612700019822852,848800,84716.276980608,-0.612700019822852,856191.578491131,84958.4375791177,1,-0.612700019822852,848800,84958.4375791177,1,848800
4.746,-0.612021027947567,100000,84011.8111671368,0.612021027947567,849200,84716.6531664234,-0.612021027947567,856574.973738302,84958.9173658395,1,-0.612021027947567,849200,84958.9173658395,1,849200
4.748,-0.611341489254697,100000,84011.8111671368,0.611341489254697,849600,84717.0293520988,-0.611341489254697,856958.375290604,84959.3971602892,1,-0.611341489254697,849600,84959.3971602892,1,849600
4.75,-0.61066140243143,100000,84011.8111671368,0.61066140243143,850000,84717.405537634,-0.61066140243143,857341.783157678,84959.8769624789,1,-0.61066140243143,850000,84959.8769624789,1,850000
4.752,-0.609980766159659,100000,84011.8111671368,0.609980766159659,850400,84717.781723029,-0.609980766159659,857725.197349216,84960.3567724205,1,-0.609980766159659,850400,84960.3567724205,1,850400
4.754,-0.609299579115948,100000,84011.8111671368,0.609299579115948,850800,84718.1579082839,-0.609299579115948,858108.617874963,84960.8365901264,1,-0.609299579115948,850800,84960.8365901264,1,850800
4.756,-0.608617839971526,100000,84011.8111671368,0.608617839971526,851200,84718.5340933986,-0.608617839971526,858492.044744719,84961.3164156088,1,-0.608617839971526,851200,84961.3164156088,1,851200
4.758,-0.607935547392208,100000,84011.8111671368,0.607935547392208,851600,84718.9102783732,-0.607935547392208,858875.477968334,84961.79624888,1,-0.607935547392208,851600,84961.79624888,1,851600
4.76,-0.60725270003842,100000,84011.8111671368,0.60725270003842,852000,84719.2864632077,-0.60725270003842,859258.917555713,84962.2760899523,1,-0.60725270003842,852000,84962.2760899523,1,852000
4.762,-0.606569296565125,100000,84011.8111671368,0.606569296565125,852400,84719.662647902,-0.606569296565125,859642.363516814,84962.7559388384,1,-0.606569296565125,852400,84962.7559388384,1,852400
4.764,-0.605885335621819,100000,84011.8111671368,0.605885335621819,852800,84720.0388324561,-0.605885335621819,860025.81586165,84963.2357955506,1,-0.605885335621819,852800,84963.2357955506,1,852800
4.766,-0.605200815852493,100000,84011.8111671368,0.605200815852493,853200,84720.4150168701,-0.605200815852493,860409.274600286,84963.7156601015,1,-0.605200815852493,853200,84963.7156601015,1,853200
4.768,-0.604515735895591,100000,84011.8111671368,0.604515735895591,853600,84720.791201144,-0.604515735895591,860792.739742845,84964.1955325039,1,-0.604515735895591,853600,84964.1955325039,1,853600
4.77,-0.603830094383989,100000,84011.8111671368,0.603830094383989,854000,84721.1673852777,-0.603830094383989,861176.211299501,84964.6754127704,1,-0.603830094383989,854000,84964.6754127704,1,854000
4.772,-0.603143889944959,100000,84011.8111671368,0.603143889944959,854400,84721.5435692713,-0.603143889944959,861559.689280485,84965.1553009139,1,-0.603143889944959,854400,84965.1553009139,1,854400
4.774,-0.602457121200148,100000,84011.8111671368,0.602457121200148,854800,84721.9197531247,-0.602457121200148,861943.173696083,84965.6351969471,1,-0.602457121200148,854800,84965.6351969471,1,854800
4.776,-0.601769786765518,100000,84011.8111671368,0.601769786765518,855200,84722.295936838,-0.601769786765518,862326.664556637,84966.1151008831,1,-0.601769786765518,855200,84966.1151008831,1,855200
4.778,-0.601081885251353,100000,84011.8111671368,0.601081885251353,855600,84722.6721204111,-0.601081885251353,862710.161872544,84966.5950127348,1,-0.601081885251353,855600,84966.5950127348,1,855600
4.78,-0.600393415262184,100000,84011.8111671368,0.600393415262184,856000,84723.0483038441,-0.600393415262184,863093.665654257,84967.0749325154,1,-0.600393415262184,856000,84967.0749325154,1,856000
4.782,-0.599704375396796,100000,84011.8111671368,0.599704375396796,856400,84723.4244871369,-0.599704375396796,863477.175912287,84967.5548602379,1,-0.599704375396796,856400,84967.5548602379,1,856400
4.784,-0.599014764248159,100000,84011.8111671368,0.599014764248159,856800,84723.8006702896,-0.599014764248159,863860.6926572,84968.0347959155,1,-0.599014764248159,856800,84968.0347959155,1,856800
4.786,-0.598324580403416,100000,84011.8111671368,0.598324580403416,857200,84724.1768533022,-0.598324580403416,864244.21589962,84968.5147395617,1,-0.598324580403416,857200,84968.5147395617,1,857200
4.788,-0.597633822443847,100000,84011.8111671368,0.597633822443847,857600,84724.5530361746,-0.597633822443847,864627.745650228,84968.9946911896,1,-0.597633822443847,857600,84968.9946911896,1,857600
4.79,-0.596942488944837,100000,84011.8111671368,0.596942488944837,858000,84724.9292189069,-0.596942488944837,865011.281919763,84969.4746508128,1,-0.596942488944837,858000,84969.4746508128,1,858000
4.792,-0.596250578475819,100000,84011.8111671368,0.596250578475819,858400,84725.305401499,-0.596250578475819,865394.824719021,84969.9546184448,1,-0.596250578475819,858400,84969.9546184448,1,858400
4.794,-0.595558089600276,100000,84011.8111671368,0.595558089600276,858800,84725.681583951,-0.595558089600276,865778.374058857,84970.434594099,1,-0.595558089600276,858800,84970.434594099,1,858800
4.796,-0.594865020875671,100000,84011.8111671368,0.594865020875671,859200,84726.0577662628,-0.594865020875671,866161.929950185,84970.9145777893,1,-0.594865020875671,859200,84970.9145777893,1,859200
4.798,-0.594171370853444,100000,84011.8111671368,0.594171370853444,859600,84726.4339484345,-0.594171370853444,866545.492403976,84971.3945695292,1,-0.594171370853444,859600,84971.3945695292,1,859600
4.8,-0.593477138078951,100000,84011.8111671368,0.593477138078951,860000,84726.810130466,-0.593477138078951,866929.061431262,84971.8745693327,1,-0.593477138078951,860000,84971.8745693327,1,860000
4.802,-0.592782321091433,100000,84011.8111671368,0.592782321091433,860400,84727.1863123575,-0.592782321091433,867312.637043135,84972.3545772135,1,-0.592782321091433,860400,84972.3545772135,1,860400
4.804,-0.592086918423998,100000,84011.8111671368,0.592086918423998,860800,84727.5624941087,-0.592086918423998,867696.219250744,84972.8345931856,1,-0.592086918423998,860800,84972.8345931856,1,860800
4.806,-0.591390928603569,100000,84011.8111671368,0.591390928603569,861200,84727.9386757199,-0.591390928603569,868079.808065301,84973.3146172631,1,-0.591390928603569,861200,84973.3146172631,1,861200
4.808,-0.590694350150839,100000,84011.8111671368,0.590694350150839,861600,84728.3148571908,-0.590694350150839,868463.403498076,84973.79464946,1,-0.590694350150839,861600,84973.79464946,1,861600
4.81,-0.589997181580256,100000,84011.8111671368,0.589997181580256,862000,84728.6910385217,-0.589997181580256,868847.005560402,84974.2746897905,1,-0.589997181580256,862000,84974.2746897905,1,862000
4.812,-0.589299421399977,100000,84011.8111671368,0.589299421399977,862400,84729.0672197124,-0.589299421399977,869230.614263671,84974.7547382688,1,-0.589299421399977,862400,84974.7547382688,1,862400
4.814,-0.588601068111829,100000,84011.8111671368,0.588601068111829,862800,84729.4434007629,-0.588601068111829,869614.229619338,84975.2347949093,1,-0.588601068111829,862800,84975.2347949093,1,862800
4.816,-0.587902120211265,100000,84011.8111671368,0.587902120211265,863200,84729.8195816734,-0.587902120211265,869997.85163892,84975.7148597264,1,-0.587902120211265,863200,84975.7148597264,1,863200
4.818,-0.587202576187336,100000,84011.8111671368,0.587202576187336,863600,84730.1957624436,-0.587202576187336,870381.480333993,84976.1949327346,1,-0.587202576187336,863600,84976.1949327346,1,863600
4.82,-0.58650243452266,100000,84011.8111671368,0.58650243452266,864000,84730.5719430738,-0.58650243452266,870765.1157162,84976.6750139484,1,-0.58650243452266,864000,84976.6750139484,1,864000
4.822,-0.58580169369336,100000,84011.8111671368,0.58580169369336,864400,84730.9481235638,-0.58580169369336,871148.757797243,84977.1551033824,1,-0.58580169369336,864400,84977.1551033824,1,864400
4.824,-0.58510035216904,100000,84011.8111671368,0.58510035216904,864800,84731.3243039136,-0.58510035216904,871532.406588889,84977.6352010515,1,-0.58510035216904,864800,84977.6352010515,1,864800
4.826,-0.584398408412761,100000,84011.8111671368,0.584398408412761,865200,84731.7004841234,-0.584398408412761,871916.062102968,84978.1153069702,1,-0.584398408412761,865200,84978.1153069702,1,865200
4.828,-0.583695860880961,100000,84011.8111671368,0.583695860880961,865600,84732.076664193,-0.583695860880961,872299.724351373,84978.5954211537,1,-0.583695860880961,865600,84978.5954211537,1,865600
4.83,-0.582992708023462,100000,84011.8111671368,0.582992708023462,866000,84732.4528441224,-0.582992708023462,872683.393346063,84979.0755436167,1,-0.582992708023462,866000,84979.0755436167,1,866000
4.832,-0.582288948283395,100000,84011.8111671368,0.582288948283395,866400,84732.8290239117,-0.582288948283395,873067.069099059,84979.5556743744,1,-0.582288948283395,866400,84979.5556743744,1,866400
4.834,-0.581584580097174,100000,84011.8111671368,0.581584580097174,866800,84733.2052035609,-0.581584580097174,873450.751622449,84980.0358134418,1,-0.581584580097174,866800,84980.0358134418,1,866800
4.836,-0.580879601894456,100000,84011.8111671368,0.580879601894456,867200,84733.5813830699,-0.580879601894456,873834.440928385,84980.5159608342,1,-0.580879601894456,867200,84980.5159608342,1,867200
4.838,-0.580174012098101,100000,84011.8111671368,0.580174012098101,867600,84733.9575624388,-0.580174012098101,874218.137029086,84980.9961165669,1,-0.580174012098101,867600,84980.9961165669,1,867600
4.84,-0.579467809124128,100000,84011.8111671368,0.579467809124128,868000,84734.3337416676,-0.579467809124128,874601.839936834,84981.4762806551,1,-0.579467809124128,868000,84981.4762806551,1,868000
4.842,-0.578760991381665,100000,84011.8111671368,0.578760991381665,868400,84734.7099207562,-0.578760991381665,874985.549663981,84981.9564531144,1,-0.578760991381665,868400,84981.9564531144,1,868400
4.844,-0.578053557272925,100000,84011.8111671368,0.578053557272925,868800,84735.0860997047,-0.578053557272925,875369.266222943,84982.4366339602,1,-0.578053557272925,868800,84982.4366339602,1,868800
4.846,-0.577345505193147,100000,84011.8111671368,0.577345505193147,869200,84735.462278513,-0.577345505193147,875752.989626203,84982.9168232083,1,-0.577345505193147,869200,84982.9168232083,1,869200
