"time","cDC1.v","cDC2.v","supplyL.inductor[2].i","supplyL.inductor[3].i"
0.032395,116.503828638639,116.503828638639,32.7329558834119,-0.00123264025978991
0.0324,116.461959318198,116.461959318198,32.7697598398364,-0.00122626188938843
0.032405,116.420130605226,116.420130605226,32.8114364783442,-0.00121988049329422
0.03241,116.378344865791,116.378344865791,32.8579689358019,-0.00121349608726382
0.032415,116.336604340431,116.336604340431,32.9093396926751,-0.00120710868709587
0.03242,116.294911499372,116.294911499372,32.965532430468,-0.00120071830851199
0.032425,116.253268731982,116.253268731982,33.0265304078862,-0.00119432496726097
0.03243,116.211678427629,116.211678427629,33.0923168836358,-0.00118792867909153
0.032435,116.170142975682,116.170142975682,33.1628751164229,-0.00118152945975242
0.03244,116.128664643253,116.128664643253,33.2381851562622,-0.00117512732526216
0.032445,116.087245863203,116.087245863203,33.3182314033704,-0.00116872229127353
0.03245,116.045889017385,116.045889017385,33.4029969191544,-0.00116231437355185
0.032455,116.004596481903,116.004596481903,33.4924646142047,-0.00115590358787513
0.03246,115.963370632862,115.963370632862,33.5866173991113,-0.00114948995002141
0.032465,115.92221356467,115.92221356467,33.6854350899981,-0.00114307347595258
0.03247,115.881127370206,115.881127370206,33.7888974861902,-0.00113665418163152
0.032475,115.840114618265,115.840114618265,33.8969896149957,-0.00113023208271048
0.03248,115.799177631324,115.799177631324,34.0096937979096,-0.00112380719500247
0.032485,115.758318731863,115.758318731863,34.1269923564266,-0.00111737953432052
0.03249,115.717540242359,115.717540242359,34.2488676120417,-0.00111094911647763
0.032495,115.67684375881,115.67684375881,34.3752932583141,-0.00110451595777063
0.0325,115.636231953946,115.636231953946,34.506255776443,-0.00109808007377928
0.032505,115.595707099889,115.595707099889,34.6417368898948,-0.00109164148035013
0.03251,115.555271461972,115.555271461972,34.7817182414611,-0.00108520019333428
0.032515,115.514927305523,115.514927305523,34.9261814739341,-0.00107875622858278
0.03252,115.474676556891,115.474676556891,35.0751043545073,-0.0010723096021635
0.032525,115.434521227434,115.434521227434,35.2284656223194,-0.00106586033008989
0.03253,115.394463770698,115.394463770698,35.3862490720155,-0.0010594084280927
0.032535,115.354506394093,115.354506394093,35.5484356842026,-0.00105295391206004
0.03254,115.314651305033,115.314651305033,35.7150064394873,-0.00104649679788001
0.032545,115.274900695846,115.274900695846,35.8859421612646,-0.00104003710145017
0.03255,115.235256208871,115.235256208871,36.0612179403872,-0.00103357483901276
0.032555,115.195720251573,115.195720251573,36.2408168426135,-0.0010271100263305
0.03256,115.156294930149,115.156294930149,36.4247187935814,-0.00102064267935494
0.032565,115.116982340413,115.116982340413,36.6129036107244,-0.00101417281404414
0.03257,115.0777845678,115.0777845678,36.8053510032721,-0.00100770044636262
0.032575,115.038703687362,115.038703687362,37.00204057225,-0.00100122559228146
0.03258,114.999741763771,114.999741763771,37.2029518104795,-0.000994748267778188
0.032585,114.960900851316,114.960900851316,37.408064102577,-0.000988268488836901
0.03259,114.922182993906,114.922182993906,37.6173567249557,-0.000981786271448157
0.032595,114.883590225069,114.88359022507,37.8308088458244,-0.00097530163160902
0.0326,114.845124551222,114.845124551222,38.0483993917447,-0.000968814585319103
0.032605,114.806787767974,114.806787767974,38.2701055824502,-0.000962325148536672
0.03261,114.768582014907,114.768582014907,38.4959073558429,-0.00095583333731105
0.032615,114.730509267,114.730509267,38.7257833115542,-0.000949339167661263
0.03262,114.692571487632,114.692571487632,38.959711931246,-0.00094284265561258
0.032625,114.654770628572,114.654770628572,39.1976715786129,-0.000936343817196453
0.03263,114.617108629985,114.617108629985,39.4396404993809,-0.000929842668450557
0.032635,114.579587420432,114.579587420432,39.6855968213082,-0.000923339225418772
0.03264,114.542208916868,114.542208916868,39.9355185541835,-0.000916833504151218
0.032645,114.50497502464,114.50497502464,40.1893835898285,-0.000910325520704201
0.03265,114.467887633973,114.467887633973,40.447170344688,-0.000903815291122866
0.032655,114.430948614585,114.430948614585,40.7088587412186,-0.000897302831414667
0.03266,114.394159846071,114.394159846071,40.974424663408,-0.000890788157699283
0.032665,114.357523186288,114.357523186288,41.2438457266129,-0.000884271286052596
0.03267,114.32104048142,114.32104048142,41.517099440463,-0.000877752232556365
0.032675,114.284713565979,114.284713565979,41.79416320886,-0.000871231013298253
0.03268,114.248544262804,114.248544262804,42.0750143299798,-0.000864707644371782
0.032685,114.212534383061,114.212534383061,42.3596299962711,-0.000858182141876355
0.03269,114.176685726244,114.176685726244,42.6479872944545,-0.000851654521917284
0.032695,114.141000080176,114.141000080176,42.9400632055246,-0.000845124800605736
0.0327,114.10547919238,114.10547919238,43.2358353675912,-0.000838592994023646
0.032705,114.070124786186,114.070124786186,43.5352816466597,-0.000832059118243448
0.03271,114.034938650799,114.034938650799,43.838377736527,-0.000825523189438654
0.032715,113.999922522368,113.999922522368,44.145100328055,-0.000818985223737845
0.03272,113.965078125076,113.965078125076,44.4554260142226,-0.000812445237275125
0.032725,113.930407171138,113.930407171138,44.7693312901244,-0.000805903246190144
0.03273,113.895911360803,113.895911360803,45.0867925529733,-0.000799359266628047
0.032735,113.861592382352,113.861592382352,45.4077861020988,-0.000792813314739508
0.03274,113.827451912101,113.827451912101,45.7322881389481,-0.000786265406680715
0.032745,113.793491614397,113.793491614397,46.060274767084,-0.000779715558613402
0.03275,113.759713087807,113.759713087807,46.3917228566093,-0.000773163786651165
0.032755,113.726117944382,113.726117944383,46.7266087709235,-0.000766610106938488
0.03276,113.692707849398,113.692707849398,47.0649077283808,-0.000760054535690348
0.032765,113.65948441257,113.65948441257,47.4065955496633,-0.000753497089083824
0.03277,113.626449231245,113.626449231245,47.7516479640408,-0.000746937783301084
0.032775,113.593603890402,113.593603890402,48.1000406093696,-0.000740376634529417
0.03278,113.560949962647,113.560949962648,48.4517490320903,-0.00073381365896126
