"time","C1.v","C3.v","C5.v","L1.i","L2.i"
17.928,0.477220571872853,0.512296569191096,0.477600535666242,0.536661688796098,0.441739273456504
17.94,0.477173088435768,0.512679125363591,0.477532087933223,0.536336914249577,0.44222736139833
17.952,0.477128490701158,0.513059339365311,0.477466671653982,0.536008207087029,0.442721713999456
17.964,0.477086779159912,0.513437168095823,0.477404288056248,0.535675615828055,0.443222255531393
17.976,0.477047953917947,0.51381256886072,0.477344937961756,0.535339189418586,0.443728909608405
17.988,0.477012014695301,0.514185499377816,0.477288621785406,0.534998977225663,0.444241599195753
18,0.476978962258501,0.514555916459302,0.477235341014295,0.534655027227763,0.44476024932813
18.012,0.47694879950155,0.51492377501849,0.477185099323947,0.534307384647502,0.445284789163678
18.024,0.47692152153114,0.515289037234434,0.477137892341195,0.533956104427899,0.445815133245747
18.036,0.476897126787848,0.515651662283564,0.477093719127117,0.533601237224563,0.446351202542252
18.048,0.476875613342529,0.516011609766432,0.477052578353087,0.533242834062146,0.44689291745235
18.06,0.476856978896093,0.516368839713283,0.477014468300621,0.532880946328288,0.447440197815945
18.072,0.476841220779269,0.516723312589633,0.476979386861241,0.53251562576755,0.447992962923206
18.084,0.476828335952388,0.517074989301841,0.476947331536323,0.532146924475359,0.448551131524068
18.096,0.476818321005149,0.517423831202686,0.476918299436956,0.531774894891948,0.44911462183775
18.108,0.476811172156394,0.517769800096938,0.476892287283793,0.531399589796295,0.449683351562262
18.12,0.476806885253881,0.518112858246934,0.47686929140691,0.531021062300062,0.450257237883915
18.132,0.476805455774055,0.518452968378153,0.476849307745658,0.530639365841538,0.45083619748683
18.144,0.476806878821823,0.51879009368479,0.476832331848519,0.530254554179576,0.451420146562451
18.156,0.476811149130327,0.519124197835326,0.476818358872961,0.529866681387536,0.452009000819056
18.168,0.476818261130723,0.519455244899212,0.476807383657195,0.529475801776203,0.452602675597193
18.18,0.476828214947632,0.519783192595349,0.476799406878055,0.529081963805516,0.453201094951392
18.192,0.476840999826623,0.520108010974521,0.476794418029832,0.52868522688999,0.453804166583763
18.204,0.476856609274749,0.520429665361434,0.476792410974863,0.528285646033358,0.454411804763337
18.216,0.476875036446272,0.520748121560293,0.476793379204398,0.527883276503161,0.455023923353962
18.228,0.476896274143097,0.521063345859626,0.476797315839135,0.527478173824013,0.455640435824808
18.24,0.4769203148152,0.521375305037122,0.476804213629754,0.527070393770877,0.456261255260871
18.252,0.476947150561064,0.521683966364458,0.476814064957444,0.526659992362335,0.45688629437349
18.264,0.476976773128111,0.521989297612131,0.476826861834444,0.526247025853854,0.457515465510847
18.276,0.477009173913134,0.522291267054289,0.476842595904564,0.525831550731063,0.458148680668481
18.288,0.477044343962729,0.522589843473562,0.476861258443728,0.525413623703023,0.458785851499792
18.3,0.477082273973727,0.522884996165892,0.476882840360501,0.524993301695494,0.459426889326553
18.312,0.477122954293628,0.523176694945367,0.47690733219662,0.524570641844212,0.460071705149417
18.324,0.477166374921032,0.523464910149046,0.47693472412753,0.524145701488153,0.460720209658425
18.336,0.477212525506074,0.523749612641796,0.476965005962917,0.52371853816281,0.461372313243512
18.348,0.477261399844543,0.524030767809467,0.476998171740671,0.523289206172043,0.462027931049267
18.36,0.477312985220147,0.524308349822209,0.477034208832674,0.522857764696298,0.462686971021454
18.372,0.477367269361943,0.524582332332234,0.477073105056759,0.522424272488934,0.463349341726877
18.384,0.477424240796841,0.524852688007658,0.47711484903712,0.52198878760144,0.46401495275909
18.396,0.477483887725157,0.525119390042186,0.477159429055001,0.521551368233167,0.464683713486211
18.408,0.477546198021677,0.525382412159099,0.477206833049872,0.52111207272412,0.465355533062138
18.42,0.477611159236716,0.525641728615246,0.477257048620604,0.520670959547746,0.466030320437764
18.432,0.477678758597186,0.525897314205029,0.477310063026652,0.520228087303726,0.466707984372196
18.444,0.477748983007659,0.526149144264387,0.477365863189223,0.519783514710767,0.467388433443969
18.456,0.477821819051425,0.526397194674787,0.477424435692463,0.519337300599392,0.468071576062262
18.468,0.477897252991562,0.526641441867209,0.477485766784627,0.51888950390473,0.468757320478118
18.48,0.477975270771994,0.526881862826133,0.477549842379259,0.518440183659306,0.469445574795656
18.492,0.478055858018556,0.527118435093529,0.477616648056368,0.517989398985834,0.470136246983288
18.504,0.478139000040059,0.52735113677284,0.477686169063606,0.517537209090008,0.470829244884938
18.516,0.478224684633664,0.527579942134056,0.477758393171135,0.517083671893201,0.47152447818332
18.528,0.478312897278495,0.527804829158786,0.477833305780708,0.516628846356867,0.472221855064718
18.54,0.478403620485575,0.528025780565621,0.477910889264249,0.516172792791123,0.472921281776966
18.552,0.478496838549661,0.528242776361942,0.477991127799459,0.515715570543426,0.473622665947633
18.564,0.478592535471996,0.528455797108002,0.478074005256078,0.51525723899934,0.474325915148547
18.576,0.478690694961949,0.528664823919993,0.47815950519766,0.514797857575048,0.475030936907414
18.588,0.478791300438677,0.52886983847312,0.478247610883348,0.51433748570985,0.475737638719445
18.6,0.478894335032763,0.529070823004657,0.478338305269648,0.513876182858678,0.476445928058982
18.612,0.478999781587875,0.529267760317023,0.478431571012203,0.513414008484596,0.477155712391118
18.624,0.479107622662409,0.529460633780844,0.478527390467566,0.512951022051307,0.477866899183327
18.636,0.479217840531145,0.529649427338023,0.478625745694974,0.512487283015664,0.478579395917087
18.648,0.479330417186891,0.529834125504801,0.478726618458125,0.512022850820169,0.479293110099501
18.66,0.479445334342135,0.530014713374835,0.478829990226946,0.511557784885486,0.480007949274928
18.672,0.479562573430697,0.530191176622253,0.478935842179374,0.511092144602942,0.480723821036601
18.684,0.479682116975348,0.5303634989958,0.479044156586897,0.510625989102025,0.481440633314212
18.696,0.479803948559301,0.530531662377305,0.479154916785779,0.510159377247855,0.482158294379442
18.708,0.479928046252496,0.530695658861927,0.479268100517782,0.509692368716831,0.482876711529222
18.72,0.480054390606187,0.530855476080337,0.479383688029038,0.509225022672486,0.483595792712102
18.732,0.480182961917484,0.531011102229124,0.479501659299042,0.508757398208869,0.48431544598692
18.744,0.480313740231524,0.531162526072896,0.479621994042959,0.508289554342962,0.485035579534534
18.756,0.480446705343657,0.531309736946369,0.47974467171394,0.507821550007103,0.485756101669552
18.768,0.480581836801621,0.531452724756468,0.479869671505424,0.507353444041401,0.486476920852066
18.78,0.480719113907719,0.53159147998442,0.479996972353454,0.506885295186158,0.487197945699382
18.792,0.480858515721001,0.531725993687851,0.480126552938984,0.506417162074288,0.487919084997749
18.804,0.481000021059442,0.531856257502882,0.48025839169019,0.505949103223734,0.488640247714098
18.816,0.481143608502119,0.531982263646221,0.480392466784777,0.505481177029889,0.489361343007764
18.828,0.481289256391388,0.532104004917264,0.480528756152291,0.505013441758015,0.490082280242224
18.84,0.481436942835068,0.532221474700188,0.480667237476429,0.50454595553566,0.490802968996826
18.852,0.48158664595073,0.532334666440594,0.480807888441426,0.504078776401458,0.491523318978916
18.864,0.481738347328452,0.532443566137289,0.480950690222985,0.503611963103368,0.492243238611885
18.876,0.481892021484732,0.532548175236769,0.481095616856831,0.50314557263485,0.492962639386462
18.888,0.482047645794956,0.532648489084084,0.481242645251794,0.50267966253963,0.493681431787121
18.9,0.482205197424888,0.532744503589114,0.481391752096539,0.502214290189079,0.494399526567098
18.912,0.482364653333302,0.532836215227662,0.481542913862338,0.501749512774746,0.495116834759928
18.924,0.482525990274625,0.532923621042558,0.481696106805846,0.501285387300877,0.495833267690994
18.936,0.482689184801568,0.533006718644759,0.481851306971868,0.500821970576948,0.496548736989065
18.948,0.482854213267774,0.533085506214443,0.482008490196134,0.500359319210184,0.497263154597841
18.96,0.483021051830444,0.533159982502113,0.482167632108073,0.499897489598093,0.497976432787496
18.972,0.483189676452983,0.533230146829693,0.482328708133584,0.499436537920985,0.498688484166218
18.984,0.483360062907636,0.53329599909163,0.48249169349781,0.498976520134501,0.499399221691754
18.996,0.483532186778123,0.53335753975599,0.482656563227908,0.49851749196214,0.50010855868295
19.008,0.483706023462279,0.53341476986556,0.482823292155825,0.498059508887783,0.500816408831298
19.02,0.483881548174691,0.533467691038945,0.482991854921067,0.49760262614822,0.501522686212474
19.032,0.484058738853079,0.533516297857158,0.483162228883701,0.497146900963924,0.502227301692394
19.044,0.484237569007898,0.53356059662219,0.483334386958118,0.496692387017912,0.502930171820463
19.056,0.484418012940588,0.533600591681158,0.483508302843067,0.49623913846854,0.503631212365048
19.068,0.484600045320102,0.5336362865448,0.483683950597361,0.49578720961358,0.504330338854115
19.08,0.484783640657221,0.533667685273993,0.483861304113156,0.495336654475505,0.505027467242762
19.092,0.484968773307576,0.533694792479851,0.484040337119096,0.494887526794314,0.505722513924296
19.104,0.485155417474665,0.533717613323834,0.484221023183478,0.494439880020344,0.5064153957413
19.116,0.485343547212866,0.533736153517844,0.484403335717395,0.493993767307096,0.507106029996708
19.128,0.485533136430459,0.533750419324336,0.484587247977893,0.493549241504048,0.507794334464872
19.14,0.485724158892643,0.533760417556414,0.484772733071125,0.493106355149476,0.508480227402633
19.152,0.485916588224553,0.533766155577939,0.484959763955506,0.492665160463273,0.509163627560396
19.164,0.486110397914278,0.533767641303629,0.485148313444862,0.492225709339768,0.509844454193198
19.176,0.486305561315876,0.533764883199166,0.485338354211584,0.491788053340545,0.510522627071777
19.188,0.486502051652396,0.533757890281292,0.485529858789786,0.49135224368726,0.511198066493646
19.2,0.486699843563075,0.533746667003989,0.485722801113616,0.49091833370991,0.511870689423354
19.212,0.486898910173785,0.533731222970496,0.485917153604967,0.490486374176485,0.512540416854648
19.224,0.487099223514182,0.533711571561902,0.486112887588351,0.490056413944315,0.513207172783434
19.236,0.48730075643552,0.533687723595958,0.486309975197652,0.489628502997654,0.513870879419024
19.248,0.487503481682235,0.533659690411846,0.486508388453295,0.489202690959401,0.514531459530039
19.26,0.487707371895253,0.533627483869307,0.486708099265684,0.488779027084383,0.515188836454742
19.272,0.487912399615302,0.533591116347777,0.486909079438652,0.488357560252642,0.515842934111375
19.284,0.488118537286224,0.533550600745517,0.487111300672902,0.48793833896272,0.516493677008497
19.296,0.488325757258285,0.533505950478749,0.487314734569454,0.48752141132494,0.51714099025532
19.308,0.488534031791482,0.533457179480783,0.487519352633086,0.487106825054697,0.51778479957204
19.32,0.488743333058862,0.533404302201154,0.487725126275786,0.48669462746574,0.518425031300182
19.332,0.488953633149823,0.533347333604752,0.487932026820188,0.486284865463455,0.519061612412929
19.344,0.489164904073432,0.533286289170958,0.488140025503022,0.485877585538152,0.519694470525461
19.356,0.489377117761732,0.53322118489277,0.488349093478557,0.485472833758349,0.520323533905294
19.368,0.489590246685099,0.533152034474142,0.488559202422087,0.485070657657229,0.520948728527375
19.38,0.489804263503558,0.533078850940468,0.488770324188283,0.484671105137129,0.521569979784022
19.392,0.490019139040266,0.533001655929772,0.488982428824628,0.484274218184215,0.522187222296174
19.404,0.490234845034672,0.532920467103688,0.489195487270773,0.483880041367544,0.522800386646211
19.416,0.490451353171962,0.532835302604729,0.489409470407213,0.483488618819998,0.523409404090569
19.428,0.49066863508657,0.532746181054493,0.489624349058934,0.483099994232197,0.524014206569095
19.44,0.490886662365687,0.532653121551876,0.489840093999049,0.482714210846401,0.52461472671442
19.452,0.491105406552777,0.532556143671281,0.490056675952448,0.482331311450422,0.525210897861316
19.464,0.49132483915109,0.532455267460834,0.490274065599433,0.481951338371529,0.525802654056067
19.476,0.491544931627169,0.532350513440589,0.490492233579362,0.481574333470358,0.526389930065826
19.488,0.491765655414364,0.532241902600741,0.490711150494294,0.481200338134814,0.526972661387986
19.5,0.491986981916345,0.53212945639984,0.490930786912627,0.480829393273988,0.52755078425954
19.512,0.492208882510617,0.532013196762998,0.491151113372741,0.480461539312053,0.528124235666446
19.524,0.492431328552022,0.531893146080099,0.491372100386644,0.480096816182183,0.528692953352995
19.536,0.492654291478382,0.531769326391898,0.491593718540132,0.479735264045238,0.529256874706221
19.548,0.492877743451492,0.531641754318435,0.491815939099012,0.479376927808288,0.529815929742575
19.56,0.493101655137162,0.531510458739926,0.49203873191105,0.479021841337347,0.530370065611399
19.572,0.493325997877746,0.531375463545388,0.492262067459828,0.478670042845937,0.530919222710099
19.584,0.49355074301377,0.531236793053643,0.492485916223857,0.478321570049334,0.531463342205185
19.596,0.493775861887558,0.531094472010683,0.49271024868032,0.47797646015924,0.532002366040462
19.608,0.494001325846846,0.530948525587028,0.492935035308811,0.477634749878443,0.532536236945211
19.62,0.4942271062484,0.530798979375084,0.493160246595083,0.477296475395491,0.533064898442378
19.632,0.494453174461639,0.530645859386508,0.493385853034789,0.476961672379355,0.533588294856758
19.644,0.494679501872254,0.530489192049564,0.493611825137225,0.476630375974096,0.534106371323183
19.656,0.49490605988582,0.530329004206485,0.493838133429074,0.476302620793532,0.534619073794705
19.668,0.495132819931424,0.530165323110835,0.494064748458149,0.475978440915904,0.535126349050783
19.68,0.495359753465278,0.529998176424866,0.494291640797135,0.475657869878545,0.535628144705472
19.692,0.495586831974342,0.52982759221688,0.494518781047333,0.475340940672544,0.536124409215604
19.704,0.495814026979936,0.529653598958588,0.494746139842403,0.475027685737416,0.536615091888976
19.716,0.496041310143762,0.529476219308303,0.494973687893663,0.474718144087463,0.537100131865173
19.728,0.496268653010983,0.529295485919716,0.495201395888097,0.474412343160455,0.537579486181925
19.74,0.496496027220234,0.529111428913905,0.49542923457586,0.474110313187025,0.538053107556421
19.752,0.496723404471816,0.528924078026352,0.495657174759643,0.473812084718285,0.538520948208154
19.764,0.496950756518883,0.528733463358905,0.49588518729337,0.47351768775447,0.538982961206207
19.776,0.497178055171071,0.528539615376382,0.49611324308595,0.473227151740472,0.539439100476081
19.788,0.497405272298132,0.528342564903171,0.496341313105021,0.472940505561385,0.539889320806538
19.8,0.497632379833566,0.528142343119826,0.4965693683807,0.472657777538039,0.540333577856433
19.812,0.497859349778249,0.527938981559671,0.496797380009332,0.472378995422544,0.540771828161553
19.824,0.498086154204068,0.527732512105398,0.497025319157237,0.472104186393828,0.541204029141454
19.836,0.498312765257551,0.527522966985667,0.497253157064457,0.471833377053174,0.541630139106294
19.848,0.498539155163497,0.527310378771704,0.497480865048508,0.471566593419765,0.542050117263672
19.86,0.498765296228611,0.527094780373905,0.497708414508124,0.471303860926218,0.542463923725464
19.872,0.498991160845133,0.52687620503843,0.497935776927009,0.471045204414127,0.542871519514659
19.884,0.499216721035615,0.526654682576125,0.498162923368494,0.470790653669052,0.543272858030137
19.896,0.499441949399352,0.526430247100498,0.498389825525299,0.470540232034264,0.543667902604697
19.908,0.499666818799667,0.526202934426786,0.498616455372306,0.470293960225325,0.544056620622773
