"time","Adder1.Adder1.AND.G2.x","Adder1.Adder1.AND.G2.y","Adder1.Adder1.XOR.G2.x","Adder1.Adder1.XOR.G2.y","Adder1.Adder2.AND.G2.x","Adder1.Adder2.AND.G2.y","Adder1.Adder2.XOR.G2.x","Adder1.Adder2.XOR.G2.y","Counter.FF1.RS1.TD1.x","Counter.FF1.RS2.TD1.x","Counter.FF2.RS1.TD1.x","Counter.FF2.RS2.TD1.x","Counter.FF3.RS1.TD1.x","Counter.FF3.RS2.TD1.x"
0.064,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.066,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.068,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.07,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.072,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.074,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.076,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.078,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.08,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.082,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.084,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.086,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.088,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.09,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.092,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.094,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.096,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.098,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.1,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.102,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.104,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.106,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.108,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.11,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.112,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.114,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.116,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.118,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.12,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.122,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.124,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.126,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.128,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.13,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.132,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.134,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.136,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.138,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.14,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.142,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.144,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.146,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.148,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.15,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.152,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.154,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.156,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.158,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.16,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.162,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.164,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.166,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.168,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.17,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.172,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.174,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.176,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.178,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.18,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.182,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.184,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.186,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.188,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.19,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.192,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.194,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.196,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.198,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.2,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.202,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.204,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.206,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.208,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.21,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.212,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.214,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.216,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.218,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.22,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.222,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.224,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.226,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.228,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.23,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.232,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.234,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.236,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.238,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.24,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.242,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.244,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.246,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.248,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.25,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.252,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.254,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.256,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.258,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.26,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.262,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.264,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.266,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.268,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.27,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.272,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.274,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.276,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.278,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.28,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.282,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.284,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.286,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.288,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.29,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.292,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.294,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.296,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.298,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.3,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.302,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.304,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.306,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.308,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.31,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.312,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.314,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.316,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.318,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.32,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.322,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.324,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.326,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.328,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.33,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.332,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.334,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.336,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.338,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.34,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.342,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.344,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.346,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.348,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.35,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.352,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.354,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.356,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.358,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.36,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.362,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.364,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.366,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.368,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.37,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.372,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.374,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.376,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.378,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.38,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.382,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.384,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.386,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.388,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.39,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.392,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.394,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.396,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.398,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.4,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.402,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.404,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.406,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.408,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.41,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.412,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.414,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.416,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.418,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.42,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.422,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.424,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.426,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.428,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.43,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.432,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.434,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.436,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.438,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.44,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.442,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.444,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.446,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.448,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.45,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.452,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.454,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.456,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.458,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.46,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.462,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.464,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.466,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.468,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.47,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.472,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.474,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.476,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.478,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.48,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.482,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.484,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.486,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.488,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.49,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.492,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.494,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.496,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.498,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.5,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.5,3,3,3,3,3,3,4,3,4,4,3,4,3,3
0.501,3,3,3,3,3,3,4,3,4,4,3,4,3,3
0.501,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.502,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.504,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.506,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.508,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.51,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.512,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.514,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.516,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.518,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.52,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.522,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.524,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.526,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.528,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.53,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.532,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.534,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.536,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.538,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.54,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.542,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.544,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.546,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.548,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.55,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.552,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.554,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.556,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.558,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.56,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.562,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.564,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.566,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.568,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.57,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.572,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.574,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.576,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.578,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.58,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.582,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.584,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.586,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.588,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.59,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.592,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.594,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.596,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.598,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.6,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.602,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.604,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.606,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.608,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.61,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.612,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.614,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.616,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.618,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.62,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.622,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.624,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.626,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.628,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.63,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.632,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.634,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.636,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.638,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.64,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.642,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.644,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.646,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.648,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.65,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.652,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.654,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.656,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.658,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.66,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.662,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.664,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.666,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.668,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.67,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.672,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.674,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.676,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.678,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.68,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.682,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.684,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.686,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.688,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.69,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.692,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.694,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.696,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.698,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.7,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.702,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.704,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.706,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.708,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.71,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.712,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.714,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.716,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.718,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.72,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.722,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.724,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.726,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.728,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.73,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.732,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.734,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.736,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.738,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.74,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.742,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.744,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.746,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.748,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.75,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.752,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.754,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.756,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.758,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.76,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.762,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.764,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.766,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.768,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.77,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.772,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.774,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.776,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.778,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.78,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.782,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.784,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.786,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.788,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.79,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.792,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.794,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.796,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.798,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.8,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.802,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.804,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.806,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.808,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.81,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.812,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.814,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.816,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.818,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.82,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.822,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.824,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.826,3,3,3,3,3,3,4,4,4,4,3,4,3,3
0.828,3,3,3,3,3,3,4,4,4,4,3,4,3,3
