"time","cp[1]","cp[2]","cp[3]","eta[1]","eta[2]","eta[3]","lambda[1]","lambda[2]","lambda[3]","rho[1]","rho[2]","rho[3]","Re_1[1]","Re_1[2]","Re_1[3]","Nu_1[1]","Nu_1[2]","Nu_1[3]","Nu_2[1]","Nu_2[2]","Nu_2[3]","Nu_3[1]","Nu_3[2]","Nu_3[3]","m_flow[1]","m_flow[2]","m_flow[3]","input_mflow_0.y","input_mflow_1.y","input_mflow_2.y"
0.088678,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,99042.4003052849,99042.4003052849,99042.4003052849,199.572566196088,497.371584934192,3612.95614366988,204.086758739363,436.81572957916,2280.07798755412,183.8180156879,573.230886297516,4164.00557475346,0.1418848,7.79121796491228,886.78,886.78,0.52879508985949,0.588019804515356
0.08888,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,99268.0094175976,99268.0094175976,99268.0094175976,199.936169197173,498.277750567992,3619.53862001752,204.458586187262,437.611567971296,2284.23208155002,184.15632456717,574.381242505849,4172.36187546745,0.142208,7.80896561403509,888.8,888.8,0.529871899465967,0.588851164553905
0.089082,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,99493.6185299103,99493.6185299103,99493.6185299103,200.299606961566,499.183504401531,3626.11810500754,204.83024466093,438.407044700568,2288.38428774866,184.494479704475,575.531258886104,4180.71570763684,0.1425312,7.8267132631579,890.82,890.82,0.530947855513917,0.589680846940177
0.089284,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,99719.227642223,99719.227642223,99719.227642223,200.66287993879,500.0888475551,3632.69460677784,205.201734620059,439.202160750871,2292.53461128576,184.832481518067,576.680936308915,4189.06707758599,0.1428544,7.8444609122807,892.84,892.84,0.532022956270106,0.590508855059606
0.089486,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,99944.8367545358,99944.8367545358,99944.8367545358,201.025988576132,500.993781143419,3639.26813342585,205.57305652205,439.996917101205,2296.68305727146,185.170330424115,577.830275640722,4197.41599160882,0.1431776,7.86220856140351,894.86,894.86,0.53309720000268,0.5913351922908
0.089688,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,100170.445866848,100170.445866848,100170.445866848,201.388933318654,501.898306275669,3645.83869300879,205.944210822036,440.791314725707,2300.82963079055,185.508026836723,578.9792777438,4205.76245596897,0.1435008,7.87995621052632,896.88,896.88,0.534170584981162,0.592159862005546
0.08989,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,100396.054979161,100396.054979161,100396.054979161,201.751714609219,502.802424055541,3652.40629354395,206.315197972894,441.585354593691,2304.97433690261,185.845571167944,580.127943476286,4214.10647690004,0.143824,7.89770385964912,898.9,898.9,0.535243109476463,0.592982867568827
0.090092,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,100621.664091474,100621.664091474,100621.664091474,202.114332888496,503.706135581266,3658.97094300901,206.686018425263,442.379037669677,2309.11718064222,186.182963827792,581.276273692211,4222.44806060579,0.1441472,7.91545150877193,900.92,900.92,0.536314771760876,0.593804212338835
0.090294,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,100847.273203787,100847.273203787,100847.273203787,202.476788594983,504.609441945663,3665.5326493423,207.056672627559,443.172364913432,2313.25816701914,186.520205224263,582.424269241529,4230.78721326036,0.1444704,7.93319915789474,902.94,902.94,0.537385570108087,0.594623899666988
0.090496,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,101072.882316099,101072.882316099,101072.882316099,202.83908216502,505.512344236172,3672.09142044311,207.427161025992,443.965337279996,2317.39730101847,186.857295763342,583.571930970143,4239.12394100849,0.1447936,7.95094680701754,904.96,904.96,0.538455502793169,0.595441932897939
0.090698,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,101298.491428412,101298.491428412,101298.491428412,203.201214032806,506.414843534892,3678.6472641719,207.797484064581,444.757955719724,2321.53458760083,187.194235849021,584.719259719936,4247.45824996569,0.1451168,7.96869445614035,906.98,906.98,0.539524568092593,0.596258315369592
0.0909,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,101524.100540725,101524.100540725,101524.100540725,203.563184630412,507.316940918626,3685.20018835067,208.167642185169,445.550221178313,2325.67003170255,187.531025883314,585.866256328797,4255.79014621847,0.14544,7.98644210526316,909,909,0.540592764284227,0.597073050413114
0.091102,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,101749.709653038,101749.709653038,101749.709653038,203.924994387795,508.218637458908,3691.75020076316,208.537635827442,446.342134596838,2329.80363823583,187.867666266271,587.012921630649,4264.11963582453,0.1457632,8.00418975438596,911.02,911.02,0.541660089647337,0.597886141352952
0.091304,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,101975.31876535,101975.31876535,101975.31876535,204.286643732818,509.119934222052,3698.29730915517,208.907465428939,447.133696911786,2333.93541208892,188.204157395988,588.159256455478,4272.44672481297,0.1460864,8.02193740350877,913.04,913.04,0.542726542462592,0.598697591506844
0.091506,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,102200.927877663,102200.927877663,102200.927877663,204.648133091262,510.020832269178,3704.84152123479,209.277131425071,447.924909055085,2338.06535812625,188.540499668627,589.30526162936,4280.77141918449,0.1464096,8.03968505263158,915.06,915.06,0.54379212101207,0.599507404185831
0.091708,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,102426.536989976,102426.536989976,102426.536989976,205.009462886839,510.921332656257,3711.38284467268,209.646634249136,448.715771954139,2342.19348118868,188.876693478425,590.450937974485,4289.09372491156,0.1467328,8.05743270175438,917.08,917.08,0.544856823579254,0.600315582694275
0.09191,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,102652.146102288,102652.146102288,102652.146102288,205.370633541208,511.821436434142,3717.92128710237,210.015974332329,449.506286531858,2346.31978609358,189.212739217707,591.596286309189,4297.41364793864,0.147056,8.07518035087719,919.1,919.1,0.545920648449038,0.601122130329867
0.092112,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,102877.755214601,102877.755214601,102877.755214601,205.731645473992,512.721144648609,3724.45685612044,210.385152103765,450.296453706693,2350.44427763504,189.548637276906,592.741307447976,4305.73119418237,0.1473792,8.092928,921.12,921.12,0.546983593907732,0.601927050383647
0.092314,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,103103.364326914,103103.364326914,103103.364326914,206.092499102787,513.620458340386,3730.98955928687,210.754167990487,451.086274392662,2354.56696058405,189.884388044568,593.886002201545,4314.04636953177,0.1477024,8.11067564912281,923.14,923.14,0.54804565824306,0.602730346140011
0.092516,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,103328.973439227,103328.973439227,103328.973439227,206.453194843182,514.519378545194,3737.51940412523,211.123022417482,451.875749499385,2358.68783968859,190.21999190737,595.030371376819,4322.35917984839,0.1480256,8.12842329824561,925.16,925.16,0.549106839744169,0.603532020876728
0.092718,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,103554.582551539,103554.582551539,103554.582551539,206.813733108767,515.417906293781,3744.04639812298,211.491715807698,452.664879932113,2362.80691967389,190.555449250132,596.174415776969,4330.66963096653,0.1483488,8.14617094736842,927.18,927.18,0.550167136701624,0.604332077864953
0.09292,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,103780.191663852,103780.191663852,103780.191663852,207.174114311154,516.316042611953,3750.57054873167,211.860248582055,453.453666591761,2366.92420524251,190.890760455831,597.318136201436,4338.97772869344,0.148672,8.16391859649123,929.2,929.2,0.551226547407418,0.605130520369239
0.093122,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,104005.800776165,104005.800776165,104005.800776165,207.534338859983,517.213788520613,3757.09186336724,212.228621159459,454.242110374934,2371.03970107451,191.225925905611,598.461533445964,4347.28347880946,0.1489952,8.18166624561403,931.22,931.22,0.55228507015497,0.605927351647553
0.093324,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,104231.409888477,104231.409888477,104231.409888477,207.894407162942,518.111145035793,3763.61034941025,212.596833956821,455.03021217396,2375.15341182765,191.560945978799,599.604608302619,4355.58688706824,0.1493184,8.19941389473684,933.24,933.24,0.553342703239131,0.606722574951286
0.093526,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,104457.01900079,104457.01900079,104457.01900079,208.254319625777,519.008113168687,3770.1260142061,212.964887389063,455.817972876918,2379.2653421375,191.895821052915,600.747361559814,4363.8879591969,0.1496416,8.21716154385965,935.26,935.26,0.554399444956182,0.607516193525268
0.093728,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,104682.628113103,104682.628113103,104682.628113103,208.614076652307,519.904693925686,3776.63886506533,213.332781869139,456.605393367671,2383.37549661761,192.230551503686,601.889794002339,4372.18670089621,0.1499648,8.23490919298246,937.28,937.28,0.555455293603844,0.608308210607781
0.09393,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,104908.237225416,104908.237225416,104908.237225416,208.973678644436,520.800888308409,3783.1489092638,213.700517808044,457.392474525887,2387.48387985966,192.565137705058,603.03190641138,4380.4831178408,0.150288,8.25265684210526,939.3,939.3,0.556510247481273,0.609098629430573
0.094132,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,105133.846337728,105133.846337728,105133.846337728,209.333126002167,521.696697313739,3789.65615404295,214.068095614829,458.179217227078,2391.59049643362,192.899580029208,604.173699564544,4388.77721567928,0.1506112,8.27040449122807,941.32,941.32,0.557564304889068,0.609887453218871
0.094334,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,105359.455450041,105359.455450041,105359.455450041,209.692419123616,522.592121933852,3796.16060661005,214.435515696614,458.96562234262,2395.69535088786,193.233878846557,605.315174235886,4397.06900003447,0.1509344,8.28815214035088,943.34,943.34,0.558617464129274,0.610674685191392
0.094536,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,105585.064562354,105585.064562354,105585.064562354,210.051558405023,523.487163156251,3802.66227413843,214.802778458603,459.751690739788,2399.79844774937,193.568034525779,606.456331195931,4405.35847650352,0.1512576,8.30589978947368,945.36,945.36,0.559669723505379,0.611460328560357
0.094738,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,105810.673674667,105810.673674667,105810.673674667,210.410544240766,524.3818219638,3809.1611637677,215.169884304094,460.537423281778,2403.89979152383,193.902047433818,607.597171211697,4413.64565065813,0.1515808,8.32364743859649,947.38,947.38,0.560721081322322,0.612244386531509
0.09494,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,106036.282786979,106036.282786979,106036.282786979,210.769377023374,525.276099334752,3815.65728260399,215.536833634494,461.322820827739,2407.99938669581,194.235917935897,608.737695046719,4421.9305280447,0.151904,8.3413950877193,949.4,949.4,0.561771535886496,0.613026862304117
0.095142,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,106261.891899292,106261.891899292,106261.891899292,211.128057143537,526.169996242781,3822.15063772016,215.903626849331,462.107884232801,2412.09723772888,194.569646395527,609.877903461072,4430.21311418449,0.1522272,8.35914273684211,951.42,951.42,0.562821085505748,0.613807759070997
0.095344,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,106487.501011605,106487.501011605,106487.501011605,211.486584990124,527.063513657015,3828.64123615606,216.270264346269,462.892614348097,2416.19334906576,194.903233174525,611.017797211394,4438.49341457379,0.1525504,8.37689038596491,953.44,953.44,0.563869728489382,0.614587080018522
