"time","transformer.l2sigma.inductor[1].i","transformer.l2sigma.inductor[3].i"
0.03505,205.705506802003,7.93403741511165
0.0351,207.689496843572,4.13017606307487
0.03515,209.622242620678,0.325295653545252
0.0352,211.503267338807,-3.4796650067568
0.03525,213.332106752475,-7.28376711425408
0.0353,215.108309593566,-11.0860720677486
0.03535,216.831437736293,-14.8856416955682
0.0354,218.50106603535,-18.6815385097808
0.03545,220.116782333965,-22.4728259380656
0.0355,221.678188139797,-26.2585685328173
0.03555,223.184898303358,-30.0378322202674
0.0356,224.63654077634,-33.8096845173361
0.03565,226.032757546083,-37.5731947807212
0.0357,227.373204205353,-41.3274344266386
0.03575,228.657549923616,-45.071477144668
0.0358,229.885477717147,-48.8043991417897
0.03585,231.056684762798,-52.5252793901739
0.0359,232.170882127458,-56.2331998237754
0.03595,233.227794646298,-59.9272455347565
0.036,234.227161721052,-63.6065050986649
0.03605,235.168736877872,-67.2700707323229
0.0361,236.052287550306,-70.9170384592439
0.03615,236.877595822247,-74.5465084621253
0.0362,237.644458176292,-78.1575852486978
0.03625,238.352685345473,-81.7493778262396
0.0363,239.002102434371,-85.3209999382039
0.03635,239.592549378267,-88.8715703831019
0.0364,240.12388057102,-92.4002131326366
0.03645,240.595964616737,-95.9060574613929
0.0365,241.008685226574,-99.3882384112439
0.03655,241.361940670736,-102.845896840036
0.0366,241.655643592825,-106.278179556301
0.03665,241.889721538753,-109.684239700815
0.0367,242.064116891382,-113.063236928671
0.03675,242.178786607266,-116.414337517066
0.0368,242.233702188074,-119.73671455389
0.03685,242.228850267317,-123.02954836454
0.0369,242.164232149525,-126.292026537056
0.03695,242.039863446682,-129.523343961494
0.037,241.855775041079,-132.722703444162
0.03705,241.612012451675,-135.889315636853
0.0371,241.308635681256,-139.022399157658
0.03715,240.945719525946,-142.121180938504
0.0372,240.523353685626,-145.184896478124
0.03725,240.041642397455,-148.212789862938
0.0373,239.500704266903,-151.204113875843
0.03735,238.900672952823,-154.158130553491
0.0374,238.241696620572,-157.074111101964
0.03745,237.523937554509,-159.951335871937
0.0375,236.747573001858,-162.789095037958
0.03755,235.912794624318,-165.586688488684
0.0376,235.019808301639,-168.343425904682
0.03765,234.068834246026,-171.058627030016
0.0377,233.060107262954,-173.731622034274
0.03775,231.993876298911,-176.361751433819
0.0378,230.870404149574,-178.948366098378
0.03785,229.689968205806,-181.490827947204
0.0379,228.452859829298,-183.988509740841
0.03795,227.159384022768,-186.440795046971
0.038,225.809859995998,-188.847078847213
0.03805,224.404620846677,-191.206767517333
0.0381,222.944013255104,-193.519278807676
0.03815,221.428397437272,-195.784042014704
0.0382,219.858147519448,-198.000498473609
0.03825,218.233651021676,-200.168101374483
0.0383,216.555308466878,-202.286315653716
0.03835,214.823534145505,-204.354618824246
0.0384,213.038755442002,-206.372500644297
0.03845,211.20141255699,-208.33946308796
0.0385,209.311958817527,-210.255020829164
0.03855,207.370860550774,-212.118701350089
0.0386,205.378596692622,-213.930044813982
0.03865,203.335658604693,-215.688604116586
0.0387,201.242550518641,-217.393945515049
0.03875,199.099788979388,-219.045648340321
0.0388,196.907902383182,-220.643304769337
0.03885,194.667431717014,-222.186520772905
0.0389,192.378929865468,-223.674915669607
0.03895,190.042961375766,-225.108122109893
0.039,187.660102546432,-226.485786403301
0.03905,185.230941446821,-227.807568774171
0.0391,182.756077465949,-229.073143124727
0.03915,180.236121024274,-230.282196957046
0.0392,177.671694040006,-231.43443212971
0.03925,175.063429338187,-232.529564451727
0.0393,172.411970241877,-233.567323449538
0.03935,169.717971055969,-234.547453186605
0.0394,166.982096571386,-235.469711936672
0.03945,164.205021767735,-236.333872075298
0.0395,161.387431742049,-237.139720254216
0.03955,158.530021821038,-237.887057805906
0.0396,155.633497078058,-238.57570040208
0.03965,152.698571973798,-239.205477846697
0.0397,149.725970796804,-239.776234939682
0.03975,146.716427065958,-240.287830959696
0.0398,143.670683189277,-240.740139461686
0.03985,140.589490685886,-241.13304888568
0.0399,137.473609882401,-241.466462417667
0.03995,134.323809556999,-241.740297763517
