"time","SourceP1.ports[1].m_flow","SourceP1.ports[1].p","SourceP1.ports[1].h_outflow","V1.port_b.m_flow","V1.port_b.p","V1.port_b.h_outflow","V1.minLimiter.y","SinkP1.ports[1].m_flow","SinkP1.ports[1].p","SinkP1.ports[1].h_outflow","Opening.y","downstreamPressure.y"
0.105242,-0.184613320956583,1000000,3264385.32408016,-0.184613320956583,730360.769384334,3264385.32408016,1,0.184613320956583,730360.769384334,3268662.86608986,1,730360.769384334
0.105444,-0.184730922226637,1000000,3264385.32408016,-0.184730922226637,729748.011141287,3264385.32408016,1,0.184730922226637,729748.011141287,3268672.55004292,1,729748.011141287
0.105646,-0.184848117254533,1000000,3264385.32408016,-0.184848117254533,729135.043890135,3264385.32408016,1,0.184848117254533,729135.043890135,3268682.23713366,1,729135.043890135
0.105848,-0.184964906556974,1000000,3264385.32408016,-0.184964906556974,728521.868618295,3264385.32408016,1,0.184964906556974,728521.868618295,3268691.92734631,1,728521.868618295
0.10605,-0.185081290649521,1000000,3264385.32408016,-0.185081290649521,727908.486313514,3264385.32408016,1,0.185081290649521,727908.486313514,3268701.62066512,1,727908.486313514
0.106252,-0.185197270046607,1000000,3264385.32408016,-0.185197270046607,727294.897963877,3264385.32408016,1,0.185197270046607,727294.897963877,3268711.31707431,1,727294.897963877
0.106454,-0.18531284526155,1000000,3264385.32408016,-0.18531284526155,726681.1045578,3264385.32408016,1,0.18531284526155,726681.1045578,3268721.0165581,1,726681.1045578
0.106656,-0.185428016806569,1000000,3264385.32408016,-0.185428016806569,726067.107084028,3264385.32408016,1,0.185428016806569,726067.107084028,3268730.71910072,1,726067.107084028
0.106858,-0.185542785192793,1000000,3264385.32408016,-0.185542785192793,725452.906531635,3264385.32408016,1,0.185542785192793,725452.906531635,3268740.42468637,1,725452.906531635
0.10706,-0.185657150930278,1000000,3264385.32408016,-0.185657150930278,724838.503890024,3264385.32408016,1,0.185657150930278,724838.503890024,3268750.13329928,1,724838.503890024
0.107262,-0.185771114528019,1000000,3264385.32408016,-0.185771114528019,724223.900148921,3264385.32408016,1,0.185771114528019,724223.900148921,3268759.84492364,1,724223.900148921
0.107464,-0.18588467649396,1000000,3264385.32408016,-0.18588467649396,723609.096298378,3264385.32408016,1,0.18588467649396,723609.096298378,3268769.55954367,1,723609.096298378
0.107666,-0.185997837335014,1000000,3264385.32408016,-0.185997837335014,722994.093328768,3264385.32408016,1,0.185997837335014,722994.093328768,3268779.27714356,1,722994.093328768
0.107868,-0.186110597557067,1000000,3264385.32408016,-0.186110597557067,722378.892230785,3264385.32408016,1,0.186110597557067,722378.892230785,3268788.99770751,1,722378.892230785
0.10807,-0.186222957664998,1000000,3264385.32408016,-0.186222957664998,721763.493995442,3264385.32408016,1,0.186222957664998,721763.493995442,3268798.72121971,1,721763.493995442
0.108272,-0.186334918162685,1000000,3264385.32408016,-0.186334918162685,721147.899614072,3264385.32408016,1,0.186334918162685,721147.899614072,3268808.44766434,1,721147.899614072
0.108474,-0.186446479553024,1000000,3264385.32408016,-0.186446479553024,720532.110078319,3264385.32408016,1,0.186446479553024,720532.110078319,3268818.1770256,1,720532.110078319
0.108676,-0.186557642337937,1000000,3264385.32408016,-0.186557642337937,719916.126380147,3264385.32408016,1,0.186557642337937,719916.126380147,3268827.90928766,1,719916.126380147
0.108878,-0.186668407018384,1000000,3264385.32408016,-0.186668407018384,719299.949511828,3264385.32408016,1,0.186668407018384,719299.949511828,3268837.64443469,1,719299.949511828
0.10908,-0.186778774094376,1000000,3264385.32408016,-0.186778774094376,718683.580465948,3264385.32408016,1,0.186778774094376,718683.580465948,3268847.38245087,1,718683.580465948
0.109282,-0.18688874406499,1000000,3264385.32408016,-0.18688874406499,718067.020235402,3264385.32408016,1,0.18688874406499,718067.020235402,3268857.12332036,1,718067.020235402
0.109484,-0.186998317428375,1000000,3264385.32408016,-0.186998317428375,717450.269813393,3264385.32408016,1,0.186998317428375,717450.269813393,3268866.86702734,1,717450.269813393
0.109686,-0.187107494681767,1000000,3264385.32408016,-0.187107494681767,716833.330193429,3264385.32408016,1,0.187107494681767,716833.330193429,3268876.61355596,1,716833.330193429
0.109888,-0.187216276321501,1000000,3264385.32408016,-0.187216276321501,716216.202369326,3264385.32408016,1,0.187216276321501,716216.202369326,3268886.36289037,1,716216.202369326
0.11009,-0.187324662843022,1000000,3264385.32408016,-0.187324662843022,715598.887335199,3264385.32408016,1,0.187324662843022,715598.887335199,3268896.11501474,1,715598.887335199
0.110292,-0.187432654740894,1000000,3264385.32408016,-0.187432654740894,714981.386085467,3264385.32408016,1,0.187432654740894,714981.386085467,3268905.8699132,1,714981.386085467
0.110494,-0.187540252508816,1000000,3264385.32408016,-0.187540252508816,714363.69961485,3264385.32408016,1,0.187540252508816,714363.69961485,3268915.62756991,1,714363.69961485
