"time","loadInertia.phi","loadInertia.w","smr.idq_rr[1]","smr.idq_rr[2]","smr.idq_sr[1]","smr.idq_sr[2]","vfController.x"
0.5442,19.8244518845392,84.0021275187689,-17.6224953727387,26.8545800917998,-20.2723134406659,-103.715069053502,46.5197049879004
0.54425,19.8286521966239,84.0103557674411,-17.6230764313472,26.8439096895057,-20.2679041835638,-103.722550159574,46.5282536542099
0.5443,19.8328529201137,84.0185837236366,-17.6236515444809,26.8332521577117,-20.2635008491992,-103.730037406323,46.5368031059175
0.54435,19.837054054994,84.0268113876482,-17.624220722979,26.8226074372319,-20.2591034278326,-103.737530740239,46.5453533430234
0.5444,19.8412556012502,84.0350387597645,-17.6247839778514,26.8119754691579,-20.2547119095483,-103.745030108064,46.5539043655273
0.54445,19.8454575588678,84.0432658402695,-17.6253413202773,26.8013561948587,-20.2503262842557,-103.752535456791,46.5624561734295
0.5445,19.8496599278321,84.0514926294426,-17.6258927616043,26.790749555981,-20.2459465416906,-103.760046733667,46.5710087667298
0.54455,19.8538627081286,84.0597191275589,-17.6264383133469,26.78015549445,-20.2415726714162,-103.76756388619,46.5795621454283
0.5446,19.8580658997427,84.067945334889,-17.6269779871853,26.7695739524694,-20.2372046628247,-103.775086862112,46.5881163095249
0.54465,19.8622695026599,84.0761712516993,-17.6275117949643,26.759004872522,-20.232842505138,-103.78261560944,46.5966712590198
0.5447,19.8664735168656,84.0843968782515,-17.6280397486917,26.74844819737,-20.2284861874093,-103.790150076435,46.6052269939127
0.54475,19.8706779423454,84.0926222148034,-17.6285618605377,26.7379038700554,-20.2241356985241,-103.797690211613,46.6137835142039
0.5448,19.8748827790847,84.1008472616085,-17.6290781428331,26.7273718339002,-20.2197910272015,-103.805235963748,46.6223408198932
0.54485,19.8790880270691,84.1090720189158,-17.6295886080681,26.7168520325071,-20.2154521619956,-103.812787281867,46.6308989109806
0.5449,19.883293686284,84.1172964869703,-17.6300932688914,26.7063444097597,-20.2111190912962,-103.820344115257,46.6394577874662
0.54495,19.8874997567149,84.1255206660129,-17.6305921381088,26.695848909823,-20.2067918033306,-103.82790641346,46.64801744935
